,지역,시군구,제목,모집기관,봉사기간
0,강원도,춘천시,제31회 춘천인형극제 자원봉사자 모집,강원도 춘천시,2019-09-27 ~ 2019-10-03
1,강원도,춘천시,제31회 춘천인형극제 해외팀 관리 및 통역 자원봉사자 모집,강원도 춘천시,2019-09-27 ~ 2019-10-03
2,강원도,춘천시,8월 성인기초교육 실시,강원도 춘천시,2019-08-23 ~ 2019-08-23
3,강원도,춘천시,사)국립춘천박물관회 소통의 날 행사보조 봉사자 모집,강원도 춘천시,2019-08-29 ~ 2019-08-29
4,강원도,춘천시,2019 춘천레저대회 애견스포츠대회 자원봉사자 모집,강원도 춘천시,2019-09-07 ~ 2019-09-08
5,강원도,춘천시,이미용 자원봉사자 모집,강원도 춘천시,2019-06-05 ~ 2019-09-04
6,강원도,춘천시,두잇두잇 영어교실 수업진행 자원봉사자 모집,강원도 춘천시,2019-07-02 ~ 2019-10-02
7,강원도,춘천시,도시락배달 및 배식봉사자 모집,강원도 춘천시,2019-08-19 ~ 2019-09-11
8,강원도,춘천시,아토피-천식예방 인형극 행사보조 자원봉사자 모집,강원도 춘천시,2019-09-17 ~ 2019-09-18
9,강원도,춘천시,저소득층 노인을 위한 경로식당 자원봉사자 모집,강원도 춘천시,2019-06-26 ~ 2019-09-26
0,강원도,춘천시,다비다의집 어르신대상 미용봉사자 모집,강원도 춘천시,2019-07-01 ~ 2019-09-30
1,강원도,춘천시,2019 세대공감 나눔릴레이 캠페인 자원봉사자 모집,강원도 춘천시,2019-08-26 ~ 2019-09-25
2,강원도,춘천시,2019 세대공감 나눔릴레이 캠페인 자원봉사자 모집,강원도 춘천시,2019-08-26 ~ 2019-09-25
3,강원도,춘천시,아름다운가게 춘천점 매장운영[오전]※ 봉사 일정은 매니저와의 면담을 통해 최종 결정,아름다운가게춘천점,2019-07-01 ~ 2019-09-30
4,강원도,춘천시,아름다운가게 춘천점 매장운영[오후]※ 봉사 일정은 매니저와의 면담을 통해 최종 결정,아름다운가게춘천점,2019-07-01 ~ 2019-09-30
5,강원도,춘천시,차량 도시락배달 봉사자 모집,강원도 춘천시,2019-07-11 ~ 2019-10-03
6,강원도,춘천시,A+춘천시니어복지센터 어르신 활동지원 자원봉사자 모집,강원도 춘천시,2019-07-08 ~ 2019-10-07
7,강원도,춘천시,플라스틱 Zero 캠페인 참여,강원도 춘천시,2019-07-12 ~ 2019-10-12
8,강원도,춘천시,"꿈마루도서관 도서관리, 책읽어주기, 환경정리 등",강원도 춘천시,2019-08-01 ~ 2019-10-31
9,강원도,춘천시,2019 사이버교육,강원도 춘천시,2019-08-01 ~ 2019-10-31
0,강원도,춘천시,다비다의집 어르신대상 자원봉사자 모집,강원도 춘천시,2019-08-12 ~ 2019-11-11
