,지역,시군구,제목,모집기관,봉사기간
0,경기도,시흥시,행복한 시흥아이 놀이환경개선 프로젝트 시민활동가 모집,경기도 시흥시,2019-08-21 ~ 2019-08-22
1,경기도,시흥시,마을 환경정화활동및 전봇대 불법전단지 수거,매화동자원봉사센터,2019-08-24 ~ 2019-08-24
2,경기도,시흥시,환경교육활동 가족대상 부스운영 보조 및 안전요원,시흥에코센터,2019-08-24 ~ 2019-08-24
3,경기도,시흥시,"환경교육활동 어린이, 가족대상 체험보조 및 안전요원",시흥에코센터,2019-08-24 ~ 2019-08-25
4,경기도,시흥시,배곧한울공원 주정차 및 교통정리_성인봉사자만 가능,경기도 시흥시,2019-07-06 ~ 2019-08-30
5,경기도,시흥시,맑은물 상상누리 창의센터 준공식 행사 봉사자 모집,경기도 시흥시,2019-08-29 ~ 2019-08-30
6,경기도,시흥시,시흥갯골생태공원 내 환경보호를 위한 계도활동,시흥시시설관리공단,2019-06-01 ~ 2019-08-31
7,경기도,시흥시,시흥갯골생태공원 내 주정차 안내 및 교통정리 등,시흥시시설관리공단,2019-06-01 ~ 2019-08-31
8,경기도,시흥시,배곧한울공원 환경감시활동_성인만가능,경기도 시흥시,2019-07-06 ~ 2019-08-30
9,경기도,시흥시,시흥시청소년수련관 초등체험 활동보조/대학생 자원지도자만 신청 가능합니다,시흥시청소년수련관,2019-09-21 ~ 2019-09-21
0,경기도,시흥시,시흥시청소년수련관 전통문화체험활동 '선사유적'편 활동보조/대학생 자원지도자만 신청 가능합니다,시흥시청소년수련관,2019-09-21 ~ 2019-09-21
1,경기도,시흥시,다문화가족 한국어교실 운영시 자녀 아동보육 자원봉사,시흥시다문화가족지원센터,2019-07-08 ~ 2019-09-30
2,경기도,시흥시,임산부의 날 기념 행사보조,시흥시자원봉사센터,2019-09-19 ~ 2019-09-19
3,경기도,시흥시,제10회 시흥시장배 전국 장애인 생활체육 탁구대회 자원봉사자 모집,시흥시자원봉사센터,2019-09-20 ~ 2019-09-20
4,경기도,시흥시,시흥시치매안심센터 치매파트너 모집 공고,시흥시치매안심센터(연성),2019-07-01 ~ 2019-09-30
5,경기도,시흥시,어르신 위문공연 봉사단체  모셔요~,신천제일요양병원,2019-08-02 ~ 2019-09-30
6,경기도,시흥시,시흥노인전문요양원 이미용 자원봉사자 모집,시흥시자원봉사센터,2019-08-01 ~ 2019-10-31
7,경기도,시흥시,어르신 말벗 및 정서지원,시흥시자원봉사센터,2019-08-08 ~ 2019-10-31
8,경기도,시흥시,미용커트봉사자 모집합니다.,너싱홈꽃마루,2019-08-01 ~ 2019-10-31
9,경기도,시흥시,시흥갯골생태공원 내 환경정화활동,시흥시시설관리공단,2019-09-01 ~ 2019-11-30
0,경기도,시흥시,시흥갯골생태공원 내 환경보호를 위한 계도활동,시흥시시설관리공단,2019-09-01 ~ 2019-11-30
1,경기도,시흥시,시흥갯골생태공원 내 주정차 안내 및 교통정리 등,시흥시시설관리공단,2019-09-01 ~ 2019-11-30
