,지역,시군구,제목,모집기관,봉사기간
0,부산광역시,금정구,"「제9회 TPO 총회 」국제행사 보조 자원봉사자를 모집합니다. ★이메일 접수 신청, 아래사항 참고 후 신청바람★",부산광역시,2019-09-24 ~ 2019-09-24
1,부산광역시,금정구,[금정구자원봉사센터]8월 V-day 서포터즈 활동,부산광역시 금정구,2019-08-24 ~ 2019-08-24
2,부산광역시,금정구,[금정구청소년상담복지센터] 학습멘토링 봉사자 모집,금정구청소년상담복지센터,2019-08-12 ~ 2019-10-31
3,부산광역시,금정구,꿈사랑어린이집 장애아동 물놀이 활동보조 자원봉사자 모집,꿈사랑어린이집,2019-08-28 ~ 2019-08-28
4,부산광역시,금정구,"[공연기획자와 함께하는 대학로 Special 버스킹] 자원봉사자 모집 : 8/30 , 9/7",재단법인금정문화재단,2019-08-30 ~ 2019-09-07
5,부산광역시,금정구,[공연기획자와 함께하는 대학로 Special 버스킹] 자원봉사자 모집 : 8/31,재단법인금정문화재단,2019-08-31 ~ 2019-08-31
6,부산광역시,금정구,이그나이트 V-Korea X 부산 행사지원 대학생 자원봉사자 모집,부산광역시,2019-08-29 ~ 2019-08-29
7,부산광역시,금정구,2019년 장애인식개선 여름학교 참여 모집,금정구장애인복지관,2019-08-29 ~ 2019-08-30
8,부산광역시,금정구,은빛 사랑채 작은도서관 운영보조 자원봉사자 모집,금정구청평생교육과,2019-09-03 ~ 2019-09-28
9,부산광역시,금정구,금정북파크 작은도서관 운영보조 자원봉사자 모집,금정구청평생교육과,2019-09-03 ~ 2019-09-27
0,부산광역시,금정구,금정북파크 작은도서관 운영보조 자원봉사자 모집,금정구청평생교육과,2019-09-03 ~ 2019-09-27
1,부산광역시,금정구,8월금정도서관 자원봉사 활동,금정도서관,2019-08-01 ~ 2019-08-30
2,부산광역시,금정구,금정구자원봉사센터 '사랑나눔 자장명 데이' 자원봉사자 모집,부산광역시 금정구,2019-09-03 ~ 2019-09-03
3,부산광역시,금정구,부산광역시 제11회 '자원순환의 날' 행사 서포터즈 모집,(사)에코언니야,2019-09-06 ~ 2019-09-06
4,부산광역시,금정구,부산광역시 제11회 '자원순환의 날' 행사 서포터즈 모집,(사)에코언니야,2019-09-06 ~ 2019-09-06
5,부산광역시,금정구,9월금정도서관 자원봉사 활동,금정도서관,2019-09-03 ~ 2019-09-27
6,부산광역시,금정구,9월금정도서관 자원봉사 활동,금정도서관,2019-09-03 ~ 2019-09-27
7,부산광역시,금정구,[금정구청소년지원센터]학교밖청소년 대상 학습 지원 멘토단 모집합니다.,금정구청소년상담복지센터,2019-08-01 ~ 2019-10-31
