,지역,시군구,제목,모집기관,봉사기간
0,부산광역시,서구,오전 10시 송도해수욕장 'clean beach ',부산서구자원봉사센터,2019-08-19 ~ 2019-08-25
1,부산광역시,서구,오후 2시 송도해수욕장 'clean beach ',부산서구자원봉사센터,2019-08-19 ~ 2019-08-25
2,부산광역시,서구,"「제9회 TPO 총회 」국제행사 보조 자원봉사자를 모집합니다. ★이메일 접수 신청, 아래사항 참고 후 신청바람★",부산광역시,2019-09-24 ~ 2019-09-24
3,부산광역시,서구,내원정사 템플스테이 환경정비,내원정사 템플스테이,2019-06-01 ~ 2019-08-31
4,부산광역시,서구,제2회 입양 후 부모교육 실시 관련 자원봉사,부산광역시아동보호종합센터,2019-08-31 ~ 2019-08-31
5,부산광역시,서구,이그나이트 V-Korea X 부산 행사지원 대학생 자원봉사자 모집,부산광역시,2019-08-29 ~ 2019-08-29
6,부산광역시,서구,*^^*장애인 직업재활 업무 보조 봉사자 모집합니다~!,(사)부산시한마음장애인지원센터,2019-06-03 ~ 2019-08-30
7,부산광역시,서구,오전 10시 송도해수욕장 'clean beach ',부산서구자원봉사센터,2019-08-26 ~ 2019-08-31
8,부산광역시,서구,오후 2시 송도해수욕장 'clean beach ',부산서구자원봉사센터,2019-08-26 ~ 2019-08-31
9,부산광역시,서구,"매월1일""효""생각207회차 시민캠페인",(사)효문화지원본부,2019-09-01 ~ 2019-09-01
0,부산광역시,서구,서구드림스타트 1:1 정서멘토링,부산서구드림스타트센터,2019-07-01 ~ 2019-09-30
1,부산광역시,서구,서구드림스타트 1:1 인지멘토링,부산서구드림스타트센터,2019-07-01 ~ 2019-09-30
2,부산광역시,서구,효문화지원본부 행정업무지원 봉사자모집,부산서구자원봉사센터,2019-08-21 ~ 2019-11-21
