,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,성동구,37.5630725,127.0366688,3분기 직장인 자원봉사 기본교육 실시,성동구자원봉사센터,대한민국 서울특별시 성동구 행당동 고산자로 270,2019-08-22 ~ 2019-08-22
1,성동구,37.5648836,127.035497,성동외국인근로자센터 아장아장 놀이기구 청소 및 소독하실 봉사자를 모집합니다.,서울특별시 성동외국인노동자센터,대한민국 서울특별시 성동구 홍익동 147-22,2019-08-20 ~ 2019-11-20
2,성동구,37.5457885,127.0441303,살곶이물놀이장 안전지킴이 활동,성동구민종합체육센터,대한민국 서울특별시 성동구 성수동1가 왕십리로 89,2019-06-22 ~ 2019-08-25
3,성동구,37.5457885,127.0441303,살곶이물놀이장 안전지킴이 활동,성동구민종합체육센터,대한민국 서울특별시 성동구 성수동1가 왕십리로 89,2019-06-22 ~ 2019-08-25
4,성동구,37.5457885,127.0441303,살곶이물놀이장 안전지킴이 활동,성동구민종합체육센터,대한민국 서울특별시 성동구 성수동1가 왕십리로 89,2019-07-20 ~ 2019-08-25
5,성동구,37.5457885,127.0441303,성동구민종합체육센터 안전지킴이 활동,성동구민종합체육센터,대한민국 서울특별시 성동구 성수동1가 왕십리로 89,2019-08-01 ~ 2019-08-31
6,성동구,37.5684549,127.0368784,장애아동활동지원,헤아림아동발달센터,대한민국 서울특별시 성동구 마장동 568-5,2019-08-24 ~ 2019-08-24
7,성동구,37.54481579999999,127.0161294,지구가 보내는 마지막 경고 [일회용품과 자원순환],올리브나무작은도서관,대한민국 서울특별시 성동구 옥수동 독서당로 227,2019-09-07 ~ 2019-09-07
8,성동구,,,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,,2019-09-02 ~ 2019-09-06
9,성동구,37.5576822,127.0587922,[서울 성동구] 서울하수도과학관 질서유지 봉사활동 9월 [오후],서울시중랑물재생센터(서울하수도과학관),대한민국 서울특별시 성동구 용답동 250-15,2019-09-01 ~ 2019-09-30
0,성동구,37.5576822,127.0587922,[서울 성동구] 서울하수도과학관 질서유지 봉사활동 9월 [오전],서울시중랑물재생센터(서울하수도과학관),대한민국 서울특별시 성동구 용답동 250-15,2019-09-01 ~ 2019-09-30
1,성동구,37.5496209,127.0191882,청소년 활동 보조지도,성동청소년문화의집,대한민국 서울특별시 성동구 금호동3가 1266,2019-08-31 ~ 2019-08-31
2,성동구,37.5496209,127.0191882,청소년성평등운동 교육 및 캠페인 도구 제작,성동청소년문화의집,대한민국 서울특별시 성동구 금호동3가 1266,2019-08-31 ~ 2019-08-31
3,성동구,37.5647672,127.041337,"경로식당 전처리 보조 및 설거지, 청소 활동",시립성동노인종합복지관,대한민국 서울특별시 성동구 마장동 798-1,2019-08-01 ~ 2019-08-31
4,성동구,37.5591681,127.0349267,제4회 눈이 번쩍 왕십리展 전시실 상주인력,성동문화재단,대한민국 서울특별시 성동구 행당1동 고산자로10길 9,2019-08-27 ~ 2019-08-29
5,성동구,,,한가위 얼리버드 소영씨마켓 행사보조활동,서울특별시 성동구,,2019-08-30 ~ 2019-08-31
6,성동구,37.5476947,127.0582977,2019 제2회 서울특별시 발달장애인 어울림 볼링대회 자원봉사자를 모집합니다.,성동발달장애인평생교육센터,대한민국 서울특별시 성동구 성수2가3동 성수이로 144,2019-08-30 ~ 2019-08-30
7,성동구,37.5404159,127.0127183,예방교육진행 및 말벗서비스 가정방문 봉사자 모집,옥수종합사회복지관,대한민국 서울특별시 성동구 옥수동 204-8,2019-07-17 ~ 2019-08-30
8,성동구,37.5612169,127.0452011,자원봉사자 모집합니다.,성동구립사근동 노인복지센터,대한민국 서울특별시 성동구 사근동 사근동길,2019-08-01 ~ 2019-08-30
9,성동구,37.5612169,127.0452011,자원봉사자 모집합니다.,성동구립사근동 노인복지센터,대한민국 서울특별시 성동구 사근동 사근동길,2019-08-01 ~ 2019-08-30
0,성동구,37.5591681,127.0349267,성동구립도서관 여름 [오전 9:00~12:00]자원봉사-OT 선이수 필수,성동구립도서관,대한민국 서울특별시 성동구 행당동 고산자로10길 9,2019-06-01 ~ 2019-08-31
1,성동구,37.5591681,127.0349267,2019 하나의 성동 숲속의 오케스트라 성동구립 꿈의 오케스트라 야외음악회 행사보조 인력,성동문화재단,대한민국 서울특별시 성동구 행당1동 고산자로10길 9,2019-09-07 ~ 2019-09-07
2,성동구,,,성동구보건소,서울특별시 성동구,,2019-09-04 ~ 2019-10-30
3,성동구,37.549678,127.0510695,수도권 유아환경교육관 상시교육 자원봉사활동,환경보전협회,대한민국 서울특별시 성동구 광나루로,2019-06-10 ~ 2019-09-09
4,성동구,37.5648836,127.035497,"2019년 2학기 재미난교실 영어, 뷰티 가르쳐줄 봉사자 모집",서울특별시 성동외국인노동자센터,대한민국 서울특별시 성동구 홍익동 147-22,2019-09-15 ~ 2019-11-24
5,성동구,37.5386913,127.0420444,세빛섬 신진작가와 미술영재 작품 전시회 운영 지원 자원봉사자 모집,서울특별시한강사업본부,대한민국 서울특별시 성동구 성수동1가 강변북로 257,2019-09-21 ~ 2019-09-22
6,성동구,37.5386913,127.0420444,세빛섬 신진작가와 미술영재 작품 전시회 운영 지원 자원봉사자 모집,서울특별시한강사업본부,대한민국 서울특별시 성동구 성수동1가 강변북로 257,2019-09-21 ~ 2019-09-22
7,성동구,37.5626369,127.0570027,서울교통공사 디지털 시민안전체험·홍보관 운영보조 및 안전캠페인 활동,서울교통공사,대한민국 서울특별시 성동구 용답동 223-3,2019-06-21 ~ 2019-09-20
8,성동구,,,성동구보건소,서울특별시 성동구,,2019-08-14 ~ 2019-09-25
9,성동구,37.5603172,127.045489,자원봉사자를 모집합니다,성동구립 사근동데이케어센터,대한민국 서울특별시 성동구 사근동 사근동길,2019-09-02 ~ 2019-09-30
0,성동구,37.5603172,127.045489,자원봉사자 모집합니다,성동구립 사근동데이케어센터,대한민국 서울특별시 성동구 사근동 사근동길,2019-09-02 ~ 2019-09-30
1,성동구,37.55856259999999,127.0582435,서울새활용플라자 주말시민행사 운영보조 자원봉사자 모집,서울새활용플라자,대한민국 서울특별시 성동구 용답동 자동차시장길 49,2019-07-06 ~ 2019-09-22
2,성동구,37.5447882,127.0205771,스트링아트 프로그램 참여,성모주간보호센터,대한민국 서울특별시 성동구 금호동4가,2019-07-12 ~ 2019-09-27
3,성동구,37.55856259999999,127.0582435,[서울새활용플라자] 소재은행 폐자원 소재화 자원봉사자 모집,서울새활용플라자,대한민국 서울특별시 성동구 용답동 자동차시장길 49,2019-07-20 ~ 2019-09-28
4,성동구,37.55856259999999,127.0582435,[서울새활용플라자] 소재은행 폐자원 소재화 자원봉사자 모집,서울새활용플라자,대한민국 서울특별시 성동구 용답동 자동차시장길 49,2019-08-10 ~ 2019-09-29
5,성동구,37.5379774,127.0523706,[성수데이케어센터] 어르신들 식사보조 및 말벗 활동,성수데이케어센터,대한민국 서울특별시 성수2가1동,2019-07-01 ~ 2019-09-30
6,성동구,37.5462829,127.0252744,성동구 평생학습관 자원 봉사 활동,독서당 인문아카데미센터,대한민국 서울특별시 금호4가동,2019-07-01 ~ 2019-09-30
7,성동구,37.5379774,127.0523706,[성수데이케어센터] 어르신들 프로그램 보조 및 환경 개선,성수데이케어센터,대한민국 서울특별시 성수2가1동,2019-07-01 ~ 2019-09-30
8,성동구,37.5576822,127.0587922,서울하수도과학관 [장영실 체험마당]프로그램 운영,서울시중랑물재생센터(서울하수도과학관),대한민국 서울특별시 성동구 용답동 250-15,2019-07-01 ~ 2019-09-30
9,성동구,37.5447882,127.0205771,토탈공예 프로그램 봉사,성모주간보호센터,대한민국 서울특별시 성동구 금호동4가,2019-08-05 ~ 2019-10-28
0,성동구,37.5379774,127.0523706,[성수데이케어센터] 재능기부활동,성수데이케어센터,대한민국 서울특별시 성수2가1동,2019-07-01 ~ 2019-09-30
1,성동구,37.5706431,127.0412606,마장축산물시장 물청소 보조,마장축산물시장상점가진흥사업협동조합,대한민국 서울특별시 성동구 마장동 마장로35길 68 4층,2019-07-09 ~ 2019-10-08
2,성동구,37.5404159,127.0127183,[옥수종합사회복지관] 경로식당 자원봉사자 모집,옥수종합사회복지관,대한민국 서울특별시 성동구 옥수동 204-8,2019-08-13 ~ 2019-10-12
3,성동구,37.5418642,127.0496589,"영유아와 놀이 및 담임교사 보조, 환경정화 활동",구립성원어린이집,대한민국 서울특별시 성동구 성수1가1동 27-23,2019-07-17 ~ 2019-10-16
4,성동구,37.5418642,127.0496589,"영유아와 놀이 및 담임교사 보조 , 환경정화 활동",구립성원어린이집,대한민국 서울특별시 성동구 성수1가1동 27-23,2019-07-17 ~ 2019-10-16
5,성동구,37.5619233,127.0588951,아름다운가게장한평점 매장관리운영전반 오전타임,아름다운가게장한평점,대한민국 서울특별시 성동구 용답동 천호대로 362,2019-08-01 ~ 2019-10-31
6,성동구,37.5619233,127.0588951,아름다운가게장한평점 매장관리운영전반 오후타임,아름다운가게장한평점,대한민국 서울특별시 성동구 용답동 천호대로 362,2019-08-01 ~ 2019-10-31
7,성동구,37.5466213,127.0192438,어르신 활동보조,금호데이케어센터,대한민국 서울특별시 성동구 금호동4가,2019-08-21 ~ 2019-11-20
8,성동구,37.5539545,127.0191492,금호무지개노인복지센터에서 자원봉사자를 모집합니다.,금호무지개노인복지센터,대한민국 서울특별시 성동구 금호2.3가동 금호로13길 17 1층,2019-08-08 ~ 2019-11-07
9,성동구,37.5539545,127.0191492,금호무지개노인복지센터에서 자원봉사자를 모집합니다.,금호무지개노인복지센터,대한민국 서울특별시 성동구 금호2.3가동 금호로13길 17 1층,2019-08-08 ~ 2019-11-07
0,성동구,37.5591681,127.0349267,성동구립도서관 가을 [오후 14:00~18:00]자원봉사-OT 선이수 필수,성동구립도서관,대한민국 서울특별시 성동구 행당동 고산자로10길 9,2019-09-01 ~ 2019-11-30
1,성동구,37.5591681,127.0349267,성동구립도서관 가을 [오전 9:00~12:00]자원봉사-OT 선이수 필수,성동구립도서관,대한민국 서울특별시 성동구 행당동 고산자로10길 9,2019-09-01 ~ 2019-11-30
2,성동구,37.5451437,127.0578284,장애.비장애형제 멘토링 '꿈드림' 멘토 자원봉사자 모집,성동장애인가족지원센터,대한민국 서울특별시 성동구 성수2가3동 성수이로 118 1122호,2019-09-01 ~ 2019-11-30
