,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,성북구,37.5952054,127.0339666,도서관초등돌봄교실 돌봄활동-오전,기쁨이자라는작은도서관,대한민국 서울특별시 성북구 종암동 종암로9길 25,2019-07-26 ~ 2019-08-26
1,성북구,37.6066873,127.0582634,석관실버복지센터 환경정비 보조 자원봉사자 모집,성북구립석관실버복지센터,대한민국 서울특별시 성북구 석관동 화랑로32길 88,2019-08-13 ~ 2019-08-21
2,성북구,37.5952054,127.0339666,도서관 초등틈새돌봄교실 돌봄활동-오후,기쁨이자라는작은도서관,대한민국 서울특별시 성북구 종암동 종암로9길 25,2019-07-26 ~ 2019-08-30
3,성북구,37.6113751,127.0529341,공부방 입실인원 관리,장위동청소년공부방,대한민국 서울특별시 성북구 장위2동 장위로40다길 10,2019-08-24 ~ 2019-08-24
4,성북구,,,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,,2019-09-02 ~ 2019-09-06
5,성북구,37.5942553,127.0109401,해오름도서관 성인 평일자원활동,해오름어린이도서관,대한민국 서울특별시 성북구 돈암동 성북로4길 52,2019-06-04 ~ 2019-08-30
6,성북구,37.5942553,127.0109401,해오름도서관 성인 평일 자원활동,해오름어린이도서관,대한민국 서울특별시 성북구 돈암동 성북로4길 52,2019-06-04 ~ 2019-08-30
7,성북구,37.6081968,127.0046046,[정릉실버복지센터] 프로그램 진행보조 자원봉사자 모집,성북구립정릉실버복지센터,대한민국 서울특별시 성북구 정릉동 674-4,2019-08-22 ~ 2019-10-24
8,성북구,37.59893539999999,127.0231516,"도서관 신간도서 등록 및 정리, 도서대출 및 반납,  프로그램 보조 준비,독서지도 멘토링 등",어울림북터 작은도서관,대한민국 서울특별시 성북구 돈암동 동소문로34길,2019-08-28 ~ 2019-09-30
9,성북구,37.6066873,127.0582634,센터 공연팀 홍보영상 및 센터홍보영상 제작 자원봉사자 모집합니다.,성북구립석관실버복지센터,대한민국 서울특별시 성북구 석관동 화랑로32길 88,2019-09-02 ~ 2019-11-20
0,성북구,37.6026988,127.0395356,성북구치매안심센터 업무보조 모집합니다,성북구치매지원센터,대한민국 서울특별시 성북구 하월곡동 46-1,2019-08-13 ~ 2019-11-12
1,성북구,37.600897,127.0184324,백혈병소아암어린이돕기 캠페인활동,한국백혈병새생명후원회,대한민국 서울특별시 성북구 정릉1동 정릉로38길 30-3 1층,2019-08-03 ~ 2019-09-01
2,성북구,37.600897,127.0184324,백혈병소아암어린이돕기 캠페인활동,한국백혈병새생명후원회,대한민국 서울특별시 성북구 정릉1동 정릉로38길 30-3 1층,2019-08-03 ~ 2019-09-01
3,성북구,37.5896291,127.0043859,나마스떼코리아 평일 봉사자 모집,나마스떼코리아,대한민국 서울특별시 성북구 성북동 성북로 19 2층,2019-08-07 ~ 2019-09-06
4,성북구,37.6026988,127.0395356,성북구치매안심센터 업무보조 모집합니다,성북구치매지원센터,대한민국 서울특별시 성북구 하월곡동 46-1,2019-07-26 ~ 2019-10-25
5,성북구,37.5896714,127.0057439,2019 성북동문화재야행 자원봉사자 모집,성북문화원,대한민국 서울특별시 성북구 성북동 성북로4길 13-8,2019-09-20 ~ 2019-09-20
6,성북구,37.5896714,127.0057439,2019 성북동문화재야행 자원봉사자 모집,성북문화원,대한민국 서울특별시 성북구 성북동 성북로4길 13-8,2019-09-21 ~ 2019-09-21
7,성북구,37.5896714,127.0057439,2019 성북동문화재야행 자원봉사자 모집,성북문화원,대한민국 서울특별시 성북구 성북동 성북로4길 13-8,2019-09-22 ~ 2019-09-22
8,성북구,,,[삼양로 일대 거리환경 개선사업] 두근두근 별길마켓 행사보조,서울특별시 성북구,,2019-09-22 ~ 2019-09-22
9,성북구,37.5884876,127.005573,"매주 금요일 오후, 정기봉사자를 모집합니다.",아름다운가게-삼선교점,대한민국 서울특별시 성북구 성북동1가 35-35,2019-07-01 ~ 2019-09-30
0,성북구,37.5816457,127.0209473,바하밥집 도시빈민 대상 무료급식,바하밥집,대한민국 서울특별시 성북구 보문동5가 보문로17길 3 1층,2019-09-03 ~ 2019-09-26
1,성북구,37.5884876,127.005573,"매주 토요일 오후, 장기봉사자를 모집합니다.",아름다운가게-삼선교점,대한민국 서울특별시 성북구 성북동1가 35-35,2019-07-13 ~ 2019-10-12
2,성북구,37.6026988,127.0395356,성북구치매안심센터 안내데스크봉사자1명 모집합니다,성북구치매지원센터,대한민국 서울특별시 성북구 하월곡동 46-1,2019-08-29 ~ 2019-11-28
3,성북구,37.601851,127.024518,아동 교과 학습 지도,한빛지역아동센터,대한민국 서울특별시 돈암동 돈암동삼성아파트입구,2019-09-02 ~ 2019-11-29
4,성북구,37.6000602,127.0314384,성북구마을사회적경제센터 행정보조,성북구마을사회적경제센터,대한민국 서울특별시 성북구 종암동 종암로25길 29 3층,2019-07-22 ~ 2019-10-21
5,성북구,37.6045541,127.0105686,2019년 대학생 멘토단 학교 밖 청소년 학습지원 멘토링,성북구학교밖지원센터,대한민국 서울특별시 성북구 정릉2동 정릉로 242 4층,2019-07-26 ~ 2019-10-25
6,성북구,37.5942553,127.0109401,성북구립 해오름도서관 성인 자원활동,해오름어린이도서관,대한민국 서울특별시 성북구 돈암동 성북로4길 52,2019-09-03 ~ 2019-11-29
7,성북구,37.5942553,127.0109401,성북구립 해오름도서관 성인 자원활동,해오름어린이도서관,대한민국 서울특별시 성북구 돈암동 성북로4길 52,2019-09-03 ~ 2019-11-29
