,지역,시군구,제목,모집기관,봉사기간
0,전라북도,남원시,혼불작은도서관 자원봉사활동,혼불작은도서관,2019-08-03 ~ 2019-08-23
1,전라북도,남원시,자원봉사 V-korea 이그나이트 전북지역대회 행사보조,전라북도,2019-08-23 ~ 2019-08-23
2,전라북도,남원시,노암지역아동센터 방학중 아동지도 및 프로그램보조,노암지역아동센터,2019-07-29 ~ 2019-08-23
3,전라북도,남원시,오들작은도서관 자원봉사,오들작은도서관,2019-08-01 ~ 2019-08-23
4,전라북도,남원시,즐겁고 신나는 여름방학의 꿈,산동지역아동센터,2019-07-29 ~ 2019-08-23
5,전라북도,남원시,솔로몬지역아동센터 토요프로그램,솔로몬지역아동센터,2019-08-01 ~ 2019-08-31
6,전라북도,남원시,시설봉사,포도원,2019-06-01 ~ 2019-08-31
7,전라북도,남원시,엘림지역아동센터 자원봉사 활동,엘림지역아동센터,2019-06-03 ~ 2019-08-30
8,전라북도,남원시,전라북도자원봉사센터 9월 행정업무 지원,전라북도,2019-09-02 ~ 2019-09-30
9,전라북도,남원시,치매파트너 및 치매파트너 플러스 활동,남원시보건소 치매안심과,2019-08-01 ~ 2019-08-31
0,전라북도,남원시,남원교육문화회관 업무보조,남원교육문화회관,2019-09-01 ~ 2019-09-30
1,전라북도,남원시,방학 중 프로그램 보조 및 아동 돌봄,해맑은지역아동센터,2019-07-01 ~ 2019-09-30
2,전라북도,남원시,혼불작은도서관자원봉사,혼불작은도서관,2019-08-16 ~ 2019-08-31
3,전라북도,남원시,제14회 전라북도 과학축전 자원봉사자 모집 공고,전라북도,2019-09-20 ~ 2019-09-22
4,전라북도,남원시,프로그램보조지원,남원평화의집,2019-07-17 ~ 2019-09-17
5,전라북도,남원시,산악사고 예방활동대 자원봉사자 모집,남원소방서,2019-07-01 ~ 2019-09-29
6,전라북도,남원시,어른신 편의생활 보조지원,우리노인복지센터,2019-07-01 ~ 2019-09-30
7,전라북도,남원시,광한루원 한복 자원봉사 도우미,남원시관광시설사업소,2019-07-01 ~ 2019-09-30
8,전라북도,남원시,기초학습 지도 및 프로그램보조,신호등지역아동센터,2019-07-01 ~ 2019-09-30
9,전라북도,남원시,남원노인요양병원 재원어르신 생활보조,전라북도남원노인요양병원,2019-07-01 ~ 2019-09-30
0,전라북도,남원시,아동학습지도 및 놀이지도,죽항지역아동센터,2019-07-01 ~ 2019-09-30
1,전라북도,남원시,동북복지마을 어르신 생활지원 서비스,동북복지마을,2019-07-01 ~ 2019-09-30
2,전라북도,남원시,"생활편의원,프로그램 보조",참사랑지역아동센터,2019-07-01 ~ 2019-09-30
3,전라북도,남원시,어르신케어 도움,동북노인복지센터,2019-08-01 ~ 2019-10-31
4,전라북도,남원시,행사보조 및 환경 정화활동,남원거점스포츠클럽,2019-08-01 ~ 2019-10-31
5,전라북도,남원시,어르신 주거환경 개선및 활동보조,평강원,2019-08-01 ~ 2019-10-31
6,전라북도,남원시,시설봉사,포도원,2019-08-12 ~ 2019-11-10
7,전라북도,남원시,어르신 이미용 봉사,포도원,2019-08-12 ~ 2019-11-10
