,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 안산시 단원구,37.3320601,126.8105841, <년 이웃사랑 송편나눔 행사 배송봉사 >,단원구노인복지관,대한민국 경기도 안산시 단원구 선부동 1077-9,2019-09-03 2019-09-03
1,경기도 안산시 단원구,,, 선부종합사회복지관  물놀이행사보조자원봉사자 ,선부종합사회복지관,,2019-08-31 2019-08-31
2,경기도 안산시 단원구,,, [안산시장애인복지관] 방과후활동 방학프로그램 활동보조,안산시장애인복지관,,2019-08-12 2019-08-23
3,경기도 안산시 단원구,,, 시설봉사,한마음요양원,,2019-07-23 2019-08-31
4,경기도 안산시 단원구,37.3190157,126.8197282, 사회복지 날 행사 봉사자 모집,안산시사회복지협의회,대한민국 경기도 안산시 단원구 초지동 666-1,2019-07-12 2019-09-06
5,경기도 안산시 단원구,37.3348039,126.8278648, [와동종합사회복지관] 제회 함께걷는 좋은친구 생명사랑 걷기축제 자원봉사자 모집,안산시와동종합사회복지관,대한민국 경기도 안산시 단원구 와동 와동로,2019-09-08 2019-09-08
6,경기도 안산시 단원구,37.3348039,126.8278648, [와동종합사회복지관] 에듀투게더 학습 멘토링 봉사자 모집,안산시와동종합사회복지관,대한민국 경기도 안산시 단원구 와동 와동로,2019-07-08 2019-12-31
7,경기도 안산시 단원구,37.3309215,126.7956606, 안산삼성어린이집 보육지원 자원봉사자 모집,안산삼성어린이집,대한민국 경기도 안산시 단원구 원곡동 762-3,2019-07-15 2019-12-20
8,경기도 안산시 단원구,37.3309215,126.7956606, 안산삼성어린이집 멘토링 자원봉사자 모집,안산삼성어린이집,대한민국 경기도 안산시 단원구 원곡동 762-3,2019-07-15 2019-11-29
9,경기도 안산시 단원구,37.3286163,126.8016323, 아동센터 봉사,안산명문가 지역아동센터,대한민국 경기도 안산시 단원구 원곡2동 846,2019-01-01 2019-12-31
10,경기도 안산시 단원구,37.3320601,126.8105841, 단원구노인복지관 경로식당 자원봉사자 모집,단원구노인복지관,대한민국 경기도 안산시 단원구 선부동 1077-9,2019-05-21 2019-12-31
11,경기도 안산시 단원구,37.3348039,126.8278648, 와동종합사회복지관] 경로식당 자원봉사자 모집 ,안산시와동종합사회복지관,대한민국 경기도 안산시 단원구 와동 와동로,2019-04-01 2019-12-31
12,경기도 안산시 단원구,,, <주야간보호서비스 어르신 프로그램 재능기부자 모집>,안산시초지종합사회복지관,,2019-04-01 2019-12-31
13,경기도 안산시 단원구,,, [안산시장애인복지관] 디딤돌교실 프로그램 보조,안산시장애인복지관,,2019-09-02 2019-12-19
14,경기도 안산시 단원구,37.3320601,126.8105841, 단원구노인복지관 검정고시반 교육봉사자 모집,단원구노인복지관,대한민국 경기도 안산시 단원구 선부동 1077-9,2019-01-02 2019-12-20
0,경기도 안산시 단원구,37.3348039,126.8278648, [와동종합사회복지관] 경로식당 자원봉사자 모집,안산시와동종합사회복지관,대한민국 경기도 안산시 단원구 와동 와동로,2019-01-02 2019-12-31
1,경기도 안산시 단원구,37.3320601,126.8105841, 단원구노인복지관 어르신 식사(도시락)  배달 자원활동가 모집,단원구노인복지관,대한민국 경기도 안산시 단원구 선부동 1077-9,2018-11-13 2019-12-31
2,경기도 안산시 단원구,37.3320601,126.8105841, 단원구노인복지관 이미용봉사자 모집,단원구노인복지관,대한민국 경기도 안산시 단원구 선부동 1077-9,2019-05-22 2019-12-31
3,경기도 안산시 단원구,37.3348039,126.8278648, [와동종합사회복지관] 에듀투게더 학습 멘토링 봉사자 모집,안산시와동종합사회복지관,대한민국 경기도 안산시 단원구 와동 와동로,2019-01-01 2019-12-31
