,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 안양시 만안구,37.3929714,126.908509, 제회 사람사랑 생명사랑 걷기축제 행사 보조 봉사자 모집,안양시율목종합사회복지관,대한민국 경기도 안양시 만안구 안양9동 970-3,2019-09-08 2019-09-08
1,경기도 안양시 만안구,37.4122318,126.9209064, 주간보호센터 외부활동 보조 자원봉사자 모집(이천 장애인 체육원),안양관악장애인종합복지관,대한민국 경기도 안양시 만안구 안양2동 22-1,2019-08-23 2019-08-23
2,경기도 안양시 만안구,37.4027873,126.9135904, [안양시만안종합사회복지관] 마을축제기획단 소통 기획단 모집,안양시만안종합사회복지관,대한민국 경기도 안양시 만안구 안양동 830-14,2019-07-29 2019-09-30
3,경기도 안양시 만안구,37.4027873,126.9135904, [안양시만안종합사회복지관] 어르신 이미용(컷트) 자원봉사자 모집,안양시만안종합사회복지관,대한민국 경기도 안양시 만안구 안양동 830-14,2019-05-28 2019-12-31
4,경기도 안양시 만안구,37.3929714,126.908509, 청소년 진로체험 활동 보조 ,안양시율목종합사회복지관,대한민국 경기도 안양시 만안구 안양9동 970-3,2019-06-10 2019-12-31
5,경기도 안양시 만안구,37.3841868,126.9027309, 장애인 프로그램 보조 및 말벗 보조등(외부활동시 동행) ,열손가락장애인주간보호센터,대한민국 경기도 안양시 만안구 안양동 창박로 41 304호 305호,2019-06-15 2019-12-21
6,경기도 안양시 만안구,37.4027873,126.9135904, [안양시만안종합사회복지관] 해설이 있는 영화감상 및 상영 프로그램 진행,안양시만안종합사회복지관,대한민국 경기도 안양시 만안구 안양동 830-14,2019-06-01 2019-12-31
7,경기도 안양시 만안구,37.3929714,126.908509, 안양시 율목종합사회복지관 행복나눔센터 행복나눔서포터즈 모집,안양시율목종합사회복지관,대한민국 경기도 안양시 만안구 안양9동 970-3,2019-05-02 2019-12-31
8,경기도 안양시 만안구,37.3841868,126.9027309, 열손가락장애인주간보호센터 봉사자 모집,열손가락장애인주간보호센터,대한민국 경기도 안양시 만안구 안양동 창박로 41 304호 305호,2019-03-04 2019-12-31
9,경기도 안양시 만안구,37.4027329,126.91343, [안양시만안장애인주간보호센터]  정기비정기 자원봉사자를 모집합니다,안양시만안장애인주간보호센터,대한민국 경기도 안양시 만안구 안양동 박달로 547 2층,2019-02-22 2019-12-31
10,경기도 안양시 만안구,37.3945628,126.9117455, 중고등부 방과후학습지도및멘토링활동 ,한숲지역아동센터,대한민국 경기도 안양시 만안구 안양9동 969-13,2019-03-04 2019-12-31
11,경기도 안양시 만안구,37.38765739999999,126.9353304, 요양원 시설봉사,복수초요양원,대한민국 경기도 안양시 만안구 안양동 덕천로 74,2019-01-01 2019-12-31
12,경기도 안양시 만안구,37.3872503,126.931368, 안양시장애인자립생활센터 주방(요리) 자원봉사자 모집,안양시장애인자립생활센터,대한민국 경기도 안양시 만안구 안양동,2019-01-03 2019-12-31
13,경기도 안양시 만안구,37.3872503,126.931368, 안양시장애인자립생활센터 목욕봉사 자원봉사자 모집,안양시장애인자립생활센터,대한민국 경기도 안양시 만안구 안양동,2019-01-03 2019-12-31
14,경기도 안양시 만안구,37.3848715,126.9270659, 작업활동보조 멘토링 프로그램 지원,안양시수리장애인보호작업장,대한민국 경기도 안양시 만안구 안양동 냉천로 39,2019-01-01 2019-12-31
0,경기도 안양시 만안구,37.3841868,126.9027309, 열손가락장애인주간보호센터와 함께할 미용봉사자를 모집합니다,열손가락장애인주간보호센터,대한민국 경기도 안양시 만안구 안양동 창박로 41 304호 305호,2019-01-01 2019-12-31
1,경기도 안양시 만안구,37.3944289,126.9264719, 안양 중화한방요양병원이미용,의료법인 원천의료재단,대한민국 경기도 안양시 만안구 안양동 관악대로 10,2018-07-10 2019-12-31
