,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,대구광역시 북구,35.8956921,128.6114477, 우편발송 라벨작업 봉사자 모집,가정종합사회복지관,대한민국 대구광역시 북구 산격3동 1304-1,2019-08-24 2019-08-24
1,대구광역시 북구,35.9063022,128.6027417, 장애인 목욕 서비스 봉사,상록뇌성마비복지관,대한민국 대구광역시 북구 산격2동 608-2,2019-08-22 2019-12-31
2,대구광역시 북구,35.8898504,128.5780231, 가정북구노인복지센터 업무지원 토요봉사자 모집,가정북구노인복지센터,대한민국 대구광역시 북구 노원동 오봉로6길 12 2층,2019-08-24 2019-08-24
3,대구광역시 북구,35.8956921,128.6114477, 년 하반기 경로당회장단간담회 행사보조 자원봉사자 모집 ,가정종합사회복지관,대한민국 대구광역시 북구 산격3동 1304-1,2019-08-27 2019-08-28
4,대구광역시 북구,35.9428816,128.570319, 함지노인복지관 인지지원서비스(보약같은 친구)가 되어주실 봉사자 분을 모집합니다,함지노인복지관,대한민국 대구광역시 북구 구암동 동암로 180,2019-08-14 2019-12-31
5,대구광역시 북구,35.8956921,128.6114477, 깨끗한 마을 만들기 캠페인 대학생 봉사자 모집,가정종합사회복지관,대한민국 대구광역시 북구 산격3동 1304-1,2019-08-24 2019-08-24
6,대구광역시 북구,35.9378261,128.5455021, [아동청소년 야간보호사업]  대기만성교실,선린종합사회복지관,대한민국 대구광역시 북구 관음동 관음동로9길 10-25,2019-08-02 2019-12-31
7,대구광역시 북구,35.9378261,128.5455021, [선린복지관] 아동 프로그램 봉사자 모집,선린종합사회복지관,대한민국 대구광역시 북구 관음동 관음동로9길 10-25,2019-08-07 2019-12-18
8,대구광역시 북구,35.9217049,128.5459467, 초등돌봄교실 멘토링 봉사자 모집,대구북구건강가정지원센터,대한민국 대구광역시 북구 관음동 칠곡중앙대로 473 조은빌딩 2층,2019-07-10 2019-12-31
9,대구광역시 북구,35.9063022,128.6027417, 장애인부업작업장 활동,상록뇌성마비복지관,대한민국 대구광역시 북구 산격2동 608-2,2019-07-09 2019-12-31
