,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,대전광역시 서구,,, 거동불편노인 도시락배달,월드비전 한밭종합사회복지관,,2019-08-21 2019-12-31
1,대전광역시 서구,,, 기아체험 대학생 봉사자 모집 ,월드비전 한밭종합사회복지관,,2019-08-23 2019-08-24
2,대전광역시 서구,,, 사랑의 빵 동전 모으기 봉사자 (재공고),월드비전 한밭종합사회복지관,,2019-08-26 2019-09-18
3,대전광역시 서구,,, 대전 방과후 봉사자 모집,대전,,2019-08-19 2019-09-30
4,대전광역시 서구,,, 음악치료사를 모십니다,한뜻마을,,2019-08-14 2019-12-31
5,대전광역시 서구,,, [실버누리요양원] 봉사자님들을 초대합니다(정기),실버누리요양원,,2019-08-13 2019-12-31
6,대전광역시 서구,,, 사랑의 빵 동전모으기 캠페인,월드비전 한밭종합사회복지관,,2019-08-26 2019-09-18
7,대전광역시 서구,,, 유아 마라톤 행사 보조,대전,,2019-09-09 2019-09-09
8,대전광역시 서구,,, 장애아동탁아방 무지개교실 일일캠프,월평종합사회복지관,,2019-08-23 2019-08-23
9,대전광역시 서구,,, 어르신들 식사수발 및 청소 등,봄빛노인요양원,,2019-08-06 2020-12-31
10,대전광역시 서구,,,  세계 자살예방의 날 기념행사 및 생명존중도시 대전 선포식 자원봉사자 모집,대전광역정신건강복지센터,,2019-09-02 2019-09-02
11,대전광역시 서구,,, [실버누리요양원] 봉사자님들을 초대합니다(환경관리),실버누리요양원,,2019-07-25 2019-12-31
12,대전광역시 서구,,, <생명사랑밤길걷기 서포터즈를 모집합니다>,생명종합사회복지관,,2019-09-21 2019-09-22
13,대전광역시 서구,,, 사무보조(컴퓨터 입력),재)사랑의장기기증운동본부대전충남지역운동본부,,2019-07-22 2019-12-31
14,대전광역시 서구,,, 대전서구꿈드림센터 멘토 모집,대전서구청소년상담복지센터,,2019-07-05 2019-12-31
0,대전광역시 서구,,, (정림종합사회복지관) 함초더초 어린이위원회 자원봉사자 모집,정림종합사회복지관,,2019-07-01 2019-12-31
1,대전광역시 서구,,, 건강 죽 나누기 사업 자원봉사자 모집,둔산종합사회복지관,,2019-06-28 2019-12-27
2,대전광역시 서구,,, 원내청소 및 말벗,한줄기,,2019-06-21 2019-12-31
3,대전광역시 서구,,, 수밋들어린이도서관 정기 자원봉사자 모집,정림종합사회복지관,,2019-06-12 2019-12-31
4,대전광역시 서구,,, () 생활영어체험학습관 봉사자 모집 (),월드비전 한밭종합사회복지관,,2019-06-17 2019-12-31
5,대전광역시 서구,,, 관저복지관 블로그 기자단 모집,관저종합사회복지관,,2019-06-11 2019-12-31
6,대전광역시 서구,,, 청소년쉼터 쾌적한 환경조성청소,대전여자중장기청소년쉼터,,2019-06-04 2019-12-31
7,대전광역시 서구,,, 서구노인복지관 이미용 자원봉사자 모집,서구노인복지관,,2019-05-21 2019-12-31
8,대전광역시 서구,,, 초등 학년 학습지도,혜성지역아동센터,,2019-04-23 2019-12-31
9,대전광역시 서구,,, 자원봉사,목련봉사회,,2019-04-23 2019-12-31
10,대전광역시 서구,,, 어르신 케어 보조,가가호호주간보호센터,,2019-04-16 2019-12-31
11,대전광역시 서구,,, 고운누리 시설 봉사(업무보조),고운누리,,2019-04-15 2999-04-15
12,대전광역시 서구,,, 학습지도,혜성지역아동센터,,2019-04-12 2019-12-31
13,대전광역시 서구,,, <청소년> 전통문화 및 역사의식 증진프로그램 활동 보조,용문종합사회복지관,,2019-04-17 2019-11-27
14,대전광역시 서구,,, 마약류 및 약물오남용예방 캠페인 자원봉사,대전광역시 마약퇴치운동본부,,2019-04-03 2019-10-31
0,대전광역시 서구,,, 아름다운가게 대전 탄방점  자원봉사자 모집,아름다운가게 대전충청본부,,2019-04-03 2019-12-31
1,대전광역시 서구,,, 아동 학습지도,사랑나무지역아동센터,,2019-01-01 2019-12-31
2,대전광역시 서구,,, 년 함초더초 어린이위원회 전문 자원봉사자 모집 안내,정림종합사회복지관,,2019-03-28 2019-12-31
3,대전광역시 서구,,, 지역사회 인식증진을 위한 홍보 캠페인,월평종합사회복지관,,2019-03-19 2019-12-10
4,대전광역시 서구,,, 컴퓨터 지도해 주실분을 찾습니다,한뜻마을,,2019-03-17 2019-12-31
5,대전광역시 서구,,, 오카리나 지도,향기로운지역아동센터,,2019-03-14 2019-12-31
6,대전광역시 서구,,, 초등저학년 학습지도봉사,향기로운지역아동센터,,2019-03-14 2019-12-31
7,대전광역시 서구,,, 장애인자조단체 조력자를 모집합니다,(사)대전광역시장애인부모회,,2019-04-02 2019-11-29
8,대전광역시 서구,,, 이동 목욕 봉사 가사서비스,둔산종합사회복지관,,2019-03-08 2019-12-31
9,대전광역시 서구,,,  장애인 자조단체 조력자(유급자원봉사자) 모집,(사)대전광역시장애인부모회,,2019-04-02 2019-11-09
