,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,부산광역시 강서구,,, 차량 및 동행지원 서비스 ,강서노인종합복지관,,2019-08-21 2019-12-31
1,부산광역시 강서구,,, 재가 어르신 세탁서비스 지원,강서노인종합복지관,,2019-08-21 2019-12-31
2,부산광역시 강서구,35.2167984,128.9594017, 차량 지원 및 병원동행 봉사자 모집,강서구종합사회복지관,대한민국 부산광역시 강서구 대저1동 대저로63번길 31,2019-07-19 2019-12-31
3,부산광역시 강서구,35.2046926,129.0016043, [낙동지역아동센터]  학습지도 및 프로그램 보조 자원봉사자를 모집합니다,낙동지역아동센터,대한민국 부산광역시 북구 구포1동 718-25,2019-07-22 2019-08-30
4,부산광역시 강서구,35.0562045,128.8289971, 시설 거주인 프로그램보조 및 시설환경정리 보조활동 모집,진애생활복지원,대한민국 부산광역시 강서구 성북동 786-1,2019-06-27 2019-12-31
5,부산광역시 강서구,,, 따뜻한 식사배달 자원봉사자 모집,강서노인종합복지관,,2019-06-24 2019-12-31
6,부산광역시 강서구,35.0562045,128.8289971, 재능 기부 무료 봉사자,진애생활복지원,대한민국 부산광역시 강서구 성북동 786-1,2019-05-30 2019-12-31
7,부산광역시 강서구,,, 경로식당 자원봉사자 모집,강서노인종합복지관,,2019-05-29 2019-12-31
8,부산광역시 강서구,35.0562045,128.8289971, 장애인 프로그램보조 활동,진애생활복지원,대한민국 부산광역시 강서구 성북동 786-1,2019-05-13 2019-12-31
9,부산광역시 강서구,,, 치료 프로그램 보조,인혜원,,2019-02-20 2019-12-27
10,부산광역시 강서구,35.1197193,128.9028179, 어르신문해교실 자원봉사자 모집,낙동종합사회복지관,대한민국 부산광역시 강서구 명지동 순아강변길 5,2019-03-01 2019-11-30
11,부산광역시 강서구,35.1197193,128.9028179, 학습지도 멘토봉사자 모집,낙동종합사회복지관,대한민국 부산광역시 강서구 명지동 순아강변길 5,2019-01-16 2019-12-31
12,부산광역시 강서구,,, 이미용 봉사,인혜원,,2018-10-15 2019-12-31
