,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,부산광역시 북구,35.260726,129.0152424, 와글와글 주민장터,동원종합사회복지관,대한민국 부산광역시 북구 금곡동 금곡대로616번길 10-9,2019-08-24 2019-08-24
1,부산광역시 북구,35.2102904,129.0446819, [해뜨락요양병원] 웃음치료 실버체조 마술 등 봉사활동 모집,의료법인 청송의료재단 해뜨락요양병원,대한민국 부산광역시 북구 만덕2동 덕천로381번길 9-3,2019-08-21 2020-08-31
2,부산광역시 북구,35.1940794,129.0085918, 경로당혁신프로그램 추석한가위 명절음식만들기 및 윷놀이 자원봉사자 모집,실버벨노인복지관,대한민국 부산광역시 북구 구포3동 1255-2,2019-08-26 2019-09-11
3,부산광역시 북구,35.2268076,129.0097984, 지역 내 지적 자폐성 장애 청소년과 지역주민들의 동화책벽화활동을 통한 지역소통프로젝트  ,화명종합사회복지관,대한민국 부산광역시 북구 화명3동 금곡대로199번길 21,2019-08-20 2019-12-31
4,부산광역시 북구,35.2670431,129.0175334, 지역사회와 함께하는 명절 한마당,북구장애인종합복지관,대한민국 부산광역시 북구 금곡동 54-3,2019-09-06 2019-09-06
5,부산광역시 북구,35.2589052,129.0155061,  아동미술심리 프로그램 자원봉사자 모집 ,금곡종합사회복지관,대한민국 부산광역시 북구 금곡동 810-1,2019-09-05 2019-12-05
6,부산광역시 북구,35.1950662,129.007885, 업무보조자원봉사자모집,부산광역시시각장애인복지관,대한민국 부산광역시 북구 구포3동 시랑로132번길 38,2019-08-19 2019-12-31
7,부산광역시 북구,35.2524851,129.0148704, 다문화가족  멘토멘티 자원봉사자 모집,부산북구다문화가족지원센터,대한민국 부산광역시 북구 금곡동 효열로 76,2019-09-16 2019-12-31
8,부산광역시 북구,,, 년 정리수납 자원봉사자 모집 부산서부아동보호전문기관 ,부산서부아동보호전문기관,,2019-09-01 2019-12-31
9,부산광역시 북구,35.2017871,129.0353876, 만덕복지관 자원봉사자 모집 ,만덕종합사회복지관,대한민국 부산광역시 북구 만덕2동 함박봉로140번길 102,2019-08-19 2019-08-23
10,부산광역시 북구,35.1942491,129.0086728, 숨은물건 재능 공유 프로젝트 구포 계수작 플리마켓 ,장선종합사회복지관,대한민국 부산광역시 북구 구포3동 1255-2,2019-08-31 2019-08-31
11,부산광역시 북구,35.210184,129.0372292, [요양원]이미용봉사자 모집합니다,청록만덕실버센터,대한민국 부산광역시 북구 만덕2동 만덕2로44번길 10,2019-07-29 2019-12-31
12,부산광역시 북구,35.2442775,129.010093,  장애인평생교육지원사업 세상을 향한 기지개 학습지도 봉사자 모집,부산뇌병변복지관,대한민국 부산광역시 북구 금곡동 학사로 246,2019-08-09 2019-11-29
13,부산광역시 북구,35.1942491,129.0086728, <장선종합사회복지관>멘토링학습지원 ,장선종합사회복지관,대한민국 부산광역시 북구 구포3동 1255-2,2019-07-12 2019-12-31
14,부산광역시 북구,35.1940794,129.0085918, 실버벨노인복지관 스마트폰수업 자원봉사모집,실버벨노인복지관,대한민국 부산광역시 북구 구포3동 1255-2,2019-07-05 2019-11-01
0,부산광역시 북구,35.2268076,129.0097984, 화명종합사회복지관 자람터 여름방학기간 자원봉사자 모집,화명종합사회복지관,대한민국 부산광역시 북구 화명3동 금곡대로199번길 21,2019-07-22 2019-08-28
1,부산광역시 북구,35.2268076,129.0097984,  화명복지관 아동스포츠프로그램  자원봉사자를 모집합니다 ,화명종합사회복지관,대한민국 부산광역시 북구 화명3동 금곡대로199번길 21,2019-06-01 2019-11-30
2,부산광역시 북구,35.2091618,129.0162998, 덕천종합사회복지관 어르신 식사배달 봉사자를 모집합니다),덕천종합사회복지관,대한민국 부산광역시 북구 덕천3동 덕천로 74,2019-06-03 2019-12-31
3,부산광역시 북구,35.1940794,129.0085918, 경로식당 자원봉사자 모집,실버벨노인복지관,대한민국 부산광역시 북구 구포3동 1255-2,2019-05-16 2019-08-31
4,부산광역시 북구,35.2093832,129.0137594, 부산북구시니어클럽 공동작업장 내 업무보조,북구시니어클럽,대한민국 부산광역시 북구 덕천3동 덕천로 83,2019-05-13 2019-12-31
5,부산광역시 북구,35.1942491,129.0086728, 구포  발굴단 ,장선종합사회복지관,대한민국 부산광역시 북구 구포3동 1255-2,2019-08-01 2019-12-31
6,부산광역시 북구,35.2091618,129.0162998, 덕천복지관 경로식당 자원봉사자를 모집합니다,덕천종합사회복지관,대한민국 부산광역시 북구 덕천3동 덕천로 74,2019-05-02 2019-12-31
7,부산광역시 북구,35.2670431,129.0175334, 반찬지원 봉사자모집,북구장애인종합복지관,대한민국 부산광역시 북구 금곡동 54-3,2019-04-23 2019-12-31
8,부산광역시 북구,35.2268076,129.0097984, 아동 멘토링 자원봉사자 모집  화명종합사회복지관,화명종합사회복지관,대한민국 부산광역시 북구 화명3동 금곡대로199번길 21,2019-04-12 2019-12-31
9,부산광역시 북구,35.2091618,129.0162998, 덕천 종합사회복지관에 재능나눔해주실 자원봉사자를 모집합니다,덕천종합사회복지관,대한민국 부산광역시 북구 덕천3동 덕천로 74,2019-04-15 2019-12-31
10,부산광역시 북구,35.260726,129.0152424, 찾아가는 이미용서비스(커트),동원종합사회복지관,대한민국 부산광역시 북구 금곡동 금곡대로616번길 10-9,2019-04-10 2019-12-31
11,부산광역시 북구,35.21197230000001,129.0112094, 부산부민병원 자원봉사자님을 모십니다,부민병원,대한민국 부산광역시 북구 덕천1동 만덕대로 59,2019-04-08 2019-12-31
12,부산광역시 북구,35.2106489,129.0452291, 해뜨락요양원에서 이미용 봉사자를 모집합니다,해뜨락요양원,대한민국 부산광역시 북구 만덕2동 97-6,2019-04-05 2019-12-31
13,부산광역시 북구,,, 년 멘토링 프로그램 자원 봉사자 추가 모집 부산서부아동보호전문기관 ,부산서부아동보호전문기관,,2019-04-03 2019-12-31
14,부산광역시 북구,35.1942491,129.0086728, 위풍당당,장선종합사회복지관,대한민국 부산광역시 북구 구포3동 1255-2,2019-04-01 2019-12-31
0,부산광역시 북구,35.2526281,129.014673, 년 독거장애노인 심리 정서 지원프로그램 다섯손가락 자원봉사자 모집,화정종합사회복지관,대한민국 부산광역시 북구 금곡동 1108,2019-03-20 2019-12-14
1,부산광역시 북구,35.1942491,129.0086728, 반찬지원서비스 조리 및 배달 봉사자 모집,장선종합사회복지관,대한민국 부산광역시 북구 구포3동 1255-2,2019-03-20 2019-12-31
