,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,인천광역시 중구,37.4676797,126.6338948, 중구노인복지관 경로식당 자원봉사자 모집,중구노인복지관,대한민국 인천광역시 중구 신흥동2가 23,2019-08-01 2019-09-30
1,인천광역시 중구,37.4744109,126.6272554, 푸드마켓 업무보조(오후타임),성미가엘종합사회복지관,대한민국 인천광역시 중구 내동 3-5,2019-07-19 2019-12-31
2,인천광역시 중구,37.4744109,126.6272554, 푸드마켓 업무보조(오전타임),성미가엘종합사회복지관,대한민국 인천광역시 중구 내동 3-5,2019-07-19 2019-12-31
3,인천광역시 중구,37.4744109,126.6272554, 성인문해교육 유급봉사자 모집,성미가엘종합사회복지관,대한민국 인천광역시 중구 내동 3-5,2019-07-16 2019-12-31
4,인천광역시 중구,37.4744109,126.6272554, 옹기종기공부방 학습보조 자원봉사자 모집,성미가엘종합사회복지관,대한민국 인천광역시 중구 내동 3-5,2019-07-04 2019-12-31
5,인천광역시 중구,,, 인천지역 복지사각지대  임신 출산 전 후 미혼모 대상자 발굴,사단법인 여성인권동감,,2019-05-22 2020-04-30
6,인천광역시 중구,37.4527122,126.6280816, 관현악 악기교습(,인천광역시중구장애인종합복지관,대한민국 인천광역시 중구 신흥동3가 30-17,2019-05-02 2019-11-30
7,인천광역시 중구,37.4732406,126.6290472, 생신잔치 공연봉사단 모집합니다,예봄요양원,대한민국 인천광역시 중구 동인천동 우현로67번길 1-6,2019-05-27 2020-05-25
8,인천광역시 중구,37.4527122,126.6280816, 직업적응훈련반 작업활동 보조 및 지도 (영종도),인천광역시중구장애인종합복지관,대한민국 인천광역시 중구 신흥동3가 30-17,2019-01-21 2019-12-20
9,인천광역시 중구,37.4744109,126.6272554, 노인무료급식소 식사배달,성미가엘종합사회복지관,대한민국 인천광역시 중구 내동 3-5,2019-01-08 2019-12-31
10,인천광역시 중구,37.4744109,126.6272554, 방문 이미용 봉사자,성미가엘종합사회복지관,대한민국 인천광역시 중구 내동 3-5,2019-01-01 2019-12-31
11,인천광역시 중구,37.4694616,126.625544, 이미용 봉사,우리들효요양원,대한민국 인천광역시 중구 사동 17-8 5층,2018-12-06 2019-12-31
12,인천광역시 중구,37.4527122,126.6280816, 수영프로그램보조,인천광역시중구장애인종합복지관,대한민국 인천광역시 중구 신흥동3가 30-17,2018-12-06 2019-12-31
13,인천광역시 중구,37.471637,126.6317874, 목욕봉사자님 모집합니다,예지요양병원,대한민국 인천광역시 중구 경동 187-3,2018-11-27 2019-11-27
