,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,전라남도 여수시,34.7344027,127.7186829, 환경미화 및 봉사활동,국동지역아동센터,대한민국 전라남도 여수시 국동 구봉산길 11 2층,2019-07-25 2019-09-30
1,전라남도 여수시,34.7699395,127.7083358, 이미용서비스 자원봉사자 모집합니다,미평종합사회복지관,대한민국 전라남도 여수시 미평동 284,2019-07-15 2019-12-31
2,전라남도 여수시,,, 여수(지역아동센터)학습지도 외,행복꿈터 새빛지역아동센터,,2019-07-10 2020-12-31
3,전라남도 여수시,34.7497074,127.7286007, 영어학습 봉사자 모집합니다,여수삼혜원,대한민국 전라남도 여수시 연등동 382-1,2019-05-01 2019-12-31
4,전라남도 여수시,34.7497074,127.7286007, 컴퓨터 점검 및 수리 가능하신 봉사자님 찾습니다,여수삼혜원,대한민국 전라남도 여수시 연등동 382-1,2019-05-20 2019-12-31
5,전라남도 여수시,34.7321103,127.7171553, 오감만족희망밥차 효도급식 운영 봉사,동여수노인복지관,대한민국 전라남도 여수시 국동 국동5길 7 5,2019-05-03 2019-12-31
6,전라남도 여수시,34.7321103,127.7171553, 동여수노인복지관 경로식당 자원봉사자 모집,동여수노인복지관,대한민국 전라남도 여수시 국동 국동5길 7 5,2019-05-29 2020-05-31
7,전라남도 여수시,34.7699395,127.7083358, 어르신 초졸 검정고시 선생님 모집,미평종합사회복지관,대한민국 전라남도 여수시 미평동 284,2019-04-15 2019-12-31
8,전라남도 여수시,,, [여수] 천사무료급식소 자원봉사자모집,(사)전국자원봉사연맹,,2019-03-13 2019-12-31
9,전라남도 여수시,34.7495336,127.6929822, 도시락 배달 자원봉사자를 모집합니다,문수종합사회복지관,대한민국 전라남도 여수시 문수동 797,2019-02-07 2019-12-31
10,전라남도 여수시,34.7709116,127.6430518, 자원봉사자 모집합니다,무선지역아동센터,대한민국 전라남도 여수시 화장동 화산1길 68,2019-01-29 2019-12-31
11,전라남도 여수시,34.7742008,127.6426203, 누룽지 작업 보조(정기적,여수장애인재활자립장,대한민국 전라남도 여수시 화장동,2018-11-19 2019-12-31
12,전라남도 여수시,34.76304410000001,127.658722, 이미용서비스 봉사자,쌍봉종합사회복지관,대한민국 전라남도 여수시 학동 65,2018-11-01 2019-12-31
