,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,충청북도 청주시 서원구,,, 당구프로그램 보조,청주정신건강센터,,2019-07-18 2019-12-31
1,충청북도 청주시 서원구,,, 구연동화 이야기 나누기,충북복지연합요양원,,2019-07-18 2019-12-31
2,충청북도 청주시 서원구,,, 발달장애인 지역사회 적응지원 사업,혜원장애인종합복지관,,2019-07-10 2019-09-20
3,충청북도 청주시 서원구,,, 지적장애인 대상 위생 건강 교육,산,,2019-06-24 2019-10-31
4,충청북도 청주시 서원구,,, 어르신 목욕도움,실버메디컬 복지센터 노인요양원,,2019-06-11 2019-12-31
5,충청북도 청주시 서원구,,, 경로식당 보조 및 배식 봉사자 모집 ,청주서원노인복지관,,2019-04-24 2019-12-31
6,충청북도 청주시 서원구,,, 원예프로그램 보조 모집,청주정신건강센터,,2019-03-01 2019-12-31
7,충청북도 청주시 서원구,,, 성인장애인 원예프로그램 지원,혜원장애인종합복지관,,2019-03-06 2019-11-27
8,충청북도 청주시 서원구,,, 성인장애인평생교육사업 배드민턴 교실 지원,혜원장애인종합복지관,,2019-03-09 2019-11-30
9,충청북도 청주시 서원구,,, 장애인직업재활시설 근로인 작업보조 자원봉사,춤추는 북카페,,2019-01-01 2019-12-31
