,지역,시군구,기관,주소
0,강원도,삼척시,강원대학교 부설 중독과 트라우마회복연구소,강원도 삼척시 중앙로 346
1,강원도,삼척시,강원대학교 삼척캠퍼스(도계운영지원과),강원도 삼척시 도계읍 황조길 346
2,강원도,삼척시,삼척시교동주민센터,강원도 삼척시 대학로 88-14
3,강원도,삼척시,삼척시남양동주민센터,강원도 삼척시 남양길 11
4,강원도,삼척시,삼척시정라동주민센터,강원도 삼척시 새천년도로 16
5,강원도,삼척시,삼척시청건설과,강원도 삼척시 중앙로 296
6,강원도,삼척시,삼척시청주민생활지원과,강원도 삼척시 중앙로 296
7,강원도,삼척시,삼척시청환경보호과,강원도 삼척시 중앙로 296
8,강원도,삼척시,삼척여자중학교,강원도 삼척시 성당길 63-7
9,강원도,삼척시,삼척중앙시장문화관광형시장육성사업단,강원도 삼척시 오십천로 437-21 2층
0,강원도,삼척시,가곡면사무소,강원도 삼척시 가곡천로 1477 가곡면사무소
1,강원도,삼척시,강원도삼척교육지원청Wee센터,강원도 삼척시 청석로3길 32 삼척교육지원청
2,강원도,삼척시,삼척교육지원청 교육과,강원도 삼척시  청석로3길 32 삼척교육지원청 교육과
3,강원도,삼척시,삼척시도계읍사무소,강원도 삼척시 도계읍 도계로 308 도계읍 행정복지센터
4,강원도,삼척시,삼척시보건소,강원도 삼척시 척주로 76 (남양동 347-4번지)
5,강원도,삼척시,삼척시청 안전총괄과,강원도 삼척시  중앙로 296 삼척시청 별관2층 안전총괄과
6,강원도,삼척시,삼척시청민원봉사과,강원도 삼척시 중앙로 296
7,강원도,삼척시,삼척시청사회복지과,강원도 삼척시 중앙로 296
8,강원도,삼척시,삼척시청총무과,강원도 삼척시 중앙로 296
9,강원도,삼척시,삼척시하장면사무소,강원도 삼척시 하장길 118
0,강원도,삼척시,23사단,강원도 삼척시 교동 삼척시청 23사단
1,강원도,삼척시,강원대학교 삼척캠퍼스,강원도 삼척시 중앙로 346 강원대학교 삼척캠퍼스
