,지역,시군구,기관,주소
0,강원도,양양군,8군단,강원도 양양군 손양면 동해대로 2493 8군단 인사처
1,강원도,양양군,디모테오꿈마을요양원,강원도 양양군 양양읍 화일리 123번지
2,강원도,양양군,면옥치리사랑의집,강원도 양양군 현북면 면옥치리 0
3,강원도,양양군,양양군보건소,강원도 양양군 양양읍 9-5
4,강원도,양양군,양양군사회복지협의회,강원도 양양군 양양읍 일출로 540 양양군사회복지협의회 (양양군문화복지회관)
5,강원도,양양군,양양군여성회관,강원도 양양군 양양읍 월리 48-2
6,강원도,양양군,양양군자원봉사센터,강원도 양양군 양양읍 일출로 540
7,강원도,양양군,양양군치매안심센터,강원도 양양군 양양읍 양양로 9-5 양양군보건소
8,강원도,양양군,양양도서관,강원도 양양군 양양읍 군행리 13
9,강원도,양양군,양양문화원,강원도 양양군 양양읍 양양로 114-5 양양문화원
0,강원도,양양군,사)한국예총 양양군지회,강원도 양양군 양양읍 일출로 540 문화복지회관1층 양양예총 사무실
1,강원도,양양군,속초보호관찰소,강원도 속초시 조양동 1
2,강원도,양양군,속초양양교육지원청,강원도 속초시 교동 776-1
3,강원도,양양군,양양감리교회,강원도 양양군 양양읍 성내리 12
4,강원도,양양군,양양군노인복지관,강원도 양양군 양양읍 일출로 540
5,강원도,양양군,양양여자중고등학교,강원도 양양군 양양읍 서문리 3길
6,강원도,양양군,양양전통시장,강원도 양양군 양양읍 남문5길 4-1 양양시장번영회
7,강원도,양양군,양양지역아동센터,"강원도 양양군 양양읍 관아길 4-55 2층, 양양지역아동센터"
8,강원도,양양군,현남면복지회관,강원도 양양군 현남면 인구1리 123
9,강원도,양양군,홀로섬이한마음지역아동센터,강원도 양양군 양양로 135-1
0,강원도,양양군,119소방안전센터,강원도 양양군 양양읍 월리 0
1,강원도,양양군,가족노인주간보호센터,강원도 양양군 양양읍 한고개길 155 A동
2,강원도,양양군,손양면사무소,강원도 양양군 손양면 하왕도리 0
3,강원도,양양군,양양군,강원 양양군 양양읍 군행리 8
4,강원도,양양군,양양군드림스타트센터,강원 양양군 양양읍 월리 48-2 여성회관2층 드림스타트
5,강원도,양양군,양양군청광장,강원도 양양군 양양읍 군행리 양양군청
6,강원도,양양군,양양연탄은행,강원도 양양군 양양읍 일출로 540
7,강원도,양양군,양양우체국,강원도 양양군 양양읍 양양우체국 0
8,강원도,양양군,천사노인복지센터,강원도 속초시 교동 665-4
9,강원도,양양군,현산소규모요양원,강원도 양양군 양양읍 서문리 316-1
0,강원도,양양군,군청사거리,강원도 양양군 양양읍 군행리 0
1,강원도,양양군,독립문삼거리,강원도 양양군 양양읍 서문리 0
2,강원도,양양군,동호리해수욕장,강원도 양양군 손양면 동호리 0
3,강원도,양양군,문화복지회관수영장,강원도 양양군 양양읍 연창리 0
4,강원도,양양군,양양관내,강원도 양양군 양양읍 1
5,강원도,양양군,양양초등학교사거리,강원도 양양군 양양읍 군행리 0
6,강원도,양양군,어르신게이트볼대회,강원도 양양군 양양읍 1
7,강원도,양양군,임천교차로,강원도 양양군 양양읍 임천리 0
8,강원도,양양군,정다운마을,강원도 양양군 서면 논화리 183-1
9,강원도,양양군,터미널연창신호대,강원도 양양군 양양읍 연창리 0
0,강원도,양양군,강현면,강원도 양양군 강현면 0
1,강원도,양양군,낙산노인복지센터,강원도 양양군 강현면 금풍리 75-1
2,강원도,양양군,남대천둔치,강원도 양양군 양양읍 0
3,강원도,양양군,동호리마을회관,강원도 양양군 손양면 동호리 양양국제공항 0
4,강원도,양양군,문화복지회관1층노인정,강원도 양양군 양양읍 연창리 203-19
5,강원도,양양군,양양군체육관,강원도 양양군 양양읍 서문리 0
6,강원도,양양군,양양초등학교체육관,강원도 양양군 양양읍 0
7,강원도,양양군,월리열동네,강원도 양양군 양양읍 월리 0
8,강원도,양양군,현남면,강원도 양양군 현남면 0
9,강원도,양양군,후원회25가구,강원도 양양군 양양읍 남문1리 0
0,강원도,양양군,8군단,강원도 양양군 손양면 간리 8군단
1,강원도,양양군,국립산림과학원,강원도 양양군 양양읍 양양군청 오대산 숲속수련장
2,강원도,양양군,무산지역아동센터,강원 양양군 양양읍 서문리 115-3
3,강원도,양양군,문화복지회관3층,강원도 양양군 양양읍 연창리 1
4,강원도,양양군,상락원,강원도 양양군 강현면 금풍리 75-1
5,강원도,양양군,양양군,강원도 양양군 양양읍 .
6,강원도,양양군,양양군자원봉사센터,강원 양양군 양양읍 군행리
7,강원도,양양군,"인구1,2리,포매,견불,보리수",강원도 양양군 현남면 인구1리 0
8,강원도,양양군,충용비젼센타,강원 양양군 강현면 정암리 충용비젼센타
9,강원도,양양군,현산소규모요양원,강원 양양군 양양읍 서문리 316번지
0,강원도,양양군,모정의집,강원도 양양군 현북면 장리 모정의집
1,강원도,양양군,서면,강원도 양양군 서면 공수전리 0
2,강원도,양양군,손양면,강원도 양양군 손양면 상운리 0
3,강원도,양양군,송이보물찾기행사장,강원도 양양군 서면 0
4,강원도,양양군,양양국제공항,강원도 양양군 손양면 학포리 0
5,강원도,양양군,양양송이조각공원,강원도 양양군 양양읍 연창리 0
6,강원도,양양군,제3구간양의소,강원도 양양군 현북면 0
7,강원도,양양군,제4구간양의소,강원도 양양군 현남면 0
8,강원도,양양군,제5구간양의소,강원도 양양군 양양읍 제5구간양의소
9,강원도,양양군,현북면,강원도 양양군 현북면 명지리 0
0,강원도,양양군,102여단,강원도 양양군 강현면 장산리 123-11
1,강원도,양양군,감나무식당,강원도 양양군 양양읍 남문1리 0
2,강원도,양양군,낙산해변,강원도 양양군 강현면 전진리 0
3,강원도,양양군,수산항요트장,강원도 양양군 손양면 수산리 수산항
4,강원도,양양군,양양소방서,강원도 양양군 양양읍 월리 0
5,강원도,양양군,양양읍,강원도 양양군 양양읍 0
6,강원도,양양군,에어포트콘도앞해변,강원도 양양군 양양읍 조산리
7,강원도,양양군,제1구간양의소,강원도 양양군 양양읍 0
8,강원도,양양군,제2구간양의소,강원도 양양군 서면 0
9,강원도,양양군,후원30가구,강원도 양양군 양양읍 6개읍면
0,강원도,양양군,102여단일출사,강원도 양양군 손양면 간리 102여단 군법당
1,강원도,양양군,낙산노인전문요양원,강원도 양양군 강현면 금풍리 75-1
2,강원도,양양군,디모테오꿈마을요양원,강원 양양군 양양읍 화일리 123번지
3,강원도,양양군,문화복지회관3층수지침방,강원도 양양군 양양읍 연창리 203-2 문화복지회관3층
4,강원도,양양군,문화복지회관대강당,강원도 양양군 양양읍 연창리 203-19
5,강원도,양양군,양양군문화복지회관,강원 양양군 양양읍 연창리 203-2
6,강원도,양양군,양양군보건소,강원도 양양군 양양읍 연창리 0
7,강원도,양양군,양양군재래시장,강원도 양양군 양양읍 남문리 남대천둔치
8,강원도,양양군,양양도서관,강원도 양양군 양양읍 군행리 0
9,강원도,양양군,현북공소무료급식소,강원도 양양군 현북면 현북공소
0,강원도,양양군,8군단충용사,강원도 양양군 양양읍 월리 0
1,강원도,양양군,낙산사일원,강원도 양양군 강현면 전진리 0
