,지역,시군구,기관,주소
0,경기도,안성시,경기도 안성시 대덕면사무소,경기도 안성시 대덕면 중앙로 82
1,경기도,안성시,고삼면사무소,경기도 안성시 고삼면 고삼호수로 21 고삼면사무소
2,경기도,안성시,공도건강생활지원센터,경기도 안성시 공도읍 공도로 51-11
3,경기도,안성시,공도건강생활지원센터,경기도 안성시 공도읍 공도로 51-11 공도건강생활지원센터
4,경기도,안성시,서운면,경기도 안성시 서운면 서운중앙길 23 서운면사무소
5,경기도,안성시,안성1동 주민센터,경기도 안성시  낙원길 95 (영동)
6,경기도,안성시,안성시 드림스타트,경기도 안성시  장기로 107 시민회관2층 드림스타트
7,경기도,안성시,안성시청행정과,경기도 안성시  시청길 25 안성시청 행정과
8,경기도,안성시,양성면사무소,경기도 안성시 양성면 읍내길 21 양성면사무소
9,경기도,안성시,양성면사무소,경기도 안성시 양성면 읍내길 21 양성면사무소
0,경기도,안성시,경기도 안성시 원곡면,경기도 안성시 원곡면 가천중앙1길 46 원곡면사무소
1,경기도,안성시,경기도 안성시청 행정과,경기도 안성시  시청길 25 안성시청 행정과
2,경기도,안성시,금광면사무소,경기도 안성시 금광면 금광오산로 228 금광면사무소
3,경기도,안성시,금광면사무소,경기도 안성시 금광면 금광오산로 228 금광면사무소
4,경기도,안성시,미양면사무소,경기도 안성시 미양면 양지길 29 미양면사무소
5,경기도,안성시,보개면사무소,경기도 안성시 보개면 보개원삼로 220 보개면사무소
6,경기도,안성시,삼죽면사무소,경기도 안성시 삼죽면 삼죽로 112
7,경기도,안성시,안성3동,경기도 안성시 장기로 107 d
8,경기도,안성시,안성3동주민센터,경기도 안성시  고수2로 11 안성3동주민센터
9,경기도,안성시,일죽면사무소,경기도 안성시 일죽면 금일로 433 일죽면사무소
0,경기도,안성시,경기도 안성시  대덕면,경기도 안성시 대덕면 중앙로 82
1,경기도,안성시,공도읍사무소,경기도 안성시 공도읍 공도4로 8
2,경기도,안성시,대림동산도서관,경기도 안성시 공도읍 대림동산길 38 대림동산도서관(안성맞춤가족공원내)
3,경기도,안성시,부영도서관,경기도 안성시 만수로 31 부영아파트 관리사무소 2층
4,경기도,안성시,안성 3.1운동 기념관,경기도 안성시 원곡면 만세로 868 안성 3.1운동 기념관
5,경기도,안성시,안성2동주민센터,경기도 안성시  강변로74번길 16 안성2동 주민센터
6,경기도,안성시,안성시립도서관,경기도 안성시 안성맞춤대로 1150 안성시립중앙도서관
7,경기도,안성시,안성시립보개도서관,경기도 안성시 종합운동장로 205
8,경기도,안성시,안성시복지정책과무한돌봄,경기도 안성시 시청길 25
