,지역,시군구,기관,주소
0,경기도,양주시,광적면주민자치센터,경기도 양주시 부흥로 1533
1,경기도,양주시,양주1동사무소,경기도 양주시 남방동 119
2,경기도,양주시,양주1동주민자치센터,경기도 양주시 외미로64번길 45 양주1동주민자치센터
3,경기도,양주시,양주도담학교,경기도 양주시 옥정서로5길 121
4,경기도,양주시,양주시농업기술센터,경기도 양주시 지섬로 162
5,경기도,양주시,양주시청 체육청소년과,경기도 양주시 부흥로 1533 양주시청 체육청소년과
6,경기도,양주시,양주시청작물축산과,경기도 양주시 광적면 지섬로 162
7,경기도,양주시,양주희망도서관,경기도 양주시  삼숭로38번길 78-47 양주희망도서관
8,경기도,양주시,회천2동주민자치센터,경기도 양주시 평화로1475번길 39 회천2동주민자치센터
9,경기도,양주시,회천4동사무소,경기도 양주시 옥정동 165-5
0,경기도,양주시,광적면사무소,경기 양주시 광적면 1
1,경기도,양주시,백석읍사무소,경기도 양주시 중앙로223번길 46
2,경기도,양주시,양주2동사무소,경기도 양주시 고읍로 77 양주2동 주민센터
3,경기도,양주시,양주시청,경기 양주시 남방동 양주시청 1-1
4,경기도,양주시,옥정중학교,경기도 양주시 옥정로5길 55
5,경기도,양주시,은현면사무소,경기 양주시 은현면 1
6,경기도,양주시,장흥면사무소,경기 양주시 장흥면 1
7,경기도,양주시,회천1동사무소,경기도 양주시 덕정길 67 (덕정동 140-1) 회천1동주민센터
8,경기도,양주시,회천2동사무소,경기도 양주시 평화로1475번길 39 회천2동복합청사
9,경기도,양주시,회천3동사무소,경기도 양주시 덕정동 206-6
0,경기도,양주시,광적도서관,경기도 양주시 광적면 광적로42번길 88 광적로42번길 5 광적도서관
1,경기도,양주시,남면사무소,경기도 양주시 남면 신산리 268
2,경기도,양주시,양주2동주민자치센터,경기도 양주시 삼숭로38번길 80 2401(상숭동 자이프라자)
3,경기도,양주시,양주경찰서,경기도 양주시 평화로 1699 양주경찰서
4,경기도,양주시,양주시립회암사지박물관,경기도 양주시 회암사길 11 회암사지박물관
5,경기도,양주시,양주시청감동어린이집,경기도 양주시 부흥로 1533
6,경기도,양주시,양주시회천2동공립지역아동센터,경기도 양주시 평화로1475번길 39 5층 양주시회천2동공립지역아동센터
7,경기도,양주시,양주청소년문화의집,경기도 양주시 고읍남로 205 고읍남로 205
8,경기도,양주시,은봉초등학교,경기도 양주시 백석읍 꿈나무로 321
9,경기도,양주시,장흥작은도서관,경기도 양주시 장흥면 호국로 470
0,경기도,양주시,남면도서관,경기도 양주시 남면 개나리17길 24 남면도서관
1,경기도,양주시,백석읍주민자치센터,경기도 양주시 양주산성로 741
2,경기도,양주시,양주시다문화가족지원센터,경기도 양주시  평화로1475번길 39
3,경기도,양주시,양주시립덕계도서관,"경기도 양주시 평화로1475번길 39 7층, 8층 덕계도서관"
4,경기도,양주시,양주시설관리공단환경관리팀,경기도 양주시 광적면 부흥로618번길 303
5,경기도,양주시,양주시육아종합지원센터,경기도 양주시 화합로1426번길 90 3층
6,경기도,양주시,양주시장애인종합사회복지관,경기도 양주시 고삼로43번길 29
7,경기도,양주시,양주시정신건강복지센터,경기도 양주시 삼숭동 315
8,경기도,양주시,양주시청소년상담복지센터,경기도 양주시 광사동 659 양주청소년문화의집 2층
9,경기도,양주시,양주시회천노인복지관,경기도 양주시 화합로1426번길 90 4층
0,경기도,양주시,동두천양주교육지원청,경기도 동두천시 중앙로 110-32
1,경기도,양주시,양주경찰서,경기 양주시 회정동 양주경찰서 84-7번지
2,경기도,양주시,양주다솜어린이집,경기도 양주시 은현면 화합로1169번길 31-30
3,경기도,양주시,양주시건강가정지원센터,경기도 양주시 남방동 2-22
4,경기도,양주시,양주시립꿈나무도서관,경기도 양주시 꿈나무로 199
