,지역,시군구,기관,주소
0,경기도,양평군,경기도해양수산자원연구소,경기도 양평군 상광길 23-2 (용문면)
1,경기도,양평군,안전총괄과,경기도 양평군 군청앞길 2 양평군청 본관 5층
2,경기도,양평군,양서면사무소국수출장소,경기도 양평군 복개길5번길 21
3,경기도,양평군,양평경찰서,경기도 양평군  양근강변길 42 양평경찰서 경무계
4,경기도,양평군,양평도서관,경기도 양평군 양근로 240-9 양평군립도서관
5,경기도,양평군,용문도서관,경기도 양평군 용문로 395 용문도서관
6,경기도,양평군,주민복지과,경기도 양평군 군청앞길 2 양평군청
7,경기도,양평군,행복돌봄과,경기도 양평군 마유산로 17 보건소 2층
8,경기도,양평군,홍보감사담당관,경기도 양평군 군청앞길 2 양평군청
9,경기도,양평군,환경사업소,경기도 양평군 경강로 1496 환경사업소
0,경기도,양평군,브니엘노인전문병원,경기도 양평군 용문면 중원산로490번길 30 브니엘노인전문병원
1,경기도,양평군,서종어린이집,경기도 양평군 서종면 북한강로 1098-20 서종어린이집
2,경기도,양평군,양서면사무소,경기 양평군 양서면 용담리 500-1
3,경기도,양평군,양평군노인복지관,경기도 양평군 양평읍 양근2리 272-2
4,경기도,양평군,양평군장애인복지관,경기도 양평군 양평읍 중앙로111번길 36-1
5,경기도,양평군,양평군지역자율방재단,경기도 양평군 양평읍 양근로 302-1 3층
6,경기도,양평군,양평군청,경기 양평군 양평읍 양근4리 양평군청
7,경기도,양평군,양평소방서,경기 양평군 양평읍 공흥리 159-1
8,경기도,양평군,양평역,경기도 양평군 양평읍 역전길 30 고객지원실
9,경기도,양평군,청운면주민자치센터,경기도 양평군 청운면 용두로 180 청운면주민자치센터
0,경기도,양평군,강상면사무소,경기도 양평군  신화길 10 강상면사무소
1,경기도,양평군,국립교통재활병원,경기도 양평군 중앙로 260 국립교통재활병원
2,경기도,양평군,서종작은도서관,경기도 양평군 북한강로 777 서종면사무소
3,경기도,양평군,양평 친환경농업박물관,경기도 양평군 용문면 용문산로 670 경기도 양평군 용문면 신점리 508-9
4,경기도,양평군,양평교육지원청,경기도 양평군 양평읍 양근강변길 126 경기도양평교육청
5,경기도,양평군,양평군다문화가족지원센터,경기도 양평군 양평읍 양근로 302-1 구.보건소 1층
6,경기도,양평군,양평군드림스타트,경기도 양평군 양근로 300 302-1 (구보건소 2층)
7,경기도,양평군,용문역,경기도 양평군 용문역길4번길 7-1
8,경기도,양평군,지평주민자치센터,경기도 양평군 지평면 지평의병로116번길 1-1 지평주민자치센터
9,경기도,양평군,지평중학교,경기도 양평군 지평로 418
0,경기도,양평군,(사)황순원기념사업회,경기도 양평군 소나기마을길 24 (서종면 수능리 산74)
