,지역,시군구,기관,주소
0,경기도,오산시,남촌동주민센터,경기도 오산시 청학로 55-5
1,경기도,오산시,농식품위생과,경기도 오산시 성호대로 141 오산시청 농식품위생과
2,경기도,오산시,대원동행정복지센터,경기도 오산시 오산로132번길 28 대원동행정복지센터
3,경기도,오산시,오산시무한돌봄센터,경기도 오산시  성호대로 141 오산시청 복지정책과 무한돌봄센터
4,경기도,오산시,오산시보건소 건강위생과,경기도 오산시  경기동로 59 오산시보건소
5,경기도,오산시,오산시청 건설도로과,경기도 오산시  성호대로 141 오산시청 4층 건설도로과
6,경기도,오산시,오산시청 안전정책과,경기도 오산시 성호대로 141 오산시청 안전총괄과
7,경기도,오산시,오산시청 홍보감사관,경기도 오산시  성호대로 141
8,경기도,오산시,초평동주민센터,경기도 오산시 발안로 1308-9 초평동주민센터
9,경기도,오산시,환경사업소 환경과,경기도 오산시 오산천로 72 1층 환경과
0,경기도,오산시,광야선교회(아동생활시설),경기도 오산시  수청로 65-8
1,경기도,오산시,신장동주민센터,경기도 오산시 문헌공로 45 신장동주민센터
2,경기도,오산시,오산시각장애인연합회,경기 오산시 궐동 78-7보화빌딩2층
3,경기도,오산시,오산시드림스타트센터,경기도 오산시 경기대로 307 중앙동주민센터 4층 드림스타트
4,경기도,오산시,오산시청 건축과,경기도 오산시  성호대로 141 오산시청 건축과
5,경기도,오산시,오산시청 문화체육관광과,경기도 오산시 성호대로 141 문화체육관광과
6,경기도,오산시,오산시청 아동청소년과,경기도 오산시  성호대로 141 오산시청 4층 아동청소년과
7,경기도,오산시,오산시청 정보통신과,경기도 오산시 오산동  오산시청 915번지 정보통신과
8,경기도,오산시,오산시청 지역경제과,경기도 오산시  성호대로 141 오산시청 3층 지역경제과
9,경기도,오산시,오산시청 평생교육과,경기도 오산시  성호대로 141 오산시청 평생교육과
0,경기도,오산시,경기도립물향기수목원,경기도 오산시 청학로 211 경기도립물향기수목원
1,경기도,오산시,경기도화성오산교육지원청,경기도 오산시  북삼미로 119 화성오산교육지원청
2,경기도,오산시,고현초꿈키움도서관,경기도 오산시 남부대로 459 고현초꿈키움도서관
3,경기도,오산시,무지개 도서관,경기도 오산시 청호로 23-22 공원내 무지개 도서관
4,경기도,오산시,오산경찰서,경기도 오산시 동부대로 596 오산경찰서
5,경기도,오산시,오산소방서,경기도 오산시  청학로 55-6 오산소방서 소방행정과
6,경기도,오산시,오산시 일자리정책과,경기도 오산시 성호대로 141 오산시청 3층 일자리정책과
7,경기도,오산시,오산시청 온종일돌봄팀,경기도 오산시 성호대로 141 4층 아동청소년과
8,경기도,오산시,오산치매안심센터,경기도 오산시 경기동로 59 오산시보건소 3층. 치매안심센터
