,지역,시군구,기관,주소
0,경기도,용인시,경기동부보훈지청,경기도 용인시 기흥구 용구대로 2354 1층 경기동부보훈지청 보훈과
1,경기도,용인시,구갈동주민센터,경기도 용인시 기흥구 강남로 23 구갈동주민센터
2,경기도,용인시,기흥구청 세무과,경기도 용인시 기흥구 관곡로 95 기흥구청
3,경기도,용인시,백봉초등학교,경기도 용인시 처인구 백암면 죽양대로748번길 12 백봉초등학교
4,경기도,용인시,보정고등학교,경기도 용인시 기흥구 보정로 22 보정고등학교
5,경기도,용인시,용인국제어린이도서관,경기도 용인시 처인구 동백죽전대로 61 용인국제어린이도서관
6,경기도,용인시,용인시청 자치협력과,경기도 용인시 처인구 중부대로 1199 자치협력과
7,경기도,용인시,용인시청공공건축과,"경기도 용인시 처인구 중부대로 1199 (삼가동, 용인시청) 1층 공공건축과"
8,경기도,용인시,용인심곡초등학교 녹색어머니회,경기도 용인시 수지구 심곡로 59 용인심곡초등학교
9,경기도,용인시,용인중학부모폴리스,경기도 용인시 처인구 금학로341번길 8 용인중학교
0,경기도,용인시,모현읍사무소,경기도 용인시 처인구 모현읍 독점로 31-6
1,경기도,용인시,상갈중학부모회,경기도 용인시 기흥구 금화로82번길 7
2,경기도,용인시,수지구청세무과,경기도 용인시 수지구  포은대로 435 수지구청 2층 세무과
3,경기도,용인시,역삼동 청소년지도위원회,경기도 용인시 처인구 명지로 16 역삼동주민센터
4,경기도,용인시,용인백현고등학교 봉사단,경기도 용인시 기흥구 동백7로 112 용인백현고등학교
5,경기도,용인시,용인시 동물보호센터,경기도 용인시 처인구 중부대로 1074-1 용인시 동물보호센터
6,경기도,용인시,용인시주택과,경기도 용인시 처인구 중부대로 1199 주택과
7,경기도,용인시,용인특수교육지원센터,경기도 용인시 처인구 중부대로1158번길 45 삼가초등학교 5층 특수교육지원센터
8,경기도,용인시,포곡읍주민자치위원회,경기도 용인시 처인구 포곡읍 포곡로 258 2층 주민자치센터
9,경기도,용인시,풍덕천1동 행정복지센터,경기도 용인시 수지구 수지로342번길 3 풍덕천1동 행정복지센터
0,경기도,용인시,기흥초녹색어머니,경기도 용인시 기흥구  공세로82번길 5 기흥초등학교
1,경기도,용인시,대현초등학교,경기도 용인시 수지구  용구대로2771번길 16 대현초등학교
2,경기도,용인시,모현중학교,경기도 용인시 처인구 모현면 문현로189번길 5 모현중학교
3,경기도,용인시,상현1동주민센터,경기도 용인시 수지구 상현로 71 상현1동사무소
4,경기도,용인시,신갈동행정복지센터,경기도 용인시 기흥구  신갈로58번길 11 신갈동주민센터
5,경기도,용인시,심곡초어머니폴리스,경기도 용인시 수지구  심곡로 59 용인심곡초등학교
6,경기도,용인시,용동중학교학부모폴리스,경기도 용인시 처인구 양지면 남곡로 26 용동중학교
7,경기도,용인시,용인문화원,경기도 용인시 처인구 중부대로 1199 용인문화예술원 3층 용인문화원
8,경기도,용인시,용인시여성가족과(친화도시모니터링),경기도 용인시 처인구  중부대로 1199 용인시청 여성가족과
9,경기도,용인시,용인시청 위생축산과,경기도 용인시 처인구  중부대로 1199 용인시청 위생축산과
0,경기도,용인시,경기도소방학교,경기도 용인시 처인구 남사면 천덕산로11번길 42 경기도소방학교
1,경기도,용인시,마북동주민센터,경기도 용인시 기흥구 구교동로118번길 16
2,경기도,용인시,백현초어머니폴리스,경기도 용인시 기흥구  동백8로 108 용인백현초등학교
3,경기도,용인시,상현2동주민센터,경기도 용인시 수지구 만현로 48 상현2동주민센터
4,경기도,용인시,수지구청 민원봉사과,"경기도 용인시 수지구 포은대로 435 1층, 민원봉사과"
5,경기도,용인시,수지구청 자치행정과,경기도 용인시 수지구 포은대로 435 수지구청 자치행정과
