,지역,시군구,기관,주소
0,경상남도,양산시,강서동주민센터,경상남도 양산시 교동1길 18 강서동 주민센터
1,경상남도,양산시,덕계동주민센터,경상남도 양산시  번영로 35 덕계동주민센터
2,경상남도,양산시,삼성동주민센터,경상남도 양산시 신기서길 27 삼성동주민센터
3,경상남도,양산시,상북면사무소,경상남도 양산시 상북중앙로 398 상북면사무소
4,경상남도,양산시,서창동주민센터,경상남도 양산시 서창로 194
5,경상남도,양산시,양산시립박물관,경상남도 양산시 북정로 78 양산시립박물관
6,경상남도,양산시,양산시청교육체육과,경상남도 양산시 중앙로 39 양산시청 교육체육과
7,경상남도,양산시,원동면사무소,경상남도 양산시 원동마을길 36 하북면사무소
8,경상남도,양산시,중앙동주민센터,경상남도 양산시 북안남5길 21 중앙동 주민센터
9,경상남도,양산시,하북면사무소,경상남도 양산시 하북면 신평강변5길 12 하북면사무소
0,경상남도,양산시,물금읍사무소,경상남도 양산시 황산로 384 물금읍사무소
1,경상남도,양산시,소주동주민센터,경상남도 양산시 소주회야1길 5-26 소주동주민센터
2,경상남도,양산시,안전총괄과,경상남도 양산시  중앙로 39 양산시청 안전총괄과
3,경상남도,양산시,양산경찰서,경상남도 양산시 물금읍 신주4길 8 양산경찰서 생활안전계
4,경상남도,양산시,양산소방서,경상남도 양산시 물금읍 황산로 719 양산소방서
5,경상남도,양산시,양산시청,경상남도 양산시 옥곡2길 20 양산시청
6,경상남도,양산시,양주동주민센터,"경상남도 양산시 양주로 130 중부동, 양주동주민센터"
7,경상남도,양산시,웅상119안전센터,경상남도 양산시 웅상대로 1120 웅상119안전센터
8,경상남도,양산시,중앙119안전센터,경상남도 양산시 신기로 13 중앙119안전센터
9,경상남도,양산시,평산동주민센터,경상남도 양산시 평산로 71 평산동주민센터
0,경상남도,양산시,(재)양산시복지재단,경상남도 양산시 동면 남양산1길 14 (재)양산시복지재단
1,경상남도,양산시,경상남도양산교육지원청,경상남도 양산시 물금읍 청룡로 53 양산교육지원청
2,경상남도,양산시,드림스타트센터,"경상남도 양산시 양주3길 36 양산시청소년회관, 드림스타트센터"
3,경상남도,양산시,부산대학교한방병원,경상남도 양산시 물금읍 금오로 20
4,경상남도,양산시,양산부산대학교병원,"경상남도 양산시 물금읍 금오로 20 양산부산대학교병원, 공공보건의료사업팀"
5,경상남도,양산시,양산시노인복지관,경상남도 양산시 북안남5길 27 양산시노인복지관
6,경상남도,양산시,양산시보건소,경상남도 양산시 삽량로 169 양산시보건소
7,경상남도,양산시,울산보훈지청,울산광역시 남구 대공원입구로 7 울산보훈지청
8,경상남도,양산시,중부119안전센터,경상남도 양산시 양산역6길 27 중부119안전센터
9,경상남도,양산시,하북119안전센터,경상남도 양산시 하북면 양산대로 2255-38 하북119안전센터
0,경상남도,양산시,순지작은도서관,경상남도 양산시 하북면 신평중앙길 30 통도아트센타 2층
1,경상남도,양산시,양산 3D과학체험관,경상남도 양산시  웅상대로 1009-1 양산 3D과학체험관
2,경상남도,양산시,양산도서관,경상남도 양산시 희망1길 25 양산도서관
3,경상남도,양산시,양산시농업기술센터 동물보호과,경상남도 양산시 동면 양산대로 618 양산시농업기술센터 동물보호과
4,경상남도,양산시,양산시립도서관,경상남도 양산시 물금읍 청룡로 11 양산시립도서관
5,경상남도,양산시,양산시문화축전추진위원회,경상남도 양산시 옥곡2길 20 양산시청  삽량문화축전추진위원회
6,경상남도,양산시,양산시시설관리공단,경상남도 양산시 양산대로 849 양산시시설관리공단
7,경상남도,양산시,양산유물전시관,경상남도 양산시 북정로 78 양산유물전시관
8,경상남도,양산시,웅상도서관,경상남도 양산시 웅상대로 1009-2 웅상도서관
9,경상남도,양산시,웅상종합사회복지관,경상남도 양산시 덕계7길 26 웅상종합사회복지관
0,경상남도,양산시,가촌휴먼시아작은도서관,"경상남도 양산시 물금읍 가촌로 155 양산가촌휴먼시아아파트, 가촌휴먼시아작은도서관"
1,경상남도,양산시,동원비스타마을 작은도서관,경상남도 양산시 물금읍 범구로 28 동원비스타마을 작은도서관
2,경상남도,양산시,바람꽃 작은도서관,경상남도 양산시 물금읍 청운로 41 관리사무소 2층 바람꽃 작은도서관
3,경상남도,양산시,부산대학교치과병원,경상남도 양산시 물금읍 금오로 20 부산대학교치과병원
4,경상남도,양산시,시립대석어린이집,"경상남도 양산시 상북면 양산대로 1360 양산대석휴먼시아, 시립대석어린이집"
5,경상남도,양산시,양산시장애인복지관,경상남도 양산시 북안남5길 15 양산시장애인복지관
6,경상남도,양산시,양산시체육회,경상남도 양산시 양산대로 849 종합운동장 내 양산시체육회
7,경상남도,양산시,양산희망학교,경상남도 양산시 상북면 충렬로 993-25 양산희망학교
8,경상남도,양산시,웅상문예원,경상남도 양산시 당촌길 66
9,경상남도,양산시,휴먼빌 둥지도서관,경상남도 양산시 물금읍 범어로 11 일신건영 휴먼빌 아파트내 썬큰광장 지하 관리사무소 옆
0,경상남도,양산시,반도4차작은도서관,경상남도 양산시 물금읍 백호로 91 반도4차 작은 도서관
1,경상남도,양산시,비타민지역아동센터,경상남도 양산시 동면 계석로 10 103동 203호
2,경상남도,양산시,삼성문화의집,경상남도 양산시 북정중앙로 34 삼성문화의집
3,경상남도,양산시,시립양산보듬이나눔이어린이집,경상남도 양산시 고향의봄5길 20 시립양산보듬이나눔이어린이집
4,경상남도,양산시,시립어깨동무어린이집,경상남도 양산시 고향의봄5길 19
5,경상남도,양산시,시립이팝어린이집,경상남도 양산시 덕계7길 26 시립이팝어린이집
6,경상남도,양산시,양산시국민체육센터,경상남도 양산시 물금읍 청룡로 33 양산시국민체육센터
7,경상남도,양산시,양산시청소년상담복지센터,경상남도 양산시 양주3길 36 2층
8,경상남도,양산시,웅상노인복지관,경상남도 양산시 삼호9길 11 웅상노인복지관
9,경상남도,양산시,화성파크드림작은도서관,"경상남도 양산시 대운5길 7 명동, 화성파크드림 관리사무소"
0,경상남도,양산시,경남아너스빌작은도서관,경상남도 양산시 양주로 16 상록아너스빌작은도서관
1,경상남도,양산시,꿈터작은도서관,"경상남도 양산시 북정서길 16 새롬성원네오파트, 주민공동시설2층, 꿈터작은도서관"
2,경상남도,양산시,대동이미지작은도서관,경상남도 양산시 대운로 338 대동이미지타운 2단지
3,경상남도,양산시,동무동무씨동무작은도서관(주공4단지),경상남도 양산시 목화로 43 -1 201호
4,경상남도,양산시,양산역,경상남도 양산시 강변로 441 양산역
5,경상남도,양산시,웅상문화체육센터,경상남도 양산시 모래들길 57-57 웅상문화체육센터
6,경상남도,양산시,주민편익시설,경상남도 양산시 동면 강변로 264-1 주민편익시설
7,경상남도,양산시,코아루작은도서관,"경상남도 양산시 평산북로 54 평산동, 코아루아파트, 코아루작은도서관"
8,경상남도,양산시,통도사성보박물관,경상남도 양산시 하북면 통도사로 108 통도사성보박물관
9,경상남도,양산시,현진에버빌작은도서관,경상남도 양산시 물금읍 신주로 64 현진에버빌아파트 주민공동시설내
0,경상남도,양산시,글마루도서관,"경상남도 양산시 물금읍 신주로 35-1 e편한2차아파트, 글마루도서관"
1,경상남도,양산시,다숲작은도서관,"경상남도 양산시 소주로 181 소주동 대동아파트, 다숲작은도서관"
2,경상남도,양산시,대동아파트작은도서관,경상남도 양산시 양주로 154 대동새마을도서문고
3,경상남도,양산시,동원로얄듀크작은도서관,경상남도 양산시 양주로 32 동원로얄듀크아파트
4,경상남도,양산시,반도유보라아파트문고,경상남도 양산시 물금읍 신주로 16 반도유보라아파트문고
5,경상남도,양산시,쌍용하늘작은도서관,"경상남도 양산시 양주로 97 남부동, 쌍용아파트, 쌍용하늘작은도서관"
6,경상남도,양산시,양산노동복지센터,경상남도 양산시 북안남5길 30 세종빌딩
7,경상남도,양산시,양산향교,경상남도 양산시 교동1길 10 양산향교
8,경상남도,양산시,우남퍼스트빌도서관,"경상남도 양산시 물금읍 신주로 40 우남퍼스트빌아파트, 우남퍼스트빌도서관"
9,경상남도,양산시,황전새마을문고,경상남도 양산시 물금읍 오봉로 15 황전아파트 새마을문고
0,경상남도,양산시,(사)웅상노동인권연대,경상남도 양산시 연호2길 9-10 2층
1,경상남도,양산시,가람휘작은도서관,경상남도 양산시 덕명로 320 석호가람휘작은도서관
2,경상남도,양산시,강서주민편익시설,경상남도 양산시 어곡터널로 31 강서주민편익시설
3,경상남도,양산시,비바패밀리작은도서관,경상남도 양산시 물금읍 신주로 69 신창비바패밀리작은도서관
4,경상남도,양산시,양산시육아종합지원센터,경상남도 양산시 물금읍 물금로 223
5,경상남도,양산시,양산시자원봉사센터,경상남도 양산시 옥곡2길 20 양산시자원봉사센터
6,경상남도,양산시,양산시청소년방과후아카데미,경상남도 양산시 양주3길 36 양산시청소년방과후아카데미
7,경상남도,양산시,이지더원2차그랜드파크작은도서관,경상남도 양산시 물금읍 물금로 75 이지더원2차그랜드파크 커뮤니티시설 B1
8,경상남도,양산시,이지더원5차작은도서관,경상남도 양산시 물금읍 물금로 57 이지더원5차아파트
9,경상남도,양산시,이지더원리버포레 작은도서관,경상남도 양산시 동면 금오16길 100 이지더원 3차 커뮤니티시설 B1
0,경상남도,양산시,건강한재가노인복지센터,경상남도 양산시 삼일로 65 양산현대타운501호
1,경상남도,양산시,꿈을찾는아이들작은도서관,"경상남도 양산시 물금읍 범어로 57 반도유보라2차아파트, 꿈을찾는아이들작은도서관"
2,경상남도,양산시,나눔교육맘스쿨,경상남도 양산시 양주2길 54 나눔교육맘스쿨
3,경상남도,양산시,대석햇살작은도서관,"경상남도 양산시 상북면 양산대로 1360 양산대석휴먼시아, 대석햇살작은도서관"
4,경상남도,양산시,대우마리나옹달샘작은도서관,경상남도 양산시 상북면 감결길 17 대우마리나옹달샘작은도서관
5,경상남도,양산시,동양산홈스쿨지역아동센터,"경상남도 양산시 평산13길 19 평산동, 새진흥5차아파트, 동양산홈스쿨지역아동센터"
6,경상남도,양산시,사단법인 장애인경제활동지원센터,경상남도 양산시 중앙우회로 150 3층
7,경상남도,양산시,양산시장애인성폭력상담소,"경상남도 양산시 물금읍 오봉로 15 황전범어타운, 103동1507호, 양산시장애인성폭력상담소"
