,지역,시군구,기관,주소
0,경상북도,고령군,고령경찰서,경상북도 고령군 대가야읍 대가야로 1411
1,경상북도,고령군,고령군 덕곡면사무소,경상북도 고령군 덕곡면 덕운로 570 덕곡면사무소
2,경상북도,고령군,고령군다문화가족지원센터,경상북도 고령군 대가야읍 왕릉로 30 대가야문화누리 3층
3,경상북도,고령군,고령영생요양원,경상북도 고령군 대가야읍 대가야로 1342
4,경상북도,고령군,고령효사랑요양병원,경상북도 고령군 대가야읍 대가야로 1345 고령효사랑요양병원
5,경상북도,고령군,다빛노인복지센터,경상북도 고령군 다산면 평리1길 29-8
6,경상북도,고령군,대진덕곡요양원,경상북도 고령군 덕운로 1038-8
7,경상북도,고령군,대창양로원,경상북도 고령군 쌍림면 매촌1길 157
8,경상북도,고령군,사)고령군교육발전위원회,경상북도 고령군 대가야읍 왕릉로 55 (주산길 37 대가야교육원)
9,경상북도,고령군,한국교통장애인협회고령군지회,경상북도 고령군 대가야읍 시장1길 15 한국교통장애인협회고령군지회
0,경상북도,고령군,고령군,경상북도 고령군 대가야읍 왕릉로 55
1,경상북도,고령군,고령군노곡리마을회관,경상북도 고령군 다산면 노곡1길 49
2,경상북도,고령군,고령군센터,경상북도 고령군 대가야읍 왕릉로 30 대가야문화누리 3층 (고령군종합자원봉사센터)
3,경상북도,고령군,고령군호촌2리마을회관,경상북도 고령군 다산면 사문나루1길 17
4,경상북도,고령군,고령성요셉요양원,경상북도 고령군 성산면 성산로 942-4
5,경상북도,고령군,대창양로원,경상북도 고령군 쌍림면 매촌1길 157
6,경상북도,고령군,대창양로원,경상북도 고령군 쌍림면 매촌1길 157
7,경상북도,고령군,대창양로원,경상북도 고령군 쌍림면 매촌1길 157
8,경상북도,고령군,대창양로원-고령,경상북도 고령군 쌍림면 매촌1길 157
9,경상북도,고령군,성요셉재활원,경상북도 고령군 성산면 성산로 942-4
0,경상북도,고령군,고령효사랑요양병원.복지센터,"경상북도 고령군 고령읍 헌문리 44-2 고령 효사랑 요양병원,복지센타"
1,경상북도,고령군,대가야요양원,경상북도 고령군 운용로 627
