,지역,시군구,기관,주소
0,경상북도,영주시,경북 영주시 풍기읍사무소,경상북도 영주시 풍기읍 남원로 80
1,경상북도,영주시,부석면사무소,경상북도 영주시 부석면 부석로 49 부석면사무소
2,경상북도,영주시,순흥면사무소,경상북도 영주시 순흥면 순흥로 67 순흥면사무소
3,경상북도,영주시,순흥면사무소,경상북도 영주시 순흥면 순흥로 67 순흥면사무소
4,경상북도,영주시,안정면사무소,경상북도 영주시 안정면 신재로 537 안정면사무소
5,경상북도,영주시,안정면사무소,경상북도 영주시 안정면 신재로 537
6,경상북도,영주시,영주경찰서,경상북도 영주시 영주1동  영주경찰서 27-2 경무계
7,경상북도,영주시,영주시도시재생지원센터,경상북도 영주시 영주로189번길 11 영주시 도시재생지원센터
8,경상북도,영주시,영주시청 체육진흥과,"경상북도 영주시  시청로1번길 19 2층 체육진흥과 (휴천동, 영주시 보건소)"
9,경상북도,영주시,장수면사무소,경상북도 영주시 장수면 장수로 50 장수면사무소
0,경상북도,영주시,가흥1동주민센터,경북 영주시 가흥1동 1449~1484 1478-7
1,경상북도,영주시,경상북도영주교육지원청,경상북도 영주시 가흥로 165 영주교육지원청
2,경상북도,영주시,노인전문요양원사랑채,경북 영주시 봉현면 유전리 544
3,경상북도,영주시,단산면사무소,경상북도 영주시 단산면 옥대리 옥대로 36 단산면사무소
4,경상북도,영주시,봉현면행정복지센터,경상북도 영주시 봉현면 오현로 27 봉현면사무소
5,경상북도,영주시,성내노인복지센터,경북 영주시 풍기읍 성내3리 68번지
6,경상북도,영주시,영주2동주민센터,경상북도 영주시 선비로181번길 10 영주2동주민센터
7,경상북도,영주시,영주시보건소,경북 영주시 휴천동 466-1
8,경상북도,영주시,영주시안전정책과,경상북도 영주시  시청로 1 영주시청 안전정책과
9,경상북도,영주시,평은면사무소,경상북도 영주시  평은로 553 평은면사무소
0,경상북도,영주시,가흥2동주민자치센터,경상북도 영주시 가흥2동 가흥로 357 가흥2동주민자치센터
1,경상북도,영주시,문수효마을,경상북도 영주시 문수면 적동리 540
2,경상북도,영주시,안식처요양원,경상북도 영주시 봉현면 노좌1리 203-5
3,경상북도,영주시,영주2동사무소,경상북도 영주시 가흥동 4-3
4,경상북도,영주시,영주시청,경상북도 영주시 휴천2동 영주시청 470번지지
5,경상북도,영주시,장수마을,경북 영주시 안정면 내줄리 318-9
6,경상북도,영주시,평강소규모요양시설,경상북도 영주시 조와동 464-11
7,경상북도,영주시,하망동주민센터,경상북도 영주시 하망동 299-8
8,경상북도,영주시,휴천1동 행정복지센터,경상북도 영주시  남간로  18 0 휴천1동사무소
9,경상북도,영주시,휴천2동행정복지센터,경상북도 영주시 휴천2동 318-4
0,경상북도,영주시,(재)영주문화관광재단,경상북도 영주시 대학로 77 148아트스퀘어
1,경상북도,영주시,동산여자중학교,경상북도 영주시 영봉로 49 동산여자중학교
2,경상북도,영주시,봉현초등학교,경상북도 영주시 봉현면 소백로1623번길 6 봉현초등학교
3,경상북도,영주시,상망동행정복지센터,경상북도 영주시 광복로 87 상망동행정복지센터
4,경상북도,영주시,선영여자고등학교,경상북도 영주시 영봉로 28 선영여자고등학교
5,경상북도,영주시,신영주번개시장 청년사업단,경상북도 영주시 선비로79번길 5 신영주 번개시장 청년창업사업단
6,경상북도,영주시,영주가흥초등학교,경상북도 영주시 신재로 12 경상북도 영주시 대동로 70번길 8-9 영주가흥초등학교
7,경상북도,영주시,코레일 경북본부사회봉사단,경상북도 영주시 시청로2번길 30 코레일 경북본부
8,경상북도,영주시,풍기북부초등학교,경상북도 영주시 풍기읍 금계로 72 풍기북부초등학교
9,경상북도,영주시,휴천3동 행정복지센터,경상북도 영주시 구성로273번길 30 휴천3동주민센터
0,경상북도,영주시,KORAIL 경북본부 안전처,경상북도 영주시  시청로2번길 30 한국철도공사 경북본부 안전처
1,경상북도,영주시,korail 경북본부 안전처,경상북도 영주시  시청로2번길 30 한국철도공사 경북본부 안전처
2,경상북도,영주시,국립산림치유원,경상북도 영주시 봉현면 테라피로 209
3,경상북도,영주시,민주평화통일자문회의영주시협의회,경상북도 영주시 영주1동  19-1 시의회 3층
4,경상북도,영주시,봉현어린이집,경상북도 영주시 봉현면 소백로1701번길 142 봉현어린이집
5,경상북도,영주시,부석초등학교,경상북도 영주시 부석면 365번지 부석초등학교
6,경상북도,영주시,영주교육지원청 특수교육지원센터,경상북도 영주시  대학로71번길 19 영주남부초등학교 영주교원지원청 특수교육지원센터
7,경상북도,영주시,영주서부초등학교,경상북도 영주시  신재로12번길 33 영주서부초등학교
8,경상북도,영주시,영주시청소년수련관,경상북도 영주시 순흥면 청구리 334번지 영주시청소년수련관
9,경상북도,영주시,영주시희망나무마을돌봄터,경상북도 영주시 대학로 231 영주시 희망나무 마을 돌봄터
0,경상북도,영주시,경북지역경제교육센터,경상북도 영주시 대학로 77 경북전문대학교 인문사회관 3층 경제교육센터
1,경상북도,영주시,영주남부초등학교,경상북도 영주시 대학로71번길 19 영주남부초등학교
2,경상북도,영주시,영주문화원,경상북도 영주시 가흥동 산45-13번지 영주문화원(가흥로 257)
3,경상북도,영주시,영주시드림스타트,경상북도 영주시 영주로247번길 27-1 영주시드림스타트
4,경상북도,영주시,영주시보건소,경상북도 영주시 시청로1번길 19 영주시보건소
5,경상북도,영주시,영주시종합자원봉사센터,경상북도 영주시 휴천동 휴천3동 35번지 새마을회관 2층
6,경상북도,영주시,영주시청도서관(영주시립도서관),경상북도 영주시 가흥로 263 영주시립도서관
7,경상북도,영주시,영주청소년문화의집,경상북도 영주시 영주동 22-3
8,경상북도,영주시,철도안전지킴이,경상북도 영주시  시청로2번길 30 한국철도공사 경북본부
9,경상북도,영주시,행복한홈스쿨지역아동센터,경상북도 영주시 가흥동 1381-214
0,경상북도,영주시,경상북도교육청영주선비도서관,경상북도 영주시 영주로60번길 38
1,경상북도,영주시,베다니집,경상북도 영주시 단산면 단산로422번길 49-97 베다니집
2,경상북도,영주시,소백어린이집,경상북도 영주시 풍기읍 남원로 66 소백어린이집
3,경상북도,영주시,영동 어린이집,경상북도 영주시  구성로 204-10 영동 어린이집
4,경상북도,영주시,영주소방서,경상북도 영주시 문수면 적동리 125-4
5,경상북도,영주시,영주시중증장애인자립지원센터,경상북도 영주시 광복로 47 건물왼쪽 출입구
6,경상북도,영주시,영주시청소년수련원,경상북도 영주시 순흥면 소백로 2790 영주시청소년수련관
7,경상북도,영주시,영주아젠다21위원회,경상북도 영주시 시청로 1 영주시청 녹색환경과내
8,경상북도,영주시,이산면사무소,경상북도 영주시 이산면 원리 445번지 이산면사무소
9,경상북도,영주시,청하요양병원,경상북도 영주시 신재로24번길 91 청하요양병원 (가흥동)
0,경상북도,영주시,사단법인 푸른환경보존협회,경상북도 영주시 영주로 198
1,경상북도,영주시,사단법인 한국장애인부모회 영주시지부,경상북도 영주시 안정면 신재로 528 영주시장애인부모회
2,경상북도,영주시,영주YMCA,경상북도 영주시 원당로 147 덕산빌딩 202호 영주YMCA
3,경상북도,영주시,영주시 아이누리 장난감 도서관,경상북도 영주시 광복로 47 영주시아이누리장난감도서관
4,경상북도,영주시,영주시노인복지관,경상북도 영주시 원당로52번길 19
5,경상북도,영주시,영주시노인복지관,경상북도 영주시 원당로52번길 19 영주시노인복지관
6,경상북도,영주시,영주시장애인정보화협회,경상북도 영주시 구성로 282 영주시장애인정보화협회
7,경상북도,영주시,영주시청소년상담복지센터,경상북도 영주시 광복로 63 영주청소년문화의집 (2층 영주청소년상담복지센터)
8,경상북도,영주시,영주청년회의소,경상북도 영주시 원당로 84 영주청년회의소
9,경상북도,영주시,제일요양노인복지센터,경상북도 영주시 구성로 306 제일노인복지센터
0,경상북도,영주시,경북지적장애인복지협회 영주시지부,경상북도 영주시  지천로123번길 11 2층
1,경상북도,영주시,기호의료재단 청하요양병원,경상북도 영주시  신재로24번길 91
2,경상북도,영주시,사)한국신장장애인협회 영주지부,경상북도 영주시  대동로 157 2층
