,지역,시군구,기관,주소
0,경상북도,울진군,금강송면사무소,경상북도 울진군 금강송면 삼근1길 23 0
1,경상북도,울진군,기성면사무소,경상북도 울진군 기성면 척산리 척산2길 8
2,경상북도,울진군,온정면사무소,경상북도 울진군 온정면 소태리 23
3,경상북도,울진군,울진경찰서,경상북도 울진군  울진중앙로 28 울진경찰서
4,경상북도,울진군,울진군자원봉사센터,경상북도 울진군 울진읍 363-3
5,경상북도,울진군,울진읍사무소,경상북도 울진군 울진읍 읍내10길 19 울진읍사무소
6,경상북도,울진군,평해읍사무소,경상북도 울진군 평해읍 평해로 82
7,경상북도,울진군,후포면사무소,경상북도 울진군 후포면 삼율리 85-46
8,경상북도,울진군,후포파출소,경상북도 울진군 후포면 울진대게로 34-8 후포파출소
9,경상북도,울진군,후포파출소,경상북도 울진군 후포면 울진대게로 34-8 후포파출소
0,경상북도,울진군,경상북도울진교육지원청 특수교육지원센터,경상북도 울진군 울진읍 월변7길 17 울진교육지원청 특수교육지원센터
1,경상북도,울진군,매화면사무소,경상북도 울진군 매화면 매화1길 95 매화면사무소
2,경상북도,울진군,북면사무소,경상북도 울진군 북면 부구3길 12 북면사무소
3,경상북도,울진군,울진교육지원청,경상북도 울진군 울진읍 월변7길 17 울진교육지원청
4,경상북도,울진군,울진군 보건소,경상북도 울진군 울진읍 읍내8길 61-8
5,경상북도,울진군,울진군다문화지원센터,경상북도 울진군 울진북로 496-11 울진군종합복지회관 내 1층 사무실
6,경상북도,울진군,울진군청민원봉사과,경북 울진군 울진읍 읍내2리 464번지 울진군청 종합민원처리과
7,경상북도,울진군,울진남부도서관,경상북도 울진군 후포면 후포삼율로 194-13 울진남부도서관
8,경상북도,울진군,울진실버학교(사회적협동조합 나무),경상북도 울진군 죽변면 죽변리 248-1
9,경상북도,울진군,죽변면사무소,경상북도 울진군 죽변면 죽변중앙로 165 죽변면사무소
0,경상북도,울진군,경상북도울진교육지원청 Wee센터,경상북도 울진군 근남면 진복길 1 울진학생수련원 2층
1,경상북도,울진군,근남면사무소,경상북도 울진군 근남면 노음4길 6-7
2,경상북도,울진군,노음초등학교,경상북도 울진군 근남면 노음6길 22 노음초등학교
3,경상북도,울진군,사)한국지체장애인협회 경북지체장애인협회 울진군지회,경상북도 울진군 울진읍 공세항길 19-60
4,경상북도,울진군,심전문화복지회관,경상북도 울진군 울진읍 월변2길 14 울진문화복지회관
5,경상북도,울진군,엘요양원,경상북도 울진군 울진읍 연지1길 114 엘요양원
6,경상북도,울진군,울진군장애인종합복지관,경상북도 울진군 울진읍 울진북로 496-12 울진군장애인종합복지관
7,경상북도,울진군,울진군중증장애인자립지원센터,경상북도 울진군 울진읍 울진북로 496-11 울진군중증장애인자립지원센터
8,경상북도,울진군,울진작은도서관,경상북도 울진군 읍내8길 26 1층
9,경상북도,울진군,울진지역자활센터,경상북도 울진군 울진읍 읍내리 363-3
0,경상북도,울진군,근남면작은도서관,경상북도 울진군 울진북로 151-3 근남면
1,경상북도,울진군,기성면작은도서관,경상북도 울진군 척산길 67 복지회관 2층(기성면)
2,경상북도,울진군,온정면작은도서관,경상북도 울진군 소태로 23 복지회관 1층 (온정면)
3,경상북도,울진군,울진군노인요양원,경상북도 울진군 매화면 망양정로 285-34 울진군노인요양원
4,경상북도,울진군,울진남부도서관,경상북도 울진군 후포면 삼율리 3-1
5,경상북도,울진군,울진노인복지센터,경상북도 울진군 울진읍 읍내리 77-11
6,경상북도,울진군,울진장애인부모회,경상북도 울진군 울진읍 읍내4리 536-1
7,경상북도,울진군,울진지역아동센터,경상북도 울진군 읍내8길 26
8,경상북도,울진군,죽변도서관,경상북도 울진군 죽변면 죽변리 281-1
9,경상북도,울진군,평해읍작은도서관,경상북도 울진군 평해7길 11 (평해읍)
0,경상북도,울진군,사)한국농아인협회경상북도협회울진군지회,경상북도 울진군 울진중앙로 51 무지개씽크 2층
1,경상북도,울진군,울진군농업기술센터,경상북도 울진군 원남면 매화리 1032 - 28
2,경상북도,울진군,울진군보건의료원,경상북도 울진군 울진읍 읍내리 563-5
3,경상북도,울진군,울진군의료원,경상북도 울진군 울진읍 연지리 119
4,경상북도,울진군,울진군장애인종합복지관 주간보호센터,경상북도 울진군 울진읍 울진북로 496-12 (부설) 울진군장애인종합복지관 주간보호센터
5,경상북도,울진군,울진군중증장애인자립지원센터,경상북도 울진군 울진읍 울진북로 496-11 곰두리대학교
6,경상북도,울진군,울진남부노인복지센터,경상북도 울진군 평해읍 평해리 798-5
7,경상북도,울진군,울진남부청소년방과후아카데미,경상북도 울진군 후포면 후포6길 75 후포동부초등학교 뒷 건물(남부아카데미)
8,경상북도,울진군,울진청년회의소,경상북도 울진군 울진읍 읍남리 353-3번지
9,경상북도,울진군,푸르미작업장,경상북도 울진군 죽변면 산내성로 481
0,경상북도,울진군,울진군엑스포공원관리소,경상북도 울진군 근남면 수산리 346번지
1,경상북도,울진군,울진수화통역센터,경상북도 울진군 울진읍 읍내리 624
