,지역,시군구,기관,주소
0,대구광역시,남구,남구정신보건센터,대구광역시 남구 영선길 34
1,대구광역시,남구,대구광역시 일시(이동형) 청소년쉼터,대구광역시 남구 명덕로34길 16 3층 302호
2,대구광역시,남구,대구광역시교육연구정보원,대구광역시 남구 중앙대로31길 150
3,대구광역시,남구,대구광역시남구도시만들기지원센터,대구광역시 남구 앞산순환로 383-6 지하1층
4,대구광역시,남구,대구광역시시설관리공단,대구광역시 남구 대명로 29 대구시설공단
5,대구광역시,남구,대구남구드림스타트,대구광역시 남구 안골2길 20
6,대구광역시,남구,대구남도초등학교,대구광역시 남구 현충동길 74
7,대구광역시,남구,대구보건학교,대구광역시 남구 성당로50길 33
8,대구광역시,남구,도로교통공단 대구지부,대구광역시 남구 대명서로 31
9,대구광역시,남구,청소년창작센터,대구광역시 남구 중앙대로45길 53
0,대구광역시,남구,대구광역시남구보건소,대구광역시 남구 영선길 34
1,대구광역시,남구,대구광역시남구이천동주민센터,대구광역시 남구 이천로28길 18
2,대구광역시,남구,대구광역시남구청,대구광역시 남구 이천로 51
3,대구광역시,남구,대구남부경찰서,대구광역시 남구 대명로 249
4,대구광역시,남구,주민자치센터(대명6동),대구광역시 남구 대명남로 73
5,대구광역시,남구,주민자치센터[대명11동],대구광역시 남구 관문시장4길 53
6,대구광역시,남구,주민자치센터[대명4동],대구광역시 남구 두류공원로20길 19
7,대구광역시,남구,주민자치센터[대명9동],대구광역시 남구 큰골길 53
8,대구광역시,남구,주민자치센터[봉덕1동],대구광역시 남구 이천로 51
9,대구광역시,남구,주민자치센터[봉덕2동],대구광역시 남구 이천로10길 50
0,대구광역시,남구,남구자원봉사센터,대구광역시 남구 이천로 51
1,대구광역시,남구,남구진로진학코칭센터,대구광역시 남구 장전2길 5 남구 평생학습관 2층
2,대구광역시,남구,대구광역시립남부도서관,대구광역시 남구 앞산순환로 512
3,대구광역시,남구,대구영화학교,대구광역시 남구 성당로50길 33 대구영화학교
4,대구광역시,남구,주민자치센터(대명1동),대구광역시 남구 장전2길 5
5,대구광역시,남구,주민자치센터(대명2동),대구광역시 남구 명덕로32길 30
6,대구광역시,남구,주민자치센터(대명5동),대구광역시 남구 대명로58길 11
7,대구광역시,남구,주민자치센터(봉덕3동),대구광역시 남구 중앙대로22길 100
8,대구광역시,남구,주민자치센터[대명10동],대구광역시 남구 대명복개로4길 166
9,대구광역시,남구,주민자치센터[대명3동],대구광역시 남구 명덕로20길 115
0,대구광역시,남구,광명학교,대구광역시 남구 성당로50길 33 광명학교
1,대구광역시,남구,꿈터장애인주간보호센터,대구광역시 남구 현충로19길 29 대명동
2,대구광역시,남구,남구 진로진학코칭센터,대구광역시 남구 장전2길 5 남구 평생학습관 2층
3,대구광역시,남구,남구장애인복지센터,대구광역시 남구 명덕로14길 68
4,대구광역시,남구,대구광역푸드뱅크,대구광역시 남구 대덕로 181
5,대구광역시,남구,대구대봉초등학교,대구광역시 남구 대봉로26길 33 교육복지실
6,대구광역시,남구,대구보명학교,대구광역시 남구 성당로50길 33 대구보명학교
7,대구광역시,남구,대구청소년문화의집,대구광역시 남구 명덕로34길 16
8,대구광역시,남구,대구청소년창의센터 꿈&CUM,대구광역시 남구 봉덕로 45
9,대구광역시,남구,한국자유총연맹 대구광역시지부,대구광역시 남구 앞산순환로 574-110 낙동강승전기념관
0,대구광역시,남구,(사)한국백혈병소아암협회 대구경북지회,대구광역시 남구 대명로 65 5층
1,대구광역시,남구,G.B.SU,대구광역시 남구 두류공원로 59
2,대구광역시,남구,꿈틀작은도서관,대구광역시 남구 성명공원길 18 2층
3,대구광역시,남구,나눔운동체험본부,대구광역시 달서구 달구벌대로 1476
4,대구광역시,남구,대구광역시새마을회,대구광역시 남구 봉덕로 9 3층
5,대구광역시,남구,대구남부노인보호전문기관,대구광역시 남구 이천로 128 3층
6,대구광역시,남구,대구덕희학교,대구광역시 남구 성당로50길 33 대구덕희학교
7,대구광역시,남구,사단법인한국국제교류진흥원,대구광역시 달서구 당산로 176 두류동
8,대구광역시,남구,아트키키,대구광역시 남구 중앙대로31길 181 3층
9,대구광역시,남구,정신건강전문가 학교방문지원사업단 대구경북센터,"대구광역시 남구 현충로 170 2F(고봉민김밥 2층, 영남Wee센터 내 센터장실)"
0,대구광역시,남구,(사)대구생명의숲,대구광역시 남구 현충로 58 2층
1,대구광역시,남구,대구YWCA,대구광역시 남구  현충로 64 대구YWCA 3층
2,대구광역시,남구,대구광역자활센터,대구광역시 남구 봉덕로 41
3,대구광역시,남구,대구전환서비스센터,대구광역시 남구 대봉로 109
4,대구광역시,남구,대구포크페스티벌,대구광역시 동구 동대구로 461 1105호 (대구포크페스티벌)
5,대구광역시,남구,대구희망리본본부,대구광역시 남구 봉덕로 41 2층
6,대구광역시,남구,대한결핵협회대구경북지부,대구광역시 남구 중앙대로 162
7,대구광역시,남구,사)대구광역시장애인정보화협회,대구광역시 남구 현충로 236 3층
8,대구광역시,남구,장애인과함께하는행복한거북이협동조합,대구광역시 남구 계명2길 1
9,대구광역시,남구,청개구리작은도서관,대구광역시 남구 성당로50길 33 별관 지하
0,대구광역시,남구,남구지역아동센터,대구광역시 남구 중앙대로38길 17 4층
1,대구광역시,남구,대구광역시남구청소년상담복지센터,대구광역시 남구 중앙대로49길 25 2층
2,대구광역시,남구,대구여성의전화,대구광역시 남구 이천로 31 혜림한의원
3,대구광역시,남구,대구한국미혼모가족협회,대구광역시 중구 동덕로30길 116
4,대구광역시,남구,대명사회복지관,대구광역시 남구 양지로 8
5,대구광역시,남구,드림&뮤직,대구광역시 남구 두류공원로 120
6,대구광역시,남구,사단법인 좋은학교만들기,대구광역시 중구 태평로 267 2층
7,대구광역시,남구,사단법인엔지오비유디,대구광역시 남구 중앙대로 132
8,대구광역시,남구,영문대요양원,대구광역시 남구 양지북길 126
9,대구광역시,남구,재단법인한국동물보호협회,대구광역시 남구 대명로 134-1 2층 (대명동)
0,대구광역시,남구,(사)대구남구스포츠클럽,대구광역시 남구 앞산순환로 686 남구국민체육센터 내
1,대구광역시,남구,남구종합사회복지관,대구광역시 남구 중앙대로38길 17
2,대구광역시,남구,대구장애우권익문제연구소,대구광역시 남구 명덕로8길 70 대구대학교 재활관 지하1층
3,대구광역시,남구,바르게살기운동남구협의회,대구광역시 남구 성당로48길 68 2층
4,대구광역시,남구,비콘,대구광역시 남구 현충로 98 사회복지법인 베네스트 비콘
5,대구광역시,남구,아름다운중노년문화연구소,대구광역시 남구 대봉로 40 2층
6,대구광역시,남구,예랑재가복지센터,대구광역시 남구 대명로 65 9층
7,대구광역시,남구,자비의전화,대구광역시 남구 명덕로54길 31
8,대구광역시,남구,체험학습연구개발협회 대구교육사업단,대구광역시 남구 명덕로 232-1 2층 체험학습연구개발협회 대구교육사업단
9,대구광역시,남구,함께하는마음재단,대구광역시 남구 이천로28길 8-52
0,대구광역시,남구,남구건강가정다문화가족지원센터,대구광역시 남구 이천로 10
1,대구광역시,남구,대구생명의전화,대구광역시 남구 중앙대로49길 25 대명동
2,대구광역시,남구,대구여성인력개발센터,대구광역시 남구 중앙대로 222
3,대구광역시,남구,대덕노인종합복지관,대구광역시 남구 큰골길 137 대명동
4,대구광역시,남구,목련재가노인복지센터,대구광역시 남구 봉덕초등길 51-8
5,대구광역시,남구,연경노인요양원,대구광역시 남구 대명남로 106-1
6,대구광역시,남구,영남대학교병원,대구광역시 남구 현충로 170
7,대구광역시,남구,유림케어요양복지센터,대구광역시 남구 대명로 26
8,대구광역시,남구,하은빌리지,대구광역시 남구 대덕로 181 205호
9,대구광역시,남구,해맑음,대구광역시 남구 봉덕로 17 4층
0,대구광역시,남구,그루터기지역아동센터,대구광역시 남구 희망로 31
1,대구광역시,남구,까리따스의 집 노인요양공동생활가정,대구광역시 남구 안지랑로6길 7
2,대구광역시,남구,꿈나무작은도서관,대구광역시 남구 큰골길 130
