,지역,시군구,기관,주소
0,대구광역시,달서구,달서구청 평생교육과 우리마을교육나눔,대구광역시 달서구 학산로 45 7층 평생교육과
1,대구광역시,달서구,대구광역시 달서구 달서가족문화도서관,대구광역시 달서구 조암남로 137 (대천동) 달서가족문화도서관
2,대구광역시,달서구,대구광역시립두류도서관,대구광역시 달서구  공원순환로 8 두류도서관 장서관리실
3,대구광역시,달서구,대구보호관찰소 서부지소,대구광역시 달서구 화암로 301 정부대구지방합동청사
4,대구광역시,달서구,대구성서경찰서,대구광역시 달서구 달구벌대로259길 15 -
5,대구광역시,달서구,대구지방보훈청,대구광역시 달서구  화암로 301 정부대구지방합동청사 내 대구지방보훈청
6,대구광역시,달서구,대구지방식품의약품안전청,대구광역시 달서구  성서로 405 대구지방식품의약품안전청
7,대구광역시,달서구,대한노인회 달서구지회,대구광역시 달서구 학산로 140 -
8,대구광역시,달서구,수목원관리사무소,대구광역시 달서구 화암로 342 대곡동284 대구수목원
9,대구광역시,달서구,한국장애인고용공단 대구직업능력개발원,대구광역시 달서구 장산남로 11 대구직업능력개발원
0,대구광역시,달서구,달서경찰서,대구광역시 달서구 학산로 55 달서경찰서
1,대구광역시,달서구,달서구건강가정지원센터,대구광역시 달서구 성당로 17 -
2,대구광역시,달서구,달서구립본리도서관,대구광역시 달서구 당산로 37-25 -
3,대구광역시,달서구,달서구립성서도서관,대구광역시 달서구 선원남로 129 -
4,대구광역시,달서구,달서구성서보건지소,대구광역시 달서구  계대동문로 79 성서보건지소
5,대구광역시,달서구,대구가톨릭알코올상담센터,대구광역시 달서구 학산로 50 -
6,대구광역시,달서구,대구도시철도공사,대구광역시 달서구  월배로 250 대구도시철도공사
7,대구광역시,달서구,대구시설공단 KRA대구승마힐링센터,대구광역시 달서구  앞산순환로 206 (송현동694번지) 대덕승마장 2층
8,대구광역시,달서구,성서상록수노인복지센터,대구광역시 달서구  문화회관3길 25 성서상록수노인복지센터
9,대구광역시,달서구,한국법무보호복지공단대구경북지부,대구광역시 달서구 성서동로 325 -
0,대구광역시,달서구,달서구립도원도서관,대구광역시 달서구 한실로 113 도원도서관
1,대구광역시,달서구,달서구보건소,대구광역시 달서구 와룡로49길 30 -
2,대구광역시,달서구,달서구자원봉사센터,대구광역시 달서구 진천로9길 33 4층 달서구자원봉사센터
3,대구광역시,달서구,달서구청소년수련관,대구광역시 달서구  상화로 420 달서구청소년수련관
4,대구광역시,달서구,대구광역시종합복지회관-달서구,대구광역시 달서구 성당로 187 -
5,대구광역시,달서구,본미소힐링센터,대구광역시 달서구 구마로26안길 32-3 -
6,대구광역시,달서구,사단법인대구광역시장애인권익협회,대구광역시 달서구 와룡로 221 201호
