,지역,시군구,기관,주소
0,대구광역시,중구,국가인권위원회 대구인권사무소,대구광역시 중구 국채보상로 648 16층
1,대구광역시,중구,남문올래협동조합,대구광역시 중구 중앙대로 289-36 1층 사무실
2,대구광역시,중구,대구동부자유학기제진로체험지원센터,대구광역시 중구 관덕정길 35
3,대구광역시,중구,대구스마트쉼센터,대구광역시 북구 연암로 40 102동 대구스마트쉼센터
4,대구광역시,중구,대구제일중학교,대구광역시 중구 명륜로23길 16 대구제일중학교
5,대구광역시,중구,대구중구노인상담소,대구광역시 중구 태평로 45 중구보건소 4층
6,대구광역시,중구,삼덕노인복지센터,대구광역시 중구 공평로 22
7,대구광역시,중구,중구청 문화개발과 우리마을 교육나눔,대구광역시 중구 국채보상로139길 1 4층 문화개발과
8,대구광역시,중구,중구청 문화개발과 우리마을교육나눔,대구광역시 중구 국채보상로139길 1 4층 문화개발과
9,대구광역시,중구,향촌수제화센터,대구광역시 중구 국채보상로139길 1 향촌수제화센터
0,대구광역시,중구,대구 중구보건소 치매안심센터,대구광역시 중구 태평로 45 중구보건소 3층 치매안심센터
1,대구광역시,중구,대구시각장애인문화원,대구광역시 중구 종로 31-1 희망신협2층
2,대구광역시,중구,대구여성가족재단(대구일가정양립지원센터),대구광역시 중구 태평로 141 대구콘서트하우스 1층
3,대구광역시,중구,대구인터넷중독대응센터,대구광역시 중구  동덕로 194 동화빌딩 11층 인터넷중독대응센터
4,대구광역시,중구,대구중구 어린이급식관리지원센터,대구광역시 중구 서성로 26 202호
5,대구광역시,중구,대구지역사회서비스지원단,대구광역시 중구 태평로 141 1층
6,대구광역시,중구,사단법인온사랑복지회,대구광역시 중구 경상감영길 101 313호
7,대구광역시,중구,어르신마을노인복지센터,대구광역시 중구 명륜로26길 77-2
8,대구광역시,중구,중부경찰서,대구광역시 중구 경상감영길 55 중부경찰서 경무과
9,대구광역시,중구,한국보건복지인력개발원대구사회복무교육센터,대구광역시 동구 동내로 88 커뮤니케이션센터 7층
0,대구광역시,중구,대구광역시립대봉도서관,대구광역시 중구 대봉로 210-1
1,대구광역시,중구,대구광역시중구생활체육회,대구광역시 중구  국채보상로 742 동대구신협 3층
2,대구광역시,중구,대구시민회관,대구광역시 중구  태평로 141 대구시민회관
3,대구광역시,중구,대구시행정동우회,대구광역시 중구  동덕로 115 진석타워 1604호
4,대구광역시,중구,대구여성가족재단,대구광역시 중구 태평로 141 1층 대구여성가족재단
5,대구광역시,중구,대구콘서트하우스,대구광역시 중구 태평로 141 6층(태평로2가)
6,대구광역시,중구,대구해바라기센터(아동),대구광역시 중구 국채보상로140길 32
7,대구광역시,중구,대봉도서관,대구광역시 중구 대봉로 210 대봉도서관
8,대구광역시,중구,중구지역자활센터,대구광역시 중구 남산로7길 80
9,대구광역시,중구,한국도박문제관리센터 대구센터,대구광역시 중구 달성로 37 계성빌딩 5층 한국도박문제관리센터 대구센터
0,대구광역시,중구,공무원연금공단 대구지부,대구광역시 중구 대봉로 260 108동 3층
1,대구광역시,중구,국채보상운동기념관,대구광역시 중구 국채보상로 670 국채보상운동기념관
2,대구광역시,중구,남산기독교종합사회복지관,대구광역시 중구 관덕정길 16 남산기독교종합사회복지관
3,대구광역시,중구,남산복지재단,대구광역시 중구 관덕정길 16
4,대구광역시,중구,대구서문복지재단,대구광역시 중구 달성공원로4길 30
5,대구광역시,중구,대한적십자사대구지사,대구광역시 중구 태평로 7
6,대구광역시,중구,요셉의집,대구광역시 중구 태평로 210
7,대구광역시,중구,중부경찰서,대구 중구 서문로1가 1-4번지
8,대구광역시,중구,중부소방서,대구광역시 중구 달구벌대로 1926
9,대구광역시,중구,향촌문화관,대구광역시 중구 중앙대로 449
0,대구광역시,중구,계명대학교대구동산병원,대구광역시 중구  달성로 계명대학교동산의료원 56
1,대구광역시,중구,대구광역시시민건강놀이터,"대구광역시 중구 달성로 10 1,3층"
2,대구광역시,중구,대구문화재단,대구광역시 중구 대봉로 260
3,대구광역시,중구,대구문화재단대구문학관,대구광역시 중구 중앙대로 449 대구문학관
4,대구광역시,중구,대구문화재지킴이회,대구광역시 중구  2·28길 6 3층
5,대구광역시,중구,대구예술발전소,대구광역시 중구  달성로22길 31-12 대구예술발전소
6,대구광역시,중구,대구중구 건강가정·다문화가족지원센터,대구광역시 중구 남산로 53-1 2층 대구중구 건강가정·다문화가족지원센터
7,대구광역시,중구,사)대구광역시장애인재활협회,대구광역시 중구 남산로7길 80
8,대구광역시,중구,에코한방웰빙체험관,대구광역시 중구  남성로 24
9,대구광역시,중구,한국관광공사 대구경북권협력단,대구광역시 중구 동덕로 167 KT스마트타워 6층 한국관광공사 대구경북권협력단
0,대구광역시,중구,(사)2.28민주운동기념사업회,대구광역시 중구 2·28길 9
1,대구광역시,중구,(사)더나은세상을위한공감,대구광역시 중구 국채보상로 554-1 현대정보빌딩2층
2,대구광역시,중구,(재)대구기독교청년회(대구YMCA),대구광역시 중구 국채보상로 541
3,대구광역시,중구,경북대학교병원,대구광역시 중구 동덕로 130 경북대학교병원
