,지역,시군구,기관,주소
0,부산광역시,강서구,강서구보건소 치매안심센터,부산광역시 강서구 낙동북로102번길 76 치매안심센터
1,부산광역시,강서구,강서구산업단지관리사업소,"부산광역시 강서구 녹산산단262로50번길 53 (송정동, 산업단지관리사업소)"
2,부산광역시,강서구,강서구조대,"부산광역시 강서구 녹산산단361로 9 (송정동, 강서소방서)"
3,부산광역시,강서구,강서구청,부산광역시 강서구 낙동북로 477 (대저1동)
4,부산광역시,강서구,강서소방서 현장대응단,"부산광역시 강서구 녹산산단361로 9 (송정동, 강서소방서)"
5,부산광역시,강서구,명지2동행정복지센터,부산광역시 강서구 명지오션시티11로 33 (명지동)
6,부산광역시,강서구,부산강서경찰서,"부산광역시 강서구 명지국제1로 305 (명지동, 부산강서경찰서)"
7,부산광역시,강서구,부산광역시 강서구 드림스타트,"부산광역시 강서구 낙동북로 477 여성센터동(대저1동, 강서구청)"
8,부산광역시,강서구,부산교도소 직업훈련과,"부산광역시 강서구 대저중앙로29번길 62 (대저1동, 부산교도소)"
9,부산광역시,강서구,신호119안전센터,"부산광역시 강서구 신호산단4로 62 (신호동, 소방파출소)"
0,부산광역시,강서구,가락동행정복지센터,부산광역시 강서구 가락대로 1476 (죽림동)
1,부산광역시,강서구,강동119안전센터,부산광역시 강서구 제도로 696 (강동동)
2,부산광역시,강서구,강동동행정복지센터,부산광역시 강서구 제도로 1171 (강동동)
3,부산광역시,강서구,강서소방서,"부산광역시 강서구 녹산산단361로 9 (송정동, 강서소방소)"
4,부산광역시,강서구,녹산119안전센터,"부산광역시 강서구 녹산산단361로 9 (송정동, 강서소방서)"
5,부산광역시,강서구,녹산동행정복지센터,부산광역시 강서구 가락대로900번가길 32 (범방동)
6,부산광역시,강서구,대저119안전센터,부산광역시 강서구 대저로221번길 25 (대저1동)
7,부산광역시,강서구,대저1동행정복지센터,부산광역시 강서구 대저로221번길 19 (대저1동)
8,부산광역시,강서구,명지1동행정복지센터,부산광역시 강서구 영강길19번길 58 (명지동)
9,부산광역시,강서구,부산광역시농업기술센터,부산광역시 강서구 공항로 1285 (대저1동)
0,부산광역시,강서구,가덕도동행정복지센터,부산광역시 강서구 동선3길 1 (성북동)
1,부산광역시,강서구,강서노인종합복지관,부산광역시 강서구 체육공원로 39 (대저1동)
2,부산광역시,강서구,강서도서관,"부산광역시 강서구 공항로811번길 10 (대저2동, 강서브라이트센터)"
3,부산광역시,강서구,국공립 강서어린이집,부산광역시 강서구 대저로63번길 31 (대저1동)
4,부산광역시,강서구,국공립 오션타운어린이집,부산광역시 강서구 명지국제7로 111 오션타운어린이집
5,부산광역시,강서구,대저2동행정복지센터,부산광역시 강서구 공항로811번가길 30-1 (대저2동)
6,부산광역시,강서구,대한적십자사부산지사,"부산광역시 부산진구 동성로 144 (전포동, 적십자회관빌딩)"
7,부산광역시,강서구,명지치안센터,부산광역시 강서구 영강길19번길 48 (명지동)
8,부산광역시,강서구,부산광역시자원봉사센터,"부산광역시 부산진구 중앙대로 955 10층(양정동, 부산광역시상수도사업본부)"
9,부산광역시,강서구,부산한솔학교,부산광역시 강서구 명지오션시티2로 86 (명지동)
0,부산광역시,강서구,가람장애인자립생활센터,부산광역시 강서구 대저로255번길 29 1층 가람장애인자립생활센터
1,부산광역시,강서구,가치예술운동,"부산광역시 강서구 생곡산단1로24번길 58 3층(생곡동, 부산자원순환협력센타)"
2,부산광역시,강서구,강서구자원봉사센터,부산광역시 강서구 대저로63번길 31 2층(대저1동)
3,부산광역시,강서구,강서구지역자활센터,부산광역시 강서구 공항로811번가길 30 (대저2동)
4,부산광역시,강서구,강서구진로교육지원센터,부산광역시 강서구 명지오션시티11로 33 강서구 진로교육지원센터
5,부산광역시,강서구,강서구체육회,부산광역시 강서구 낙동북로 477 강서구청 별관 211호 강서구체육회
6,부산광역시,강서구,강서기적의도서관,부산광역시 강서구 명지오션시티10로 80 강서기적의도서관
7,부산광역시,강서구,국공립 서연정어린이집,부산광역시 강서구 대저로255번길 15
8,부산광역시,강서구,국공립 초록둥지어린이집,"부산광역시 강서구 명지국제5로 60 1층, 초록둥지어린이집"
9,부산광역시,강서구,사)유기동물 및 동물보호 관리협회,부산광역시 강서구 가락대로1283번길 25-2 (봉림동 147-28)
0,부산광역시,강서구,강서구종합사회복지관,부산광역시 강서구 대저로63번길 31 (대저1동)
1,부산광역시,강서구,강서구청소년지원센터 꿈드림,부산광역시 강서구  대저로63번길 31 1층(대저1동)
2,부산광역시,강서구,강서지역아동센터,부산광역시 강서구 대저로63번길 31 1층 (대저1동)
3,부산광역시,강서구,낙동종합사회복지관,부산광역시 강서구 순아강변길 5 (명지동)
4,부산광역시,강서구,부산동물보호센터,부산광역시 강서구 군라2길 206 (대저2동)
5,부산광역시,강서구,삼성전기부산자원봉사센터,"부산광역시 강서구 녹산산업중로 333 사회공헌센터(송정동, 삼성전기 부산사업장)"
6,부산광역시,강서구,외국인과 함께하는 씨밀레,"부산광역시 강서구 녹산산단335로 12-9 3층(송정동, 마이다스빌딩)"
7,부산광역시,강서구,장대현학교,"부산광역시 강서구 신호산단4로76번길 71 (신호동, 경삼빌딩)"
8,부산광역시,강서구,정다운어르신의집,"부산광역시 강서구 낙동남로483번가길 21 (녹산동, 세림원)"
9,부산광역시,강서구,천성지역아동센터,부산광역시 강서구  가덕해안로751번길 49 (천성동)
0,부산광역시,강서구,을숙도노인요양원,부산광역시 강서구 낙동남로991번길 54-1 (명지동)
1,부산광역시,강서구,참사랑노인건강센터,부산광역시 강서구 상덕로119번길 28-11 (강동동)
