,지역,시군구,기관,주소
0,부산광역시,사하구,감천1동행정복지센터,부산광역시 사하구 감천로117번길 2 감천1동주민센터
1,부산광역시,사하구,감천2동행정복지센터,부산 사하구 감천2동 옥천로93번길 14 감천2동주민센터
2,부산광역시,사하구,괴정1동주민센터,부산광역시 사하구 낙동대로250번안길 3 괴정1동주민센터
3,부산광역시,사하구,괴정3동주민센터,부산광역시 사하구  낙동대로171번길 30-5 괴정3동주민센터
4,부산광역시,사하구,구평동주민센터,부산광역시 사하구 서포로 48 구평동주민센터
5,부산광역시,사하구,당리동 행정복지센터,부산광역시 사하구 낙동대로 380 당리동 행정복지센터
6,부산광역시,사하구,부산광역시 환경정책과,부산광역시 연제구 중앙대로 1001
7,부산광역시,사하구,신평1동주민센터,부산광역시 사하구 신산로 173 신평1동주민센터
8,부산광역시,사하구,장림1동행정복지센터,부산광역시 사하구 장림로161번길 2 장림1동행정복지센터
9,부산광역시,사하구,하단1동주민센터,부산광역시 사하구 하신중앙로 308 하단1동주민센터
0,부산광역시,사하구,감천마을 작은도서관,부산광역시 사하구 옥천로75번길 14 감천마을 작은도서관
1,부산광역시,사하구,괴정2동주민센터,부산광역시 사하구 까치고개로 14-1 괴정2동주민센터
2,부산광역시,사하구,괴정4동주민센터,부산광역시 사하구 낙동대로309번길 9 괴정4동주민센터
3,부산광역시,사하구,낙동강하구에코센터,부산광역시 사하구  낙동남로 1240 낙동강 하구 에코센터
4,부산광역시,사하구,다대1동행정복지센터,부산광역시 사하구 다대로530번길 7 다대1동주민센터
5,부산광역시,사하구,다대2동 행정복지센터,부산광역시 사하구 다대로429번길 30 다대2동 행정복지센터
6,부산광역시,사하구,동아대학교 학생상담센터,부산광역시 사하구 낙동대로550번길 37 동아대학교 학생회관 3층 학생상담센터
7,부산광역시,사하구,신평2동주민센터,부산광역시 사하구 하신번영로 137 신평2동주민센터
8,부산광역시,사하구,평화노인건강센터,부산광역시 사하구 승학로233번길 49
9,부산광역시,사하구,하단2동 행정복지센터,부산광역시 사하구 하신번영로 377 하단2동주민센터
0,부산광역시,사하구,감천119안전센터,부산광역시 사하구 원양로 405
1,부산광역시,사하구,다대119안전센터,부산광역시 사하구 다대동로 12
2,부산광역시,사하구,동주대학교 사회봉사대,부산광역시 사하구 사리로55번길 16
3,부산광역시,사하구,부산사하구어린이급식관리지원센터,부산광역시 사하구  낙동대로550번길 37 동아대학교 산학연구관(s14) SM0520
4,부산광역시,사하구,부산사하우체국,부산광역시 사하구 낙동대로 346
5,부산광역시,사하구,부산유아교육진흥원,부산광역시 사하구 다대로529번길 11 부산광역시유아교육진흥원
6,부산광역시,사하구,사하구청소년문화의집,부산광역시 사하구  다대로 716-1 사하구청소년문화의집
7,부산광역시,사하구,사하삼성어린이집,부산광역시 사하구 장림시장11길 72
8,부산광역시,사하구,사하소방서,부산광역시 사하구 장평로 270
