,지역,시군구,기관,주소
0,부산광역시,영도구,동삼3동행정복지센터,부산광역시 영도구 상리로 39
1,부산광역시,영도구,부산해양경찰서,부산광역시 영도구 해양로 293
2,부산광역시,영도구,부산해양경찰서해양오염방제과,부산광역시 영도구 해양로 293 부산해양경비안전서
3,부산광역시,영도구,영도구청 건축과,부산광역시 영도구 태종로 423
4,부산광역시,영도구,영도구청 도시안전과,부산광역시 영도구  태종로 423
5,부산광역시,영도구,영도구청 자치행정국 평생학습과,부산광역시 영도구 태종로 423 영도구청2층
6,부산광역시,영도구,영도구청(자치행정과),부산광역시 영도구 태종로 423
7,부산광역시,영도구,한국해양대학교 사회봉사센터,부산광역시 영도구 태종로 727 대학본부 1층
8,부산광역시,영도구,해양대학생복지과,부산광역시 영도구 태종로 727 한국해양대학교 학생복지과
9,부산광역시,영도구,해양수산부 국립수산물품질관리원,부산광역시 영도구 해양로 337
0,부산광역시,영도구,남항동행정복지센터,부산광역시 영도구 남항로 9 1
1,부산광역시,영도구,동삼1동행정복지센터,부산광역시 영도구 중리로 44 동삼1동주민센터
2,부산광역시,영도구,동삼2동행정복지센터,부산광역시 영도구 본산남길 5 동삼2동주민센터
3,부산광역시,영도구,봉래1동행정복지센터,부산광역시 영도구 대교로6번길 5 봉래1동주민센터
4,부산광역시,영도구,봉래2동행정복지센터,부산광역시 영도구 태종로165번길 1 봉래2동주민센터
5,부산광역시,영도구,부산영도경찰서,부산광역시 영도구 태종로 46 부산영도경찰서
6,부산광역시,영도구,신선동행복주민센터,부산광역시 영도구 하나길 317 신선동주민센터
7,부산광역시,영도구,영도문화예술회관,부산광역시 영도구 함지로79번길 6 영도어울림문화공원 내 영도문화예술회관
8,부산광역시,영도구,청학1동행정복지센터,부산광역시 영도구 청학서로 78 청학1동주민센터
9,부산광역시,영도구,한국해양대(학생복지과),부산광역시 영도구 태종로 727 한국해양대학교 학생복지과
0,부산광역시,영도구,고신대(부산서영도구어린이급식관리지원센터),부산광역시 영도구 와치로 194
1,부산광역시,영도구,부산시설공단태종대유원지사업소,부산광역시 영도구 전망로 24 태종대유원지사업소
2,부산광역시,영도구,영도구드림스타트,"부산광역시 영도구 함지로79번길 40 102호(동삼동, 부산도시공사 동삼2지구 상가)"
3,부산광역시,영도구,영도구청,부산광역시 영도구 태종로 423 영도구청
4,부산광역시,영도구,영도구청소년상담복지센터,부산광역시 영도구 절영로 321 함지골청소년수련원 내 1층
5,부산광역시,영도구,영선1동행정복지센터,부산광역시 영도구 꿈나무길 25 영선1동주민센터
6,부산광역시,영도구,영선2동행정복지센터,부산광역시 영도구 영선대로 65 영선2동주민센터
7,부산광역시,영도구,청학2동행정복지센터,부산광역시 영도구 태종로 394 청학2동주민센터
