,지역,시군구,기관,주소
0,서울특별시,은평구,보건지소,서울특별시 은평구 연서로34길 11 3층 한마음심리상담카페
1,서울특별시,은평구,서울은평우체국,서울특별시 은평구 진관2로 29-8 서울은평우체국
2,서울특별시,은평구,은평구청 보건위생과,서울특별시 은평구 은평로 195 은평구청 보건위생과
3,서울특별시,은평구,은평구청 보육지원과,서울특별시 은평구 은평로 195 가족정책과
4,서울특별시,은평구,은평구청 사회적경제과/청년지원팀,서울특별시 은평구 은평로 195
5,서울특별시,은평구,은평구청 치수과,서울특별시 은평구 은평로 195 은평구청
6,서울특별시,은평구,은평구청 행정지원과,서울특별시 은평구 은평로 195 총무과
7,서울특별시,은평구,은평세무서,서울특별시 은평구 서오릉로 7 은평세무서 1층 재산법인세과
8,서울특별시,은평구,응암보건지소,서울특별시 은평구 가좌로 195 응암보건지소 3층
9,서울특별시,은평구,증산동주민센터,서울특별시 은평구 증산서길 89
0,서울특별시,은평구,은평구의회,서울특별시 은평구  은평로 195 은평구보건소 은평구의회
1,서울특별시,은평구,은평구청 사회적경제과,서울특별시 은평구 은평로 195
2,서울특별시,은평구,은평구청 주차관리과,서울특별시 은평구 은평로 195 교통지도과
3,서울특별시,은평구,은평구청 행정안전국 자치안전과,서울특별시 은평구 은평로 195 은평구청  3층 자치안전과
4,서울특별시,은평구,은평구청 협치담당관,서울특별시 은평구 은평로 195 은평구청 본관 701호
5,서울특별시,은평구,은평구청 협치담당관,서울특별시 은평구 은평로 195 은평구청 협치담당관
6,서울특별시,은평구,은평구청공원녹지과,서울특별시 은평구 은평로 195
7,서울특별시,은평구,은평구청주거재생과,서울특별시 은평구 은평로 195 은평구청주거재생과
8,서울특별시,은평구,은평구청환경과,서울특별시 은평구 은평로 195
9,서울특별시,은평구,응암3동주민센터,서울특별시 은평구 불광천길 410-17 응암3동주민센터
0,서울특별시,은평구,구산보건지소,서울특별시 은평구  연서로13길 27-3 구산 보건지소 3층 행정실
1,서울특별시,은평구,대조동캠프,서울특별시 은평구 연서로20길 24-3 대조동주민센터
2,서울특별시,은평구,서울기록원,서울특별시 은평구 통일로62길 7 서울기록원 5층
3,서울특별시,은평구,은평경찰서,서울특별시 은평구 불광동 산24
4,서울특별시,은평구,은평교육복지센터,서울특별시 은평구  가좌로6길 20 응암초등학교 옆 3층 은평교육복지센터
5,서울특별시,은평구,은평구보건소 보건지소,서울특별시 은평구  가좌로 195 (응암동 749-13)
6,서울특별시,은평구,은평구청 문화관광과,서울특별시 은평구  은평로 195 은평구보건소 은평구청 문화관광과
7,서울특별시,은평구,은평구청 생활체육과,서울특별시 은평구 녹번동 84번지 은평구청 3층 생활체육과
8,서울특별시,은평구,은평역사한옥박물관/한문화체험시설,서울특별시 은평구 연서로50길 10 너나들이센터
9,서울특별시,은평구,증산동캠프,서울특별시 은평구 증산서길 89 증산동주민센터
0,서울특별시,은평구,수색동캠프,서울특별시 은평구 은평터널로 27 수색동주민센터
1,서울특별시,은평구,신사2동캠프,서울특별시 은평구 증산로15길 47 신사2동주민센터
2,서울특별시,은평구,은평구청 복지정책과,서울특별시 은평구 녹번동  은평구청
3,서울특별시,은평구,은평구청 자치행정과,서울특별시 은평구  은평로 185 은평구청 자치행정과
4,서울특별시,은평구,은평구청 장애인복지과,서울특별시 은평구 은평로 195
5,서울특별시,은평구,은평구청 주민복지과,서울특별시 은평구 은평로 195
6,서울특별시,은평구,은평구청 지적과,서울특별시 은평구 은평로 195
7,서울특별시,은평구,은평구청 홍보담당관,서울특별시 은평구 은평로 195
8,서울특별시,은평구,은평구청시민교육과,서울특별시 은평구 은평로 195 은평구청
9,서울특별시,은평구,은평구청자원순환과,서울특별시 은평구 은평로 195
0,서울특별시,은평구,갈현1동캠프,서울특별시 은평구 갈현로 301 갈현1동주민센터
1,서울특별시,은평구,갈현2동캠프,서울특별시 은평구 연서로27길 31-6 갈현2동주민센터
2,서울특별시,은평구,구산동캠프,서울특별시 은평구 갈현로17길 10 구산동주민센터
3,서울특별시,은평구,불광1동캠프,서울특별시 은평구 진흥로15길 10 불광1동주민센터
4,서울특별시,은평구,불광2동캠프,서울특별시 은평구 연서로41길 16 불광2동주민센터
5,서울특별시,은평구,신사1동캠프,서울특별시 은평구 은평로2길 2 신사1동주민센터
6,서울특별시,은평구,역촌동캠프,서울특별시 은평구 연서로 59 역촌주민센터
7,서울특별시,은평구,응암1동캠프,서울특별시 은평구 백련산로 179 응암1동 주민센터
8,서울특별시,은평구,응암2동캠프,서울특별시 은평구 백련산로 100 응암2동 주민센터
9,서울특별시,은평구,응암3동캠프,서울특별시 은평구 불광천길 410-17 응암3동 주민센터
0,서울특별시,은평구,녹번동캠프,서울특별시 은평구 녹번동 녹번동주민센터
1,서울특별시,은평구,수색동주민센터,서울특별시 은평구 수색로 280 수색동주민센터
2,서울특별시,은평구,은평구보건소,서울특별시 은평구 은평로 195 은평구보건소
3,서울특별시,은평구,은평구자원봉사센터,서울특별시 은평구 은평로 195 은평구의회 3층 자원봉사센터
4,서울특별시,은평구,은평구청 가족정책과,서울특별시 은평구 은평로 195 은평구청 7층 가족정책과
5,서울특별시,은평구,은평구청 어르신복지과,서울특별시 은평구 은평로 195 구의회 2층(어르신복지과)
6,서울특별시,은평구,은평구청 일자리경제과 시장지원팀,서울특별시 은평구 은평로 195 2층 생활경제과
7,서울특별시,은평구,은평구청기획예산과,서울특별시 은평구 은평로 195 은평구청 7층
8,서울특별시,은평구,은평드림스타트센터,서울특별시 은평구 증산로 401-18 드림스타트
9,서울특별시,은평구,진관동캠프,서울특별시 은평구 진관2로 31
0,서울특별시,은평구,구립광현청소년지역아동센터,서울특별시 은평구 연서로27길 31-7 구립유스청소년지역아동센터
1,서울특별시,은평구,법무부 산하 한국법무보호복지공단 서울서부지소,서울특별시 은평구 갈현로7길 5-14 한국법무보호복지공단 서울서부지소
