,지역,시군구,기관,주소
0,울산광역시,중구,내황유치원,울산광역시 중구  내황13길 65 공립내황유치원
1,울산광역시,중구,약사중학교,울산광역시 중구  평산4길 10 약사중학교
2,울산광역시,중구,외솔초등학교,울산광역시 중구 종가로 700
3,울산광역시,중구,울산장애인체육회,울산광역시 중구 염포로 55 종합운동장 내 울산장애인체육회
4,울산광역시,중구,울산중구육아종합지원센터,울산광역시 중구 종가8길 66 울산 중구육아종합지원센터
5,울산광역시,중구,울산중부경찰서,울산광역시 중구 남외동 울산중부경찰서 번영로 620
6,울산광역시,중구,유곡중학교,울산광역시 중구 유곡로 85
7,울산광역시,중구,중구 평생학습관,울산광역시 중구 중앙길 136 중구 평생학습관
8,울산광역시,중구,태화지구대,울산광역시 중구 종가5길 55 태화지구대
9,울산광역시,중구,태화초등학교,울산광역시 중구 평동길 25 태화초등학교
0,울산광역시,중구,내황초등학교,"울산광역시 중구 내황13길 53 (반구동, 내황초등학교)"
1,울산광역시,중구,무룡중학교,울산광역시 중구  화합로 456 약사동 707-7
2,울산광역시,중구,성안파출소,울산광역시 중구  성안로 257 성안파출소
3,울산광역시,중구,외솔초등학교,울산광역시 중구  종가로 700 외솔초등학교
4,울산광역시,중구,울산광역시교육청,울산 중구 우정동 북부순환도로 375
5,울산광역시,중구,울산약사고등학교,울산광역시 중구  종가로 560
6,울산광역시,중구,울산중구종합사회복지관,울산광역시 중구  남외로 88 병영삼일아파트 중구종합사회복지관 2층 행복한교실 지역아동센터
7,울산광역시,중구,울산중부경찰서 학성지구대,울산광역시 중구  학산로 7 학성지구대
8,울산광역시,중구,중부소방서성남119안전센터,울산광역시 중구 만남의거리 14
9,울산광역시,중구,태화지구대,울산광역시 중구  종가5길 55 태화지구대
0,울산광역시,중구,명정초등학교,울산광역시 중구 명난로 115
1,울산광역시,중구,약숫골도서관,울산광역시 중구 평산4길 38 약사동주민센터
2,울산광역시,중구,외솔중학교,울산광역시 중구 종가로 710 외솔중학교
3,울산광역시,중구,울산광역시 제2장애인체육관,울산광역시 중구  종가로 350 울산광역시 제2장애인체육관
4,울산광역시,중구,울산광역시립노인요양원,울산광역시 중구 백양로 147 울산광역시립노인요양원
5,울산광역시,중구,울산중구문화원,울산광역시 중구 새즈믄해거리 37 1층 중구문화원
6,울산광역시,중구,울산중앙고등학교,울산광역시 중구 난곡로 33
7,울산광역시,중구,울산지방경찰청,울산광역시 중구 성안동 울산지방경찰청 성안로76
8,울산광역시,중구,울산초등학교,울산광역시 중구 종가5길 30 울산초등학교
9,울산광역시,중구,함월초등학교,울산광역시 중구 학성1길 25
0,울산광역시,중구,다전초등학교,울산광역시 중구 다운로 176 다전초등학교 도서실
1,울산광역시,중구,아름다운가게 울산중구점,울산광역시 중구 구교로 54 1층 아름다운가게
2,울산광역시,중구,여성긴급전화1366울산센터,울산광역시 중구 중앙길 162 시티빌딩 3층
3,울산광역시,중구,울산광역시상주예술단체협의회,울산광역시 중구 중앙1길 7 성남동
4,울산광역시,중구,중구노인복지관,울산광역시 중구 남외동 1010-1번지
5,울산광역시,중구,중구백합주간보호센터,울산광역시 중구  푸름길 30 2층 중구백합주간보호센터
6,울산광역시,중구,중구종합사회복지관,울산광역시 중구 종가3길 15 중구종합사회복지관
7,울산광역시,중구,한국치매예방협회,울산광역시 중구  태화로 128 2층 한국치매예방협회
8,울산광역시,중구,함월노인복지관,울산광역시 중구  종가3길 15 함월노인복지관
9,울산광역시,중구,해병대 전우회 울산광역시 연합회 중구지회,울산광역시 중구 중앙시장길 8
