,지역,시군구,기관,주소
0,인천광역시,부평구,나눔과더함 부평사회적경제마을센터,인천광역시 부평구 수변로 56 부평구 나눔과더함 사회적경제.마을공동체지원센터
1,인천광역시,부평구,부평구노인인력개발센터,인천광역시 부평구  장제로 235 1층
2,인천광역시,부평구,부평구드림스타트,인천광역시 부평구  장제로 235 2층(부평구 드림스타트)
3,인천광역시,부평구,부평구청(평생교육과),인천광역시 부평구 부평대로 168 평생교육과
4,인천광역시,부평구,부평구청소년상담복지센터,인천광역시 부평구 부평문화로37번길 1 주민센터 3층
5,인천광역시,부평구,부평구청소년성문화센터,인천광역시 부평구  체육관로 76 부평구청소년수련관 3층
6,인천광역시,부평구,부평구치매안심센터,인천광역시 부평구 부흥로 291 4층
7,인천광역시,부평구,부평구풀뿌리여성센터,인천광역시 부평구  장제로 235 2층
8,인천광역시,부평구,부평구학교밖청소년지원센터,인천광역시 부평구 부평문화로37번길 1 3층 부평구학교밖청소년지원센터
9,인천광역시,부평구,산곡노인문화센터,인천광역시 부평구 안남로253번길 34 산곡노인문화센터
0,인천광역시,부평구,갈산도서관,인천광역시 부평구 주부토로 254 갈산1동주민센터
1,인천광역시,부평구,부개도서관,인천광역시 부평구 부일로83번길 46 부개도서관
2,인천광역시,부평구,부개어린이도서관,인천광역시 부평구 동수로 166 부개1동복합시설
3,인천광역시,부평구,부평구건강가정지원센터,인천광역시 부평구 부영로 161 주안빌딩 309호
4,인천광역시,부평구,부평구문화재단,인천광역시 부평구  아트센터로 166
5,인천광역시,부평구,부평구시설관리공단,인천광역시 부평구  굴포로 110 민방위교육장
6,인천광역시,부평구,부평구지역사회보장협의체,인천광역시 부평구  부평대로 168 부평구청 복지정책과
7,인천광역시,부평구,부평기적의도서관,인천광역시 부평구 길주남로 166
8,인천광역시,부평구,삼산도서관,인천광역시 부평구 부평북로 445
9,인천광역시,부평구,청천도서관,인천광역시 부평구  원길로 23
0,인천광역시,부평구,부평구청소년수련관,"인천광역시 부평구  체육관로  76 (삼산동, 부평구청소년수련관)"
1,인천광역시,부평구,부평남부지역자활센터,인천광역시 부평구 열우물로 103
2,인천광역시,부평구,부평장애인종합복지관,인천광역시 부평구 일신로 25
3,인천광역시,부평구,부평정신건강복지센터,인천광역시 부평구 부흥로 287 부평보건소 별관 2층
4,인천광역시,부평구,산곡3동두레마을,인천광역시 부평구 경원대로 1269-2
5,인천광역시,부평구,삼산정신건강복지센터,인천광역시 부평구 평천로 447 108동 2층 삼산정신건강복지센터
6,인천광역시,부평구,은광원,인천광역시 부평구 마분로 8
7,인천광역시,부평구,인천광역시북구도서관,인천광역시 부평구 신트리로 21
8,인천광역시,부평구,인천부평지역자활센터,인천광역시 부평구 수변로 175
9,인천광역시,부평구,한국철도공사 부평역,인천광역시 부평구 광장로 16 2층 한국철도공사 고객지원실
0,인천광역시,부평구,그린2011봉사회,인천광역시 부평구 원적로 270 104-501
1,인천광역시,부평구,나눔과함께,인천광역시 부평구 경인로 749 신명빌딩 2층 2호
2,인천광역시,부평구,바르게살기운동인천시부평구협의회,인천광역시 부평구 일신로14번길 3 지층
3,인천광역시,부평구,부평3동아름다운센터,인천 부평구 십정동 181-233
4,인천광역시,부평구,부평구생활체육회,인천광역시 부평구 부평대로296번길 33
5,인천광역시,부평구,부평굴포누리기후변화체험관,인천광역시 부평구 장제로 267 부평굴포누리기후변화체험관
6,인천광역시,부평구,사)행복한사람들,인천광역시 부평구 부평대로63번길 5
7,인천광역시,부평구,인천소비자연맹,인천광역시 부평구 마장로 1 4층 인천소비자연맹
8,인천광역시,부평구,청개구리도서관,인천광역시 부평구 화랑북로 15-3
9,인천광역시,부평구,청천자율방범대,인천광역시 부평구 마장로 476
0,인천광역시,부평구,갈산자율방범대,인천광역시 부평구  부평대로 부평구청 168 자원봉사센터
1,인천광역시,부평구,동네야놀자,인천광역시 부평구 세월천로 77
2,인천광역시,부평구,부사모,인천광역시 부평구 길주남로 37 부평동 3층일부
3,인천광역시,부평구,부평모범운전자회,인천광역시 부평구 아트센터로74번길 88 십정치안센터 2층
4,인천광역시,부평구,샤미나드의집,인천광역시 부평구  마장로  375 산곡동 5-15
5,인천광역시,부평구,아름다운가게부평산곡점,인천광역시 부평구 부영로189번길 12
6,인천광역시,부평구,아름다운가게삼산점,인천광역시 부평구 평천로 447 주공상가 108동 1층
7,인천광역시,부평구,춤추는달팽이도서관,인천광역시 부평구 경인로 751 신명빌딩 2층 2호
8,인천광역시,부평구,하늘천사클럽중앙회,인천광역시 계양구 황어로148번길 6-2 102-402
