,지역,시군구,기관,주소
0,전라남도,구례군,고독사 지킴이단 활동,전라남도 구례군 구례읍 봉성로 1 구례군청 사회복지과
1,전라남도,구례군,광의면사무소,전라남도 구례군 구만제로 341 광의면사무소
2,전라남도,구례군,구례Wee센터,전라남도 구례군 구례읍 구례2길 21 2층 Wee센터
3,전라남도,구례군,구례교육지원청,전라남도 구례군 구례읍 구례2길 21 교육지원과
4,전라남도,구례군,구례군청 민원봉사과,전라남도 구례군 구례읍 봉성로 1 구례군청 민원봉사과
5,전라남도,구례군,구례군청소년상담복지센터,전라남도 구례군 구례읍 구례로 508 청소년 문화의집 2층 청소년상담복지센터
6,전라남도,구례군,구례읍사무소,전라남도 구례군 봉성산길 12 구례읍사무소
7,전라남도,구례군,마산면사무소,전라남도 구례군 마산면 화엄사로 150 마산면사무소
8,전라남도,구례군,사회복지과,전라남도 구례군 구례읍 봉성로 1 구례군청 사회복지과
9,전라남도,구례군,용방면사무소,전라남도 구례군 하용길 5 용방면사무소
0,전라남도,구례군,간전면사무소,전라남도 구례군 간전면 안음길  7 간전면사무소
1,전라남도,구례군,구례군매천도서관,전라남도 구례군 구례읍 서시천로  76 22
2,전라남도,구례군,구례군보건의료원치매상담센터,전라남도 구례군 구례읍 동편제길 30 구례군보건의료원치매상담센터
3,전라남도,구례군,구례군청소년문화의집,전라남도 구례군 구례읍 구례로 508 구례군종합사회복지관 구례군청소년문화의집
4,전라남도,구례군,농업기술센터,전라남도 구례군  동산1길 32 구례군농업기술센터
5,전라남도,구례군,드림스타트센터,전라남도 구례군 구례읍 구례로  508 종합사회복지관 드림스타트센터
6,전라남도,구례군,산동면사무소,전라남도 구례군 산동면 원촌길  114 산동면사무소
7,전라남도,구례군,스포츠산업과,전라남도 구례군  구례로 508 구례군종합사회복지관 스포츠산업과
8,전라남도,구례군,외곡보건진료소,전라남도 구례군 토지면 피아골로 7 외곡보건진료소
9,전라남도,구례군,토지면사무소,전라남도 구례군 토지면 섬진강대로  5040 토지면사무소
0,전라남도,구례군,계산보건진료소,전라남도 구례군  하유길 21-29 계산보건진료소
1,전라남도,구례군,구례119안전센터,전라남도 구례군 구례읍 양정4길 37 순천소방소 구례소방파출소 구례안전센터
2,전라남도,구례군,구례경찰서,전라남도 구례군 구례읍 315-1 구례경찰서
3,전라남도,구례군,구례군문화예술회관,전라남도 구례군 구례읍 양정2길 11 구례군 문화예술회관
4,전라남도,구례군,구례군보건의료원,전라남도 구례군  동편제길 30 구례군보건의료원 보건행정계
5,전라남도,구례군,구례군여성문화회관,전남 구례군 구례읍 봉동리 298-43번지
6,전라남도,구례군,구례군장애인복지관,전라남도 구례군 동편제길 30 구례군장애인복지관
7,전라남도,구례군,국립공원 종복원기술원,전라남도 구례군 마산면 화엄사로 402-31 국립공원관리공단 종복원기술원
8,전라남도,구례군,민주평통 구례군협의회,전라남도 구례군 구례읍 봉성로 5 민주평화통일자문회의 구례군협의회
9,전라남도,구례군,지리산국립공원남부사무소,전라남도 구례군 마산면 화엄사로 356 지리산국립공원남부사무소
0,전라남도,구례군,구례공설운동장,전라남도 구례군 구례읍 1423-1
1,전라남도,구례군,구례국민체육센터(실내수영장),전라남도 구례군 구례읍 서시천로  92 구례국민체육센터(실내수영장)
