,지역,시군구,기관,주소
0,전라남도,목포시,목포교도소,전라남도 무안군 일로읍  목포교도소
1,전라남도,목포시,목포문학관,전라남도 목포시 남농로 95 목포문학관
2,전라남도,목포시,목포세무서,전라남도 목포시 호남로58번길 19
3,전라남도,목포시,목포시(체육시설관리과),전라남도 목포시 대양로 286
4,전라남도,목포시,목포시청 교육체육과,전라남도 목포시 수문로 32 트윈스타 4층
5,전라남도,목포시,목포시청(건설과),전라남도 목포시 양을로 203 건설과
6,전라남도,목포시,목포시치매안심센터,전라남도 목포시 수문로 32 트윈스타 행정타운 3층 치매안심센터
7,전라남도,목포시,북항환경관리과,전라남도 목포시 청호로220번길 33 북항환경관리과
8,전라남도,목포시,서해해양경비안전본부,전라남도 목포시  남악로 161 서해해양경비안전본부
9,전라남도,목포시,용당1동 행정복지센터,전라남도 목포시 동부로31번길 20 용당1동주민센터
0,전라남도,목포시,광주지방고용노동청목포지청(목포고용센터),전라남도 목포시 평화로 5 광주지방고용노동청 목포지청(목포고용센터)
1,전라남도,목포시,목원동 행정복지센터,"전라남도 목포시 수문로 32 트윈스타4층, 목원동 행정복지센터"
2,전라남도,목포시,목포시민원봉사실,전라남도 목포시 양을로 203 용당동
3,전라남도,목포시,목포시보건소,전라남도 목포시 원산로45번길 5
4,전라남도,목포시,목포시청(관광과),전라남도 목포시 양을로 203
5,전라남도,목포시,목포시청(안전총괄과),전라남도 목포시 양을로 203 목포시청
6,전라남도,목포시,목포시청(여성가족과),전라남도 목포시 양을로 203
7,전라남도,목포시,목포해양경찰서(해양오염방제과),전라남도 목포시 청호로 231
8,전라남도,목포시,민주평화통일자문회의목포시협의회,전라남도 목포시 용당1동  목포시청 본관3층 민주평통 목포시협의회
9,전라남도,목포시,삼향동 행정복지센터,전라남도 목포시  영산로 743 삼향동주민센터
0,전라남도,목포시,대성동 행정복지센터,전라남도 목포시 대성동 27-7
1,전라남도,목포시,대한노인회목포시지회,전남 목포시 행복동1가 2번지
2,전라남도,목포시,목포시드림스타트센터,전라남도 목포시 상리로1번길 32 상동주민센터 2층 목포시드림스타트
3,전라남도,목포시,목포시청(공원과),전라남도 목포시  양을로 203 목포시청 공원과
4,전라남도,목포시,목포시청교육지원과,전라남도 목포시 용당동 1188-2
5,전라남도,목포시,삼학동 행정복지센터,전라남도 목포시 산정동 1379
6,전라남도,목포시,연동 행정복지센터,전라남도 목포시 산정동 1091-26
7,전라남도,목포시,연산동 행정복지센터,전라남도 목포시 연산동 1236-17
8,전라남도,목포시,용당2동 행정복지센터,전라남도 목포시 백년대로 95-5
9,전라남도,목포시,전남서부보훈지청(보훈과),전라남도 목포시 용해동 490 전남서부보훈지청
0,전라남도,목포시,목포시환경과,전라남도 목포시 용당1동 목포시청 1188-2번지
1,전라남도,목포시,부흥동 행정복지센터,전라남도 목포시 옥암동 28 옥암동1022
2,전라남도,목포시,산정동 행정복지센터,전라남도 목포시 산정동 264-20
3,전라남도,목포시,상동 행정복지센터,전라남도 목포시 상동 744-1
4,전라남도,목포시,신흥동 행정복지센터,전라남도 목포시 하당로 66
5,전라남도,목포시,용해동 행정복지센터,전라남도 목포시 용해동 981번지
6,전라남도,목포시,원산동 행정복지센터,전라남도 목포시 원산로145번길 20
7,전라남도,목포시,이로동 행정복지센터,전라남도 목포시 용해동 백련도313(152-22)
8,전라남도,목포시,춘광경로당,전라남도 목포시 죽교동 580-249
9,전라남도,목포시,하당동 행정복지센터,전라남도 목포시 상동 809
0,전라남도,목포시,만호동 행정복지센터,전라남도 목포시 보광동2가 6-1
1,전라남도,목포시,목포시노인복지관,전라남도 목포시 대성동 201
2,전라남도,목포시,목포시문화예술과,전라남도 목포시 용당동 1188-2
3,전라남도,목포시,목포시자원봉사센터,전라남도 목포시 상락동2가 7번지 2층
4,전라남도,목포시,북항동 행정복지센터,전라남도 목포시 고하대로 655 북항동주민센터
5,전라남도,목포시,성모재가노인복지원,전라남도 목포시 경동2가 6-1
6,전라남도,목포시,옥암동 행정복지센터,전라남도 목포시 옥암동 975
7,전라남도,목포시,온금동경로당,전라남도 목포시 온금동 138-1
8,전라남도,목포시,유달동 행정복지센터,전라남도 목포시 서산동 2-25
9,전라남도,목포시,죽교동 행정복지센터,전라남도 목포시 죽교동 39-2
0,전라남도,목포시,남해환경관리과,전라남도 목포시  삼학로 222-2
1,전라남도,목포시,목포경찰서(보안과),전라남도 목포시 동명로 124 보안과
2,전라남도,목포시,목포문화원,전라남도 목포시 해안로249번길 34 목포문화원
3,전라남도,목포시,목포시 노인장애인과,전라남도 목포시 양을로 203 목포시청 노인장애인과
4,전라남도,목포시,목포인성학교,전라남도 목포시 영산로692번길 12-7
5,전라남도,목포시,목포청소년상담복지센터,전라남도 목포시 신흥로83번길 14-1 목련아파트 복지동 2층
6,전라남도,목포시,부주동 행정복지센터,전라남도 목포시 옥암동 1247-3
7,전라남도,목포시,전라남도교육지원청학생생활지원센터,전라남도 목포시 교육로 5
8,전라남도,목포시,하나노인복지관,전라남도 목포시 영해동1가 11-1
9,전라남도,목포시,해양환경관리공단 목포지사,전라남도 목포시 고하대로597번길 75-48 해양환경공단 목포지사
0,전라남도,목포시,(재)목포문화재단,전라남도 목포시 수문로 32 트윈스타 4층
1,전라남도,목포시,목포시농업산업과,전라남도 목포시 영산로 743
2,전라남도,목포시,목포시생활체육회,전라남도 목포시  용당로 101 유달경기장 목포시생활체육회
3,전라남도,목포시,목포시의료원,전라남도 목포시 이로로 18 목포시의료원
4,전라남도,목포시,목포시정신건강복지센터,전라남도 목포시 석현로 48 하당보건지소 2층
5,전라남도,목포시,목포시중독관리통합지원센터,전라남도 목포시 석현로 48 하당보건지소 3층(목포시중독관리통합지원센터)
6,전라남도,목포시,목포시카누연맹,전남 목포시 옥암동 946번지 체육2부지
7,전라남도,목포시,목포어린이바다과학관,전라남도 목포시 삼학로92번길 98
8,전라남도,목포시,목포적십자봉사관,전라남도 목포시  양을로220번길 7-3
9,전라남도,목포시,하당보건지소,전라남도 목포시 석현로 48
0,전라남도,목포시,관해동마을회관,전라남도 목포시 용해동 476-1
1,전라남도,목포시,목포시건강가정지원센터,"전라남도 목포시 용해동 290 목포대학교 목포캠퍼스 구,음악관 2층"
2,전라남도,목포시,목포시교육청,전라남도 목포시 교육로 5 목포교육지원청
3,전라남도,목포시,목포아동원,전라남도 목포시 용당로305번길 52 목포아동원
4,전라남도,목포시,목포자연사박물관,전라남도 목포시 용해동 9-28
5,전라남도,목포시,어린이재단전남지역본부,전라남도 목포시 용당동 1088-9번지 목포카톨릭회관5층
6,전라남도,목포시,월드비전목포가정개발센터,전라남도 목포시 상락동2가 7
