,지역,시군구,기관,주소
0,전라남도,보성군,(사)드림온사회복지회,전라남도 보성군 벌교읍 월곡길 18-32 1층 단독주택 (사)드림온사회복지회
1,전라남도,보성군,드림스타트센터,전라남도 보성군 동산길 3 보성군보건소 보성군드림스타트센터
2,전라남도,보성군,민주평화통일자문회의보성군협의회,전라남도 보성군  송재로 165 보성군청 4층 민주평화통일자문회의보성군협의회
3,전라남도,보성군,보성경찰서,전라남도 보성군 중앙로 88 보성경찰서 (보성읍)
4,전라남도,보성군,보성군자원봉사센터,전라남도 보성군 송재로 165 보성군청 주민복지실
5,전라남도,보성군,보성군청 민원봉사과,전라남도 보성군 보성읍 송재로 165
6,전라남도,보성군,보성군청소년문화의집,전라남도 보성군 송재로 281-9 보성군청소년문화의집
7,전라남도,보성군,보성군청소년수련원 천문과학관,전라남도 보성군 보성읍 녹차로 771 보성군청소년수련원
8,전라남도,보성군,보성군치매안심센터,전라남도 보성군 보성읍 현충로 186 보성군치매안심센터
9,전라남도,보성군,보성문화원,전라남도 보성군 송재로 281-11 보성문화원
0,전라남도,보성군,(사)보성군지체장애인협회물수건작업장,전라남도 보성군 보성읍 현충로 186 2층 보성군지체장애인협회
1,전라남도,보성군,문화유산국민신탁 보성여관사업단,전라남도 보성군 벌교읍 태백산맥길 19 (구)보성여관
2,전라남도,보성군,보성군건강가정·다문화가족지원센터,전라남도 보성군 보성읍 송재로 186-5 보성군건강가정·다문화가족지원센터
3,전라남도,보성군,보성군립노인요양원밝은동산,전라남도 보성군 벌교읍 남하로 599-9 보성군립노인요양원밝은동산
4,전라남도,보성군,보성군생활체육회,전라남도 보성군 보성읍 338번지 보성군 생활체육회
5,전라남도,보성군,보성요양병원,전라남도 보성군 벌교읍 녹색로 4816-15 보성요양병원
6,전라남도,보성군,보성은빛복지센터,전라남도 보성군 벌교읍 분토길 32 보성은빛복지센터
7,전라남도,보성군,삼덕요양원,전라남도 보성군 노동면 노동용동길 48-40 268-3
8,전라남도,보성군,전라남도 보성군 벌교읍 금산길 107,전라남도 보성군 벌교읍 금산길 107 연산효자노인홈
9,전라남도,보성군,한국기독교전인치유회(복내전인치유센터),전라남도 보성군 복내면 일봉길 288-97 한국기독교전인치유회(복내전인치유센터)
0,전라남도,보성군,벌교지역아동센터,전라남도 보성군 채동선로 237-1 단독주택
1,전라남도,보성군,보성시니어클럽,전라남도 보성군 벌교읍 태백산맥길 83 보성시니어클럽
2,전라남도,보성군,엔젤요양원,전라남도 보성군 벌교읍 지동리 282-2 (중흥길 133번지)
3,전라남도,보성군,예당지역아동센터,전라남도 보성군 예당길 198
