,지역,시군구,기관,주소
0,전라북도,군산시,구암동주민센터,전라북도 군산시 세풍길 21 구암동주민센터
1,전라북도,군산시,군산소방서,전라북도 군산시 번영로 308 군산소방서
2,전라북도,군산시,군산시보건소,전라북도 군산시 수송동로 58 3층 건강관리과
3,전라북도,군산시,군산시보건소,전라북도 군산시 수송동로 58 군산시보건소
4,전라북도,군산시,군산시항만물류과,전라북도 군산시 시청로 17 군산시청 항만물류과
5,전라북도,군산시,나운1동주민센터,전라북도 군산시 신설3길 3 나운1동주민센터
6,전라북도,군산시,법무부 군산준법지원센터(전주보호관찰소군산지소),전라북도 군산시 번영로 292 법무부 군산준법지원센터
7,전라북도,군산시,성산면사무소,전라북도 군산시 송호로 222 성산면사무소
8,전라북도,군산시,수송동행정복지센터,전라북도 군산시 동수송1길 7
9,전라북도,군산시,옥구읍사무소,전라북도 군산시 옥구로 6 옥구읍사무소
0,전라북도,군산시,개정면사무소,전라북도 군산시 바르메길 42 개정면사무소
1,전라북도,군산시,군산시 평생학습관,전라북도 군산시  황룡로 47
2,전라북도,군산시,군산시청 관광진흥과(군산역사문화탐방 지도사),전라북도 군산시  시청로 17 군산시청 관광진흥과(군산역사문화탐방 지도사)
3,전라북도,군산시,군산시청 여성가족과,전라북도 군산시 시청로 17 군산시청 가족청소년과
4,전라북도,군산시,미성동주민센터,전라북도 군산시 미성문화길 4-5 미성동주민센터
5,전라북도,군산시,수송동주민센터,전라북도 군산시 동수송1길 7 수송동주민센터
6,전라북도,군산시,옥도면사무소,전라북도 군산시 내항2길 125 옥도면사무소
7,전라북도,군산시,옥서면사무소,전라북도 군산시 옥서면 옥구저수지로 209 옥서면사무소
8,전라북도,군산시,중앙동주민센터,전라북도 군산시 신영3길 11 중앙동주민센터
9,전라북도,군산시,회현면사무소,전라북도 군산시 회현면 회현로 181 회현면사무소
0,전라북도,군산시,군산시 삼학동주민센터,전라북도 군산시  미원로 17
1,전라북도,군산시,군산시 안전총괄과,전라북도 군산시  시청로 17 군산시청 안전총괄과
2,전라북도,군산시,군산해양경찰서,전라북도 군산시  군산창길 21 군산해양경비안전서 해양오염방제과
3,전라북도,군산시,나운2동주민센터,전라북도 군산시 나운3길 16
4,전라북도,군산시,나운3동주민센터,전라북도 군산시  부곡1길 25 군산시 나운3동 주민센터
