,지역,시군구,기관,주소
0,전라북도,전주시,전라북도 소방본부,전라북도 전주시 완산구 효자로 225 전북도청
1,전라북도,전주시,전라북도립국악원,전라북도 전주시 덕진구 권삼득로 400 전라북도립국악원
2,전라북도,전주시,전주세무서,전라북도 전주시 완산구  서곡로 95 전주세무서 민원실
3,전라북도,전주시,전주시 교육청소년과,전라북도 전주시 완산구 노송광장로 10
4,전라북도,전주시,전주시립건지도서관,전라북도 전주시 덕진구 호성로 25
5,전라북도,전주시,전주시청 전통문화유산과,전라북도 전주시 완산구 기린대로 213 6층 전통문화유산과
6,전라북도,전주시,전주시평생학습관,전라북도 전주시 덕진구 구총목로 11 전주시평생학습관
7,전라북도,전주시,전주완산소방서,전라북도 전주시 완산구 거마평로 73
8,전라북도,전주시,팔복동주민센터,전라북도 전주시 덕진구 신복5길 6
9,전라북도,전주시,혁신동주민센터,전라북도 전주시 덕진구 오공로 43-24 혁신동주민센터
0,전라북도,전주시,덕진구청 행정지원과,전라북도 전주시 덕진구  벚꽃로 55 덕진구청 행정지원과
1,전라북도,전주시,송천 효드림복지센터,전라북도 전주시 덕진구  시천로 70
2,전라북도,전주시,자전거정책과,전라북도 전주시 완산구  노송광장로 10
3,전라북도,전주시,전라북도보조기기센터,전라북도 전주시 완산구 천잠로 303
4,전라북도,전주시,전주덕진경찰서,전라북도 전주시 덕진구 온고을로 299 전주덕진경찰서
5,전라북도,전주시,전주시 덕진예술회관,전라북도 전주시 덕진구 권삼득로 407
6,전라북도,전주시,전주시보건소 보건행정과,전라북도 전주시 완산구  전라감영로 33 전주시보건소
7,전라북도,전주시,전주시차량등록과,전라북도 전주시 덕진구 완주로 6
8,전라북도,전주시,전주시청 여성청소년과,전라북도 전주시 완산구  노송광장로 10
9,전라북도,전주시,전주시청 전통문화과,전라북도 전주시 완산구  노송광장로 10 전주시청 전통문화과
0,전라북도,전주시,노송동 주민센터,전라북도 전주시 완산구 인봉1길 54
1,전라북도,전주시,서신동주민센터,전라북도 전주시 완산구 서신천변14길 10
2,전라북도,전주시,인후1동주민센터,전라북도 전주시 덕진구 견훤로 290
3,전라북도,전주시,전라북도 환경보전과,전라북도 전주시 완산구  효자로 225 전라북도청 환경보전과
4,전라북도,전주시,전주소년원,전라북도 전주시 덕진구 과학로 45-25
5,전라북도,전주시,전주시 덕진도서관,전라북도 전주시 덕진구 솔내로 212 송천도서관
6,전라북도,전주시,전주시립쪽구름도서관,전라북도 전주시 덕진구 여암2길 9
7,전라북도,전주시,진북동주민센터,전라북도 전주시 덕진구 벚꽃1길 8
8,전라북도,전주시,한옥마을지원과,전라북도 전주시 완산구 전동성당길 110 한옥마을지원과 현장시청
9,전라북도,전주시,효자5동주민센터,전라북도 전주시 완산구 우전로 259 주민센터
