,지역,시군구,기관,주소
0,제주특별자치도,서귀포시,동홍동주민센터,제주특별자치도 서귀포시 동홍로 104
1,제주특별자치도,서귀포시,서귀포보건소,제주특별자치도 서귀포시 중앙로101번길 52
2,제주특별자치도,서귀포시,서귀포시대정읍사무소,제주특별자치도 서귀포시 하모중앙로 20 대정읍사무소
3,제주특별자치도,서귀포시,서귀포시자원봉사센터,제주특별자치도 서귀포시 월드컵로 33 경기장내 2층
4,제주특별자치도,서귀포시,서귀포종합문예회관,제주특별자치도 서귀포시  태평로 272 270
5,제주특별자치도,서귀포시,서귀포해양경찰서,제주특별자치도 서귀포시  서호남로 11 서귀포해양경찰서
6,제주특별자치도,서귀포시,송산동 주민센터,제주특별자치도 서귀포시  소암로 4 송산동주민센터
7,제주특별자치도,서귀포시,제주추사관,제주특별자치도 서귀포시 대정읍 추사로 44 제주추사관
8,제주특별자치도,서귀포시,중앙동주민센터,제주특별자치도 서귀포시 동문동로 27
9,제주특별자치도,서귀포시,표선면사무소,제주특별자치도 서귀포시 표선면 표선중앙로 74 표선면사무소
0,제주특별자치도,서귀포시,남원읍사무소,제주특별자치도 서귀포시 남원읍 태위로 695
1,제주특별자치도,서귀포시,대륜동주민센터,제주특별자치도 서귀포시 신중로 55
2,제주특별자치도,서귀포시,서귀포시평생학습센터,제주특별자치도 서귀포시 서문로29번길 10
3,제주특별자치도,서귀포시,서홍동주민자치센터(동사무소),제주특별자치도 서귀포시 중앙로 125 서홍동주민센터
4,제주특별자치도,서귀포시,성산읍사무소,제주특별자치도 서귀포시 성산읍 일주동로  4330 0
5,제주특별자치도,서귀포시,영천동주민자치센터(동사무소),제주특별자치도 서귀포시 토평로 15
6,제주특별자치도,서귀포시,정방동사무소,제주특별자치도 서귀포시 태평로421번길 7
7,제주특별자치도,서귀포시,중문동주민자치센터(동사무소),제주특별자치도 서귀포시 1100로 30
8,제주특별자치도,서귀포시,천지동주민센터,제주 서귀포시 천지동 중정로 47번길 3
