,지역,시군구,기관,주소
0,충청북도,영동군,레인보우영동도서관,충청북도 영동군 영동읍 계산로2길 25 레인보우영동도서관
1,충청북도,영동군,매곡면,충청북도 영동군 민주지산로 3595
2,충청북도,영동군,상촌면,충청북도 영동군 민주지산로 3017
3,충청북도,영동군,심천면사무소,충청북도 영동군 심천로 104 심천면사무소
4,충청북도,영동군,영동군보건소,충청북도 영동군 반곡동길 7
5,충청북도,영동군,영동군자원봉사센터,충청북도 영동군 성안길 9-17
6,충청북도,영동군,영동읍사무소,충청북도 영동군 영동황간로 15
7,충청북도,영동군,용화면,충청북도 영동군 민주지산로 111
8,충청북도,영동군,유원대학교,충청북도 영동군 영동읍 대학로 310 유원대학교 학생교무처
9,충청북도,영동군,황간면,충청북도 영동군 남성2길 11
0,충청북도,영동군,대한노인회영동군지회,충청북도 영동군 영동읍 반곡동길 13 대한노인회영동군지회
1,충청북도,영동군,양산면,충청북도 영동군 학산양산로 317
2,충청북도,영동군,영동경찰서,충청북도 영동군 영동읍 계산리 473-1
3,충청북도,영동군,영동교육청특수교육지원센터,충청북도 영동군 영동읍 부용리 42-5
4,충청북도,영동군,영동군,충청북도 영동군 영동읍 계산리 210-1
5,충청북도,영동군,영동군드림스타트센터,충청북도 영동군 영동읍 부용리 388-1
6,충청북도,영동군,영동군보건소,충청북도 영동군 영동읍 매천리 444-1
7,충청북도,영동군,영동도서관,충청북도 영동군 학산영동로 1220
8,충청북도,영동군,이수초등학교,충청북도 영동군 영동읍 영산로4길 9
9,충청북도,영동군,청소년상담복지센터,충청북도 영동군 성안길 8 청소년수련관 2층
0,충청북도,영동군,(사)기운차림봉사단영동지부,충청북도 영동군 양산심천로 144 2층
1,충청북도,영동군,(사)영동옥천범죄피해자지원센터,충청북도 영동군 영동황간로 77 청주지방검찰청 영동지청내
2,충청북도,영동군,대한불교조계종반야사,충청북도 영동군 백화산로 652
3,충청북도,영동군,대한적십자사봉사회영동지구협의회,충청북도 영동군 부용1길 5-9
4,충청북도,영동군,비단강숲정보화마을,충청북도 영동군 수두1길 20-27 비단강숲정보화마을
5,충청북도,영동군,사회복지법인감고을행복어린이집,충청북도 영동군 산익길 73 감고을행복어린이집
6,충청북도,영동군,어깨동무지역아동센터,충청북도 영동군 구교2길 2 어깨동무지역아동센터
7,충청북도,영동군,영동군여성단체협의회,충청북도 영동군 성안길 8 여성회관 3층
8,충청북도,영동군,영동향교,충청북도 영동군 영동읍 부용리 392번지
9,충청북도,영동군,황간청소년문화의집,충청북도 영동군 황간면 황간동로 87 황간청소년문화의집
0,충청북도,영동군,갈마루공부방지역아동센터,충청북도 영동군 임산길 44 갈마루공부방지역아동센터
1,충청북도,영동군,사)충북농아인협회영동군지부부설:영동수화통역센터,충청북도 영동군 반곡동길 8 영동군노인종합복지회관 영동군장애인연합회 2층
2,충청북도,영동군,사단법인노근리국제평화재단,충청북도 영동군 목화실길 7
3,충청북도,영동군,양강묵정지역아동센터,충청북도 영동군 묵정1길 8
4,충청북도,영동군,영동군립노인전문병원,충청북도 영동군 영동읍 설계리 54-3
5,충청북도,영동군,영동군새마을회,충청북도 영동군 계산로 58 영동군새마을회
6,충청북도,영동군,영동군재향군인회,충청북도 영동군 영동황간로 56
7,충청북도,영동군,월드비젼충북지부,충청북도 청주시 상당구 원봉로 52-1 월드비전 충북지부
8,충청북도,영동군,자유학교물꼬,충청북도 영동군 대해1길 12
9,충청북도,영동군,충청북도노인보호전문기관,충청북도 청주시 흥덕구 1순환로438번길 39-17 충청북도노인보호전문기관
0,충청북도,영동군,로뎀나무요양원,충청북도 영동군 영동읍 오정1길 12
1,충청북도,영동군,베데스다노인공동생활가정(베데스다양로원),충청북도 영동군 호탄길 38-42 경로당
2,충청북도,영동군,수가성재가노인지원센터,충청북도 영동군 오정1길 12
3,충청북도,영동군,아름다운재가노인복지센터,충청북도 영동군 영동읍 구교로 44-1
4,충청북도,영동군,영동군노인복지관,충청북도 영동군 반곡동길 13
5,충청북도,영동군,영동군다문화가족지원센터,충청북도 영동군 영동읍 성안길 8
6,충청북도,영동군,영동군장애인보호작업장,충청북도 영동군 영동읍 반곡동길 8
7,충청북도,영동군,영동군장애인복지관,충청북도 영동군 영동읍 매천리 460
8,충청북도,영동군,영동수가성요양원,충청북도 영동군 영동읍 오정1길 12 영동수가성요양원
9,충청북도,영동군,추풍령예향원,충청북도 영동군 추풍령면 신안로 448-1
0,충청북도,영동군,(사)한국수난안전협회영동지구대,충청북도 영동군 초강로1안길 8-12
1,충청북도,영동군,감고을요양병원,충청북도 영동군 영동읍 대학로 106 감고을요양병원
2,충청북도,영동군,늘편한노인전문요양원,충청북도 영동군 영동읍 오정길 311 늘편한노인전문요양원
3,충청북도,영동군,수가성종합노인복지센터,충청북도 영동군 오정1길 12 수가성종합노인복지센터
4,충청북도,영동군,시온성노인요양원,충청북도 영동군 상가1길 59
5,충청북도,영동군,엘림노인요양원,충청북도 영동군 죽촌산막길 311 엘림노인요양원
6,충청북도,영동군,영동군지역사회복지협의체,충청북도 영동군 영동읍 동정리 51-18
7,충청북도,영동군,영동제일요양원,충청북도 영동군 양정죽촌로 53-12 영동제일요양원
8,충청북도,영동군,행복한꿈터공부방 지역아동센터,충청북도 영동군 매곡면 노천2길 6 매곡교회
9,충청북도,영동군,호렙산노인요양원,충청북도 영동군 영동읍 산막골길 95-39 호렙산노인요양원
0,충청북도,영동군,난계기념사업회,충청북도 영동군 영동읍 계산리 675-14
1,충청북도,영동군,사랑의집,충청북도 영동군 영동읍 눈어치로 6-9 201호
2,충청북도,영동군,수가성노인요양원,충청북도 영동군 영동읍 오탄리 546-11
3,충청북도,영동군,수가성실버홈,충청북도 영동군 영동읍 설계리 773-4
4,충청북도,영동군,영동군사회복지협의회,충청북도 영동군 영동읍 설계리 740-1
5,충청북도,영동군,영동군생활체육회,충북 영동군 영동읍 매천리 110-1번지
6,충청북도,영동군,영동군장애인협의회,충청북도 영동군 영동읍 매천리 442-1
7,충청북도,영동군,영동요양원,충청북도 영동군 영동읍 오탄리 395
8,충청북도,영동군,지역아동센터연합회,충북 영동군 양강면 묵정리 377-9
9,충청북도,영동군,천사의둥지,충청북도 영동군 영동읍 계산리 302번지 7호
0,충청북도,영동군,천사의집,충청북도 영동군 양강면 괴목리 56번지
