지역,시군구,기관,주소
강원,강원도 양양군,일삼일팔무산지역아동센터,강원도 양양군 양양읍 남서길28-4
강원,강원도 양양군,양양군정신건강증진센터,강원도 양양군 양양읍 양양로9-5 양양군보건소 2층
강원,강원도 양양군,양양군장애인보호작업장,강원도 양양군 양양읍 포월새말길 23-60양양군장애인보호작업장
강원,강원도 양양군,양양군다문화가족지원센터,강원도 양양군 양양읍 안산1길36
강원,강원도 양양군,꾸매그린지역아동센터,강원도 양양군 서면 쌍솔배기길197-24
강원,강원도 양양군,무산지역아동센터,강원도 양양군 남서길28-4
강원,강원도 양양군,양양군장애인생활이동지원센터,강원도 양양군 강현면일출로 42
강원,강원도 양양군,성산사랑마을,강원 양양군 현남면 화상천로 608-11
강원,강원도 양양군,현산소규모요양원,강원 양양군 양양읍서문리 316-1
강원,강원도 양양군,양양군노인복지관,강원 양양군 양양읍연창리 203-2(일출로 540)
강원,강원도 양양군,정다운일터,강원 양양군 서면논화리182-1번지
강원,강원도 양양군,행복노인복지센터,강원 양양군 양양읍남문1리양양로90
강원,강원도 양양군,정다운마을,강원 양양군 서면 논화리183-1 정다운마을
강원,강원도 양양군,양양군사회복지협의회,강원도 양양군 양양읍 일출로 5401층(양양군문화복지회관)
