지역,시군구,기관,주소
강원,강원도 홍천군,MG요양원,강원 홍천군 화촌면 구룡령로 42.
강원,강원도 홍천군,행복나눔실버타운,강원 홍천군 홍천읍 영서로 1554-17.
강원,강원도 홍천군,미리내노인요양원,강원 홍천군 북방면 하화계길45번길 9.
강원,강원도 홍천군,남향원,강원 홍천군 화촌면 구룡령로 1663-33.
강원,강원도 홍천군,안나노인요양원,강원도 홍천군 홍천읍 희망로9길 7안나노인요양원
강원,강원도 홍천군,홍천군종합사회복지관,강원도 홍천군 홍천읍 너브내길 123홍천군종합사회복지관
강원,강원도 홍천군,홍천송정지역아동센터,강원 홍천군 화촌면 송정2길 6홍천송정지역아동센터
강원,강원도 홍천군,홍천군다문화가족지원센터,강원도 홍천군 홍천읍  홍천로 347
강원,강원도 홍천군,즐거운정원노인요양원,강원 홍천군 홍천읍 장전평1리 318
강원,강원도 홍천군,홍천군노인복지관,강원 홍천군 홍천읍 태학여내길 80-3태학리 270-38
강원,강원도 홍천군,홍천군정신건강복지센터,강원 홍천군 홍천읍신장대로 5번지 홍천군보건소 2층 정신건강증진센터
강원,강원도 홍천군,홍천군장애인복지관,강원 홍천군 홍천읍 태학리270-25
강원,강원도 홍천군,사회복지법인삼덕재단,강원 홍천군 서석면 생곡리 378
강원,강원도 홍천군,명동보육원,강원 홍천군 홍천읍 석화로 85-8번지
강원,강원도 홍천군,초록반디복지재단 초록반디마을,강원도 홍천군 황정골길10-22
강원,강원도 홍천군,홍천군사회복지협의회,강원 홍천군 홍천읍진3리 20-18
