지역,시군구,기관,주소
경기,경기도 고양시 일산서구,백송노인주간보호센터,경기도 고양시 일산서구 고양대로 654 (일산동)백송노인주간보호센터
경기,경기도 고양시 일산서구,고양시장애인주간보호센터 부설 단기보호시설,경기도 고양시 일산서구 고양대로672번길15-7
경기,경기도 고양시 일산서구,일산서구햇빛촌장애인자립생활센터,"경기도 고양시 일산서구 중앙로1455, 대우시티프라자 2층 (285호)"
경기,경기도 고양시 일산서구,고양시재활스포츠센터,경기도 고양시 일산서구 탄현로139
경기,경기도 고양시 일산서구,복이든요양원,경기도 고양시 일산서구 대화동 일산로690
경기,경기도 고양시 일산서구,고양시대화노인종합복지관,경기도 고양시 일산서구 대화동 일산로778
경기,경기도 고양시 일산서구,우영헌,경기도 고양시 일산서구 송포로447번길 111우영헌
경기,경기도 고양시 일산서구,(사)경기도시각장애인연합회 고양시지회,경기도 고양시 일산서구 일산2동  627-4
경기,경기도 고양시 일산서구,(사)한국장애인부모회 고양시지부,경기 고양시 일산서구 고양대로672번길 15-7 (일산동)고양시장애인지원센터 별관2층
경기,경기도 고양시 일산서구,쉴가지역아동센터,경기 고양시 일산서구 대화동  2046-7 번지 1층
경기,경기도 고양시 일산서구,사랑샘지역아동센터,경기 고양시 일산서구 가좌동  394-1
경기,경기도 고양시 일산서구,(사)고양시장애인연합회,경기 고양시 일산서구 일산1동  627-2 고양시장애인지원센터 2층
경기,경기도 고양시 일산서구,일산지역아동센터,경기 고양시 일산서구 일산동  641-69
경기,경기도 고양시 일산서구,홀트보호작업장,경기 고양시 일산서구 탄중로 259-1 (탄현동)홀트보호작업장
경기,경기도 고양시 일산서구,나누미실버케어,경기 고양시 일산서구 탄현동  1526-6번지 예일프라자 504호
경기,경기도 고양시 일산서구,한울타리지역아동센터,경기도 고양시 일산서구 덕이동  696-2. 1층
경기,경기도 고양시 일산서구,사회복지법인 우림복지재단,경기 고양시 일산서구 주엽2동14번지
경기,경기도 고양시 일산서구,소중한사람 노인복지시설,경기 고양시 일산서구 탄현동23-48 번지
경기,경기도 고양시 일산서구,고양여자중장기청소년쉼터,경기 고양시 일산서구 탄현동1498-7
경기,경기도 고양시 일산서구,홀트일산요양원,경기 고양시 일산서구 탄현동41-1
경기,경기도 고양시 일산서구,우리사랑재가장기요양파견기관,경기도 고양시 일산서구 킨텍스로 289 (대화동)복음빌딩 4층
경기,경기도 고양시 일산서구,고양시사회복지협의회,경기 고양시 덕양구 성사1동369-2 3층
경기,경기도 고양시 일산서구,사)한국신장장애인경기협회 고양지부,경기 고양시 일산서구 일산동627-4  2층
경기,경기도 고양시 일산서구,고양시장애인주간보호센터,경기 고양시 일산서구 일산2동627-4
경기,경기도 고양시 일산서구,지극정성,경기 고양시 일산동구 문봉동  26-13번지 지극정성요양원
경기,경기도 고양시 일산서구,아가페21지역아동센터,"경기도 고양시 일산서구 일중로55, 4층"
경기,경기도 고양시 일산서구,소애의료재단 일산한울요양병원,"경기 고양시 일산서구 고봉로 291 (일산동) 555-1 에이스스타디움 7,8층"
경기,경기도 고양시 일산서구,고양시문촌9종합사회복지관,경기 고양시 일산구 주엽2동23번지
