지역,시군구,기관,주소
경기,경기도 광주시,천수원요양원,경기 광주시 퇴촌면 가새골길 16-10천수원요양원
경기,경기도 광주시,요양원실버브릿지,경기 광주시 곤지암읍 경충대로 551요양원실버브릿지
경기,경기도 광주시,어울림지역아동센터,경기도 광주시 퇴촌면 천진암로 398한양빌딩 2층
경기,경기도 광주시,기쁘니 지역아동센터,경기 광주시 곤지암읍 평촌길 64기쁘니 지역아동센터
경기,경기도 광주시,요한나주간보호센터,경기도 광주시 초월읍 경충대로1284번길41-7
경기,경기도 광주시,백향목요양원,경기도 광주시 곤지암읍 경충대로363-36
경기,경기도 광주시,국공립초월어린이집,경기도 광주시 초월읍 무들로3-22
경기,경기도 광주시,국공립 송정어린이집,경기도 광주시 중앙로203번길5
경기,경기도 광주시,참나무그룹홈,경기도 광주시 이배재로367번길20-5
경기,경기도 광주시,(사)장애인복지연대 공감,"경기도 광주시 도척면 노곡로5번길12, b동 1층 1호(정진빌라)"
경기,경기도 광주시,광주시장애인단기보호시설,경기도 광주시 곤지암읍 광여로555-40
경기,경기도 광주시,위더스요양병원,경기도 광주시 초월읍 경충대로974-43
경기,경기도 광주시,로뎀요양원,경기도 광주시 목동 광남안로325
경기,경기도 광주시,비전재가장기요양기관,경기도 광주시 중앙로 95-1 (역동)4층
경기,경기도 광주시,예일지역아동센터,경기도 광주시 오포읍 양벌로195-8 (2동2층)
경기,경기도 광주시,한우리지역아동센터,경기도 광주시 곤지암읍 곤지암로87
경기,경기도 광주시,위더스요양원,경기도 광주시 경충대로1127번길10-6
경기,경기도 광주시,꿈동지역아동센터,경기도 광주시 역동  136-12
경기,경기도 광주시,성분도보호작업장,경기도 광주시 국사봉로159-10
경기,경기도 광주시,수산나 요양원,경기도 광주시 초월읍 도평리 181
경기,경기도 광주시,꽃보리광주푸른학교지역아동센터,경기 광주시 역동 134-9 3층
경기,경기도 광주시,삼리어린이집,경기도 광주시 곤지암읍 평촌길60번길 16삼리어린이집
경기,경기도 광주시,광주시남부무한돌봄행복나눔센터,경기도 광주시 오포읍 오포로859번길 29오포읍행정복지센터 2층 남부무한돌봄행복나눔센터
경기,경기도 광주시,광주시립어린이집,경기 광주시 탄벌동 18-1
