지역,시군구,기관,주소
경기,경기도 양평군,재단법인 열린문청소년재단,경기 양평군 양평읍 미리내길171번길 24재단법인 열린문청소년재단
경기,경기도 양평군,궁을행복요양원,경기 양평군 지평면 여양2로 1366-
경기,경기도 양평군,둥지원실버타운,경기 양평군 용문면 용문로621번길 23-24-
경기,경기도 양평군,사)빈야드포칠드런,경기도 양평군 양평읍 관문길18번길 16 (금광아파트)상가 지하
경기,경기도 양평군,양평아름다운세상,경기도 양평군 청운면 가현길 105양평아름다운세상
경기,경기도 양평군,창인직업재활시설,경기도 양평군 단월면 백동길 92창인직업재활시설
경기,경기도 양평군,창인요양원,경기도 양평군 단월면 백동길 92창인요양원
경기,경기도 양평군,늘푸른노인요양원,경기도 양평군 양평읍 대흥로 154늘푸른노인요양원
경기,경기도 양평군,창인홈,경기도 양평군 단월면 백동길 92창인홈
경기,경기도 양평군,창인재활원,경기도 양평군 단월면 백동길 92창인재활원
경기,경기도 양평군,풀씨꽃피우기 지역아동센터,경기도 양평군 양서면 양수로 110주민자치센터 2층
경기,경기도 양평군,빈야드스쿨,경기도 양평군 양평읍 흥청중앙길 12층
경기,경기도 양평군,은혜의집,경기도 양평군 양평읍 대흥로106-3
경기,경기도 양평군,양평군성인장애인주간보호센터,경기도 양평군 양평읍 중앙로111번길36-1
경기,경기도 양평군,산수유지역아동센터,경기도 양평군 강상면 강남로1294-1
경기,경기도 양평군,포도밭에친구들지역아동센터,"경기도 양평군 용문면 용문로371번길7, 3층"
경기,경기도 양평군,마리아의집,경기도 양평군 옥천면 신복길116번길 22신복리737-1
경기,경기도 양평군,한나의집,경기도 양평군 지평면 지평로846
경기,경기도 양평군,그린내요양누리,경기도 양평군 지평면 여양2로1366
경기,경기도 양평군,효심원,경기도 양평군 용문면 다문북길12
경기,경기도 양평군,나눔과채움복지센터,경기도 양평군 용문면 새터말길 6-9나눔과채움복지센터
경기,경기도 양평군,양평군장애인복지관,경기도 양평군 양평읍 중앙로111번길36-1
경기,경기도 양평군,포도밭에 아이들,경기도 양평군 양평읍 양근로 174-1새마을지회
경기,경기도 양평군,밝은집,경기도 양평군 단월면 잼박골길 81밝은집
경기,경기도 양평군,양평 평화의집,경기 양평군 양동면 양동금곡4길 108-22양평평화의집
경기,경기도 양평군,양평사랑주야간보호센터,경기도 양평군 양평읍 공흥리 755-5번지 SH 빌딩 2층
경기,경기도 양평군,로뎀의집,경기도 양평군 증골길24번길26
경기,경기도 양평군,무진노인전문요양원,경기도 양평군 백동길1-36
경기,경기도 양평군,옹달샘,경기도 양평군 양동면 삼산리 248
경기,경기도 양평군,양평군노인복지관,경기 양평군 양평읍 양근대교 4번길 5
경기,경기도 양평군,양평군치매안심센터,경기 양평군 양평읍공흥리 310-1
경기,경기도 양평군,성요셉의집,경기도 양평군 용문면 상망길 180성요셉의집
경기,경기도 양평군,양평군정신보건센터,경기 양평군 양평읍 중앙로111번길 34-213층 양평군정신건강복지센터
경기,경기도 양평군,양평군사회복지협의회,경기 양평군 양평읍창대리700-1번지 201호
경기,경기도 양평군,지게의집,경기 양평군 양평읍대흥리506-24번지
경기,경기도 양평군,천사의집,경기 양평군 양서면신원리182-1
경기,경기도 양평군,재단법인 영산 조용기 자선 재단,경기 양평군 서종면 꽃대울2길 781층
경기,경기도 양평군,풀씨배움터지역아동센터,경기 양평군 양서면 양수리583-5 마을회관 2층
경기,경기도 양평군,양평군종합사회복지관,경기도 양평군 용문면 용문역길67
경기,경기도 양평군,서울특별시립 양평쉼터,경기 양평군 용문면 화전리347-1 서울특별시립 양평쉼터
경기,경기도 양평군,사회복지법인 신망원,경기도 양평군 양서면 신원1길142번길60
경기,경기도 양평군,창인원(사회복지법인),경기 양평군 단월면 덕수1∼2리산9번지
