지역,시군구,기관,주소
경기,경기도 연천군,행복한우리집,경기도 연천군 청산면 전영로168번길 44행복한 우리집
경기,경기도 연천군,수레울장애인보호작업장,경기도 연천군 전곡읍 은전로78번길 77수레울장애인보호작업장
경기,경기도 연천군,누리장애인공동생활가정,경기도 연천군 군남면 진상4길 13-1102호
경기,경기도 연천군,하늘새빛요양원,경기도 연천군 전곡읍 현문로312번길24
경기,경기도 연천군,연천지역아동센터,경기도 연천군 연천읍차현로 96 2층 연천지역아동센터
경기,경기도 연천군,동트는마을,경기도 연천군 백궁길419-179 (궁평리1번지)
경기,경기도 연천군,연천군다문화가족지원센터,경기 연천군 전곡읍 전영로 11연천군종합복지관 5층
경기,경기도 연천군,연천군노인복지관,경기 연천군 연천읍 문화로108번길 11연천군노인복지관
경기,경기도 연천군,중증장애인생활시설 가람,경기 연천군 연천읍현가리321번지
경기,경기도 연천군,연천군실버인력뱅크,경기 연천군 연천읍옥산리 874번지 연천군노인복지관 내
경기,경기도 연천군,하늘새빛복지재단,경기 연천군 전곡읍 신답리199-4
경기,경기도 연천군,사회복지법인원불교창필재단 은혜마을,경기 연천군 전곡읍 은대3리 99-4
