지역,시군구,기관,주소
경남,경상남도 밀양시,밀양시장애인복지관,경남 밀양시 가곡14길 22 (가곡동).
경남,경상남도 밀양시,밀양시립노인요양원,경상남도 밀양시 산외면 금곡1길 40
경남,경상남도 밀양시,밀양노인통합지원센터,경남 밀양시 초동면 성만1길 50-841
경남,경상남도 밀양시,밀양시성가족상담소,경상남도 밀양시 중앙로 268 (삼문동)여성회관 1층
경남,경상남도 밀양시,사)밀양장애인자립생활센터,경남 밀양시 중앙로 241 (삼문동)2층
경남,경상남도 밀양시,해울보호작업장,경상남도 밀양시 무안면 운정길76-99
경남,경상남도 밀양시,사회복지법인 더굿세이브,경상남도 밀양시 가곡15안길6.
경남,경상남도 밀양시,꾸러기지역아동센터,경상남도 밀양시 미리벌로51-8
경남,경상남도 밀양시,경남밀양지역자활센터,경상남도 밀양시 가곡6길 25 (가곡동)2층 사무실
경남,경상남도 밀양시,(주)롱라이프그린케어밀양노인복지센터,경상남도 밀양시 삼문동 미리벌중앙로6길11(삼문동)
경남,경상남도 밀양시,수산실버재가복지센터,경상남도 밀양시 상남면 세천2길27-3
경남,경상남도 밀양시,기쁨요양원,경상남도 밀양시 산내면 산내로646
경남,경상남도 밀양시,지역아동센터 하늘사랑교실,경상남도 밀양시 가곡동 꽃가람길13-1
경남,경상남도 밀양시,하남지역아동센터,경상남도 밀양시 하남읍 동명길 15
경남,경상남도 밀양시,오순절평화의마을 사랑의집,경상남도 밀양시 삼랑진로 453오순절평화의마을
경남,경상남도 밀양시,초동지역아동센터,경상남도 밀양시 덕산1길33
경남,경상남도 밀양시,이레(장애인보호작업장),경남 밀양시 하남읍 수산로 211-1
경남,경상남도 밀양시,사회복지법인 신망원,경남 밀양시 상남면예림리 563번지
경남,경상남도 밀양시,우리지역아동센터,경남 밀양시 삼문동 393-21
경남,경상남도 밀양시,삼랑진지역아동센터,경남 밀양시 삼랑진읍송지리 378-9
경남,경상남도 밀양시,한빛원,경상남도 밀양시 삼랑진읍만어로 129
경남,경상남도 밀양시,세화노인요양원,경남 밀양시 부북면전사포리 329-1
경남,경상남도 밀양시,밀양늘푸른지역아동센터,경남 밀양시 가곡동 556-24
경남,경상남도 밀양시,꿈샘지역아동센터,경남 밀양시 삼랑진읍송지리 160-3
경남,경상남도 밀양시,소망요양원,경남 밀양시 무안면정곡리 513-1
경남,경상남도 밀양시,밀양시다문화가족지원센터,경상남도 밀양시 밀양대로 2089희망나눔봉사센터 1층 밀양시다문화가족지원센터
경남,경상남도 밀양시,크레파스,경상남도 밀양시 무안면 운정길76-99
경남,경상남도 밀양시,덕인노인전문요양원,경남 밀양시 하남읍 남전3길 34-64덕인노인전문요양원
경남,경상남도 밀양시,오순절평화의마을 희망의집,경남 밀양시 삼랑진읍 삼랑진로 453오순절평화의마을
경남,경상남도 밀양시,성우애육원,경상남도 밀양시 가곡11길 16 (가곡동)성우애육원
경남,경상남도 밀양시,밀양시종합사회복지관,경남 밀양시 중앙로 218 (삼문동)밀양시종합사회복지관
