지역,시군구,기관,주소
경남,경상남도 하동군,알프스하동종합복지관,경남 하동군 하동읍 중앙로 89.
경남,경상남도 하동군,(의)애민의료재단 새하동요양원,경남 하동군 하동읍 오룡정길 31.
경남,경상남도 하동군,의료법인 명의의료재단,경상남도 하동군 북천면 옥단로515
경남,경상남도 하동군,해맑은요양원,경상남도 하동군 하동읍 화심길51-13
경남,경상남도 하동군,꿈샘지역아동센터,경상남도 하동군 진교면 평당길2
경남,경상남도 하동군,하동군중증장애인자립생활(IL)지원센터,경상남도 하동군 하동읍 섬진강대로2214 내 3층
경남,경상남도 하동군,사)느티나무경상남도장애인부모회 하동군지부,경상남도 하동군 하동읍 섬진강대로2214  별관3층
경남,경상남도 하동군,지역아동센터자연공부방,경상남도 하동군 옥종면 두양길123
경남,경상남도 하동군,하동사랑지역아동센터,경상남도 하동군 하동읍 경서대로 120-1
경남,경상남도 하동군,하동우리들병원,경상남도 하동군 금남면 섬진강대로957 하동우리들병원
경남,경상남도 하동군,하동군발달장애인주간보호센터,경상남도 하동군 하동읍 섬진강대로 2214종합사회복지관 별관2층 발달장애인주간보호센터
경남,경상남도 하동군,다온노인재가복지센터,경남 하동군 옥종면청룡리 215-16
경남,경상남도 하동군,하동성가족상담소,경상남도 하동군 섬진강대로2222  하동문화예술회관 1층
경남,경상남도 하동군,노량실버타운,경남 하동군 금남면노량리 110-4
경남,경상남도 하동군,하동은빛노인복지센터,경상남도 하동군 군청로31 하동은빛노인복지센터
경남,경상남도 하동군,한사랑노인요양원,경남 하동군 고전면 하동읍성로 615한사랑요양원
경남,경상남도 하동군,섬진강사랑의집,경남 하동군 하동읍 두곡리739-4
경남,경상남도 하동군,하동노인통합지원센터,경남 하동군 하동읍 중앙2길 10-63층.
경남,경상남도 하동군,하동요양원,경상남도 하동군 옥종면옥단로 587
