지역,시군구,기관,주소
광주,광주광역시 광산구,햇빛마을재활주간보호센터,광주 광산구 비아안길 89 (비아동)햇빛마을재활주간보호센터
광주,광주광역시 광산구,해솔빛어린이집,광주 광산구 무진대로 276 (우산동)해솔빛어린이집
광주,광주광역시 광산구,하남지역아동센터,"광주 광산구 월곡산정로 12 (우산동, 하남주공아파트 1차/2차 아파트)3층"
광주,광주광역시 광산구,한울장애인주간보호센터,광주 광산구 앰코로 35 (쌍암동)3층 315호
광주,광주광역시 광산구,광산구비젼지역아동센터,광주 광산구 신가삼효로 22-12 (신가동)비젼지역아동센터
광주,광주광역시 광산구,광산누리지역아동센터,광주 광산구 소촌로46번길 3-2 (소촌동)광산누리지역아동센터
광주,광주광역시 광산구,둥지공동생활가정,"광주 광산구 도산로 26 (도산동, 우미아파트)102동 406호"
광주,광주광역시 광산구,세움지역아동센터,광주 광산구 하남대로54번안길 23 (하남동)1층 (하남동)
광주,광주광역시 광산구,한별지역아동센터,광주 광산구 사암로27번길 55 (신촌동)3층
광주,광주광역시 광산구,의료법인 효은의료재단,광주 광산구 목련로 330-19 (신가동)의료법인 효은의료재단
광주,광주광역시 광산구,한가족노인주간보호센터,광주 광산구 소촌로 144 (소촌동)한가족노인주간보호센터
광주,광주광역시 광산구,수완실버빌,광주 광산구 상완길 233-14 (수완동)수완실버빌
광주,광주광역시 광산구,온누리장애인공동생활가정,"광주 광산구 송도로320번길 16-15 (송정동, 송정명지2차아파트)202동 303호"
광주,광주광역시 광산구,바오로빌,광주 광산구 노안삼도로 1311-2 (삼거동)바오로빌
광주,광주광역시 광산구,광주광산지역자활센터,광주 광산구 용아로 391 (하남동)3층
광주,광주광역시 광산구,후암원,광주 광산구 대산로 257 (내산동)후암원
광주,광주광역시 광산구,(사)광주광역시장애인종합지원센터,광주 광산구 소촌로152번길 53-27 (소촌동)(사)광주광역시장애인종합지원센터
광주,광주광역시 광산구,예향데이케어센터,광주 광산구 장신로 253 (신창동)2층
광주,광주광역시 광산구,세종한국어외국인센타,광주 광산구 평동산단로 184 (월전동)2층
광주,광주광역시 광산구,행복드림노인복지센터,광주광역시 광산구 송정공원로 34 (소촌동)행복드림노인복지센터
광주,광주광역시 광산구,초석장애인공동생활가정,광주광역시 광산구 송도로226번길 29 (송정동)
광주,광주광역시 광산구,광산구청소년성문화센터,광주광역시 광산구 첨단중앙로182번길 39 (쌍암동)광산구청소년수련관 3층
광주,광주광역시 광산구,참조은장애인주간보호센터,광주광역시 광산구 수등로 211 (신가동)1층
광주,광주광역시 광산구,아름다운노인복지센터,광주광역시 광산구 첨단중앙로106번길 65-10 (월계동)
광주,광주광역시 광산구,선한공동생활가정,"광주광역시 광산구 송도로182번길 16-3 (도산동, 도산동 2차 대주파크빌)201동 209호"
광주,광주광역시 광산구,늘기쁨요양원,광주광역시 광산구 무진대로232번길 13-12 (우산동)2~4층
광주,광주광역시 광산구,하남2지구지역아동센터,"광주광역시 광산구 하남대로 30 (하남동, 부영사랑으로)309-401"
광주,광주광역시 광산구,사랑나눔실버타운,"광주광역시 광산구 목련로382번안길 34 (신가동)1,2층"
광주,광주광역시 광산구,담터장애인주간보호센터,광주광역시 광산구 월계로 203 (월계동)3층308호
광주,광주광역시 광산구,한가족노인주간보호센터,광주광역시 광산구 소촌로 144 (소촌동)남강빌딩 4층
