지역,시군구,기관,주소
대구,대구광역시 서구,희망지역아동센터,대구 서구 국채보상로36길 26 (중리동)희망지역아동센터
대구,대구광역시 서구,둥지지역아동센터,대구 서구 평리로55길 36 (평리동)둥지지역아동센터
대구,대구광역시 서구,샬롬기억학교,대구 서구 가르뱅이로16길 25 (상리동)샬롬기억학교
대구,대구광역시 서구,보림기억학교,대구 서구 국채보상로 124 (중리동)지하1층
대구,대구광역시 서구,내당노인복지관,대구 서구 서대구로3길 44 (내당동)내당노인복지관
대구,대구광역시 서구,미소주간보호센터,대구 서구 북비산로 235 (평리동)2층
대구,대구광역시 서구,비원노인복지관,대구 서구 서대구로 268 (비산동)비원노인복지관
대구,대구광역시 서구,은동이장애인주간보호센터,대구광역시 서구 국채보상로56길 7 (평리동)은동이장애인주간보호센터
대구,대구광역시 서구,영재지역아동센터,대구광역시 서구 국채보상로 418-1 (비산동)5층
대구,대구광역시 서구,베스트지역아동센터,대구광역시 서구 고성로15길 11-1 (원대동3가)1
대구,대구광역시 서구,서구노인복지관,대구광역시 서구 문화로 288 (평리동)
대구,대구광역시 서구,보은노인복지센터,대구광역시 서구 국채보상로81안길 8 (비산동)보은노인복지센터
대구,대구광역시 서구,내고향노인요양원,대구광역시 서구 통학로 175-6 (평리동)
대구,대구광역시 서구,샬롬노인종합센터,대구광역시 서구 상리동 가르뱅이로16길26
대구,대구광역시 서구,정다운노인복지센터,대구광역시 서구 원대동3가 고성로21길6
대구,대구광역시 서구,샬롬노인복지센터,대구광역시 서구 상리동 가르뱅이로16길25-1
대구,대구광역시 서구,대구북부노인보호전문기관,대구광역시 서구 원대동3가 달서로284
대구,대구광역시 서구,경운행복한홈스쿨지역아동센터,대구광역시 서구 내당동 서대구로11길38 2층
대구,대구광역시 서구,대구광역시서구정신건강복지센터,대구광역시 서구 비산동 북비산로71길7
대구,대구광역시 서구,한신노인요양원,대구광역시 서구 내당동 평리로306
대구,대구광역시 서구,대구서구시니어클럽,"대구광역시 서구 평리동 국채보상로163 서대구신협빌딩 2,3층"
대구,대구광역시 서구,해나라지역아동센터,대구광역시 서구 비산동 달서로12길63
대구,대구광역시 서구,온누리지역아동센터,대구광역시 서구 평리3동1070-40번지
대구,대구광역시 서구,대광지역아동센터,대구광역시 서구 평리동 통학로17길18-1
대구,대구광역시 서구,혜민노인요양원,대구광역시 서구 원대동3가 원대로13길38-14
대구,대구광역시 서구,성덕노인복지센터,대구광역시 서구 내당동 달구벌대로371길39
대구,대구광역시 서구,노아의집,대구광역시 서구 평리동 국채보상로42길 35노아의 집
대구,대구광역시 서구,사랑의연탄나눔운동,대구광역시 서구 달서로26길 412층
대구,대구광역시 서구,꿈이있는집 지역아동센터,대구광역시 서구 비산7동  1815-2번지
대구,대구광역시 서구,간호박사요양센터1,대구광역시 서구 내당1동  10-1번지
대구,대구광역시 서구,꿈쟁이지역아동센터,대구광역시 서구 평리3동  675-12번지
대구,대구광역시 서구,대평지역아동센터,대구광역시 서구 평리3동  707-10번지
대구,대구광역시 서구,대서지역아동센터,대구광역시 서구 평리2동  1109-1번지 2층
대구,대구광역시 서구,보은노인전문요양원,대구 서구 국채보상로81안길 8 (비산동)(비산동)
대구,대구광역시 서구,사랑마을요양원,"대구광역시 서구 국채보상로50길10(평리4동,3층)"
대구,대구광역시 서구,서대구주간보호센터,대구광역시 서구 평리동 통학로175-6  3층  서대구주간보호센터
대구,대구광역시 서구,청솔노인복지센터,대구 서구 원대동3가  1120-1번지
대구,대구광역시 서구,서대구실버하우스,대구 서구 이현동 45-287번지
대구,대구광역시 서구,대구정신장애인종합재활센터미래엔미소클럽,대구 서구 원대동3가  1120-1번지 제일종합사회복지관 4층
대구,대구광역시 서구,서구다문화가족지원센터,대구 서구 서대구로 330 (비산동)5층
대구,대구광역시 서구,참사랑실버요양원,대구 서구 상리동 214-1번지
대구,대구광역시 서구,서구장애인보호작업장,대구광역시 서구 평리동 국채보상로46길57 2층 6호
대구,대구광역시 서구,대구쪽방상담소,대구광역시 서구 평리동 문화로47길13-3
대구,대구광역시 서구,(사)전국자원봉사연맹,대구 서구 비산6동 378-9번지
대구,대구광역시 서구,사회복지법인 신애보육원,대구 서구 평리6동 421-1번지
대구,대구광역시 서구,대구시니어요양센터,"대구 서구 평리4동1365-6번지 6, 7층"
대구,대구광역시 서구,대구의료원,대구 서구 평리로 157 (중리동)고객지원팀
대구,대구광역시 서구,소망모자원,대구광역시 서구 새방로25길 46 (상리동)소망모자원
대구,대구광역시 서구,서부노인전문병원,대구 서구 중리동1164-8번지
대구,대구광역시 서구,곽호순병원,대구 서구 내당1동12-21번지
대구,대구광역시 서구,영락양로원,대구 서구 상리동 214-1
대구,대구광역시 서구,서구종합사회복지관,대구 서구 내당1동67-9
대구,대구광역시 서구,서구제일종합사회복지관,대구광역시 서구 옥산로6길9
