지역,시군구,기관,주소
대전,대전광역시 동구,해드림노인복지센터,대전 동구 동구청로 95 (가오동)8층 해드림노인복지센터
대전,대전광역시 동구,한국요양원,대전 동구 동서대로1668번길 11 (성남동)(성남동 496-8)
대전,대전광역시 동구,다송노인주간보호센터,대전 동구 태전로 151 (삼성동)삼성동
대전,대전광역시 동구,사회적협동조합 민생네트워크 새벽,대전 동구 백룡로38번길 21 (자양동)새벽
대전,대전광역시 동구,파랑새휴먼지역아동센터,대전 동구 한밭대로1237번길 45-14 (용전동)2층
대전,대전광역시 동구,장애아전담 성심어린이집,대전 동구 산내로386번길 8-30 (하소동)성심어린이집
대전,대전광역시 동구,참사랑단기보호,대전 동구 산내로1287번길 50-13 (낭월동)참사랑단기보호
대전,대전광역시 동구,한울노인요양원,대전 동구 대전로 696 (인동)2층
대전,대전광역시 동구,판암요양원,대전 동구 옥천로106번길 115 (판암동)(판암동 407-1)
대전,대전광역시 동구,금성노인복지센터,"대전광역시 동구 우암로 139-3 (삼성동)3층, 4층"
대전,대전광역시 동구,가은요양원,대전광역시 동구 동중앙로 108-3 (자양동)
대전,대전광역시 동구,동구아름다운복지관,대전광역시 동구 안골로 49 (구도동)
대전,대전광역시 동구,이엘요양원,대전광역시 동구 한밭대로 1233 (용전동)
대전,대전광역시 동구,희망철도재단,대전광역시 동구 중앙로 240 (소제동)2층 (개나리실)
대전,대전광역시 동구,대전주간보호센터,대전광역시 동구 소랑길 10 (삼성동)
대전,대전광역시 동구,가양어린이집,대전광역시 동구 동대전로256번길 53 (가양동)가양어린이집
대전,대전광역시 동구,예명주야간보호센터,대전광역시 동구 동부로73번길 6 (판암동) 5층
대전,대전광역시 동구,한울장애인주간보호센터,대전광역시 동구 가양로72
대전,대전광역시 동구,한가족노인요양원,대전광역시 동구 신흥동 계족로75 한가족크리닉 4층
대전,대전광역시 동구,아름다운가게 대전충청본부,대전광역시 동구 판암동 동부로56-7 판암주공4단지 상가지하
대전,대전광역시 동구,두손장애인주간보호센터,대전광역시 동구 낭월동 산내로1315번길5-6
대전,대전광역시 동구,대전시립손소리복지관,대전광역시 동구 원동85-5
대전,대전광역시 동구,대전청소년위캔(Wee Can)센터,대전광역시 동구 원동85-5
대전,대전광역시 동구,대전그린요양병원,"대전광역시 동구 판암동339-4 동진프라자 4,5층"
대전,대전광역시 동구,나날요양원,대전광역시 동구 중동61-5
대전,대전광역시 동구,대전동부요양병원,"대전광역시 동구 용운동동부로 150, 대전동부요양병원"
대전,대전광역시 동구,민주네쉼터,대전광역시 동구 용운동 새울로91번길14-14
대전,대전광역시 동구,초록빛지역아동센터,대전광역시 동구 낭월동 산내로1352-16
대전,대전광역시 동구,해달별장애인공동생활가정,대전광역시 동구 용전동 한숲아파트101-101
대전,대전광역시 동구,동대전장애인성폭력상담소,대전광역시 동구 옥천로176번길15-4 동진프라자 3층 22호
대전,대전광역시 동구,가원 요양원,대전광역시 동구 우암로351
대전,대전광역시 동구,바오밥사회서비스센터,대전광역시 서구 탄방동1429
대전,대전광역시 동구,한우리쉼터 용운동집,대전광역시 동구 용운동 용방마을아파트308동403호
대전,대전광역시 동구,해바라기 단기보호,대전광역시 동구 산내로474번길17-50
대전,대전광역시 동구,희망진료센터,대전광역시 동구 정동  2-9
대전,대전광역시 동구,거북이보호작업장,대전 동구 보문로 4 (효동)2층 201호
대전,대전광역시 동구,꿈땅지역아동센터,대전 동구 동서대로 1650 (성남동)1650번지
대전,대전광역시 동구,사회복귀시설 뷰티플마인드,대전광역시 동구 가양2동  22-10
대전,대전광역시 동구,호마노의 집,대전광역시 동구 삼성동 현암로61번길59
대전,대전광역시 동구,시온마을장애인주간보호센터,대전광역시 동구 이사로18번길24
대전,대전광역시 동구,경산재가노인지원센터,대전 서구 동서대로 1016 (내동)3층~4층
대전,대전광역시 동구,기쁜우리장애인주간보호센터,대전 동구 홍도로 5-14 (홍도동)13-29(홍도로 5-14)
대전,대전광역시 동구,밝은요양원,대전 동구 대전로 354-7 (대성동)밝은요양원
대전,대전광역시 동구,대전지역아동센터,대전광역시 동구 소랑길10(삼성동) 대전지역아동센터
대전,대전광역시 동구,동구다문화가족지원센터,대전 동구 동대전로 171 (자양동)우송도서관 706호
대전,대전광역시 동구,밀알복지관,대전 동구 우암로 48 (삼성동)48
대전,대전광역시 동구,산내효요양병원,대전광역시 동구 산내로1287번길 71-14 (낭월동)낭월동 496
대전,대전광역시 동구,해드림실버요양원,대전 동구 가오동 644-1
대전,대전광역시 동구,가양요양병원,대전 동구 가양동 391-8
대전,대전광역시 동구,보문장애인자립생활센터,대전 동구 판암동 339-4  동진프라자 332호
