지역,시군구,기관,주소
부산,부산광역시 사상구,사상구재가노인지원서비스센터,부산 사상구 백양대로 527 (주례동)사상구재가노인지원서비스센터
부산,부산광역시 사상구,사단법인 청소년어울림아카데미,부산 사상구 주례로 47 (주례동)민석스포츠센타 319호
부산,부산광역시 사상구,부산광역시정신재활시설,부산 사상구 학감대로39번길 104-36 (학장동)학장동
부산,부산광역시 사상구,지원직업재활원,부산 사상구 사상로 84-8 (감전동)1층
부산,부산광역시 사상구,사상구노인복지관 분관,부산 사상구 모라로 93 (모라동)사상구노인복지관 분관
부산,부산광역시 사상구,감로수요양병원,부산 사상구 덕상로 116-38 (모라동)감로수요양병원
부산,부산광역시 사상구,인창사상재가노인지원서비스센터,부산 사상구 학감대로39번길 129 (학장동)인창사상재가노인지원서비스센터
부산,부산광역시 사상구,백양지역아동센터,"부산 사상구 모라로192번길 20-33 (모라동, 주공아파트3단지)백양지역아동센터"
부산,부산광역시 사상구,사상구장애인근로작업장,부산광역시 사상구 모라로192번길 2 (모라동)사상구장애인근로작업장
부산,부산광역시 사상구,서부산노인요양원,부산광역시 사상구 운산로 112 (괘법동)괘법동 226-8
부산,부산광역시 사상구,부산점자도서관,부산광역시 사상구 덕상로72번길9
부산,부산광역시 사상구,정향효마을,부산광역시 사상구 엄궁북로4번가길39
부산,부산광역시 사상구,사상중앙병원,부산광역시 사상구 삼덕로8번길5번길 85
부산,부산광역시 사상구,문화지역아동센터,부산광역시 사상구 가야대로366번길125
부산,부산광역시 사상구,한마음직업재활원,부산광역시 사상구 광장로103번길 34 (괘법동)1층 한마음직업재활원
부산,부산광역시 사상구,사랑지역아동센터,부산광역시 사상구 백양대로943-18
부산,부산광역시 사상구,민들레어린이집,"부산광역시 사상구 모라동 모라로192번길20-21(모라동, 주공아파트 3단지)"
부산,부산광역시 사상구,단기보호시설들꽃,부산광역시 사상구 덕포동 사상로342번길 40-6(덕포동)
부산,부산광역시 사상구,의)은성의료재단좋은주례요양병원,부산광역시 사상구 주례동 가야대로264
부산,부산광역시 사상구,의료법인 강혜의료재단,부산광역시 동래구 금강공원로 40 (온천동)온천사랑의요양병원
부산,부산광역시 사상구,사상구정신건강증진센터,부산광역시 사상구 학장동 가야대로196번길 51(학장동)다누림센터 3층
부산,부산광역시 사상구,디딤돌지역아동센터,부산광역시 사상구 사상로310번나길 57덕포동
부산,부산광역시 사상구,사상구중독관리통합지원센터,부산광역시 사상구 모라로110번길85(모라동 주공1단지 나상가 2층)
부산,부산광역시 사상구,에바다드림홈,부산광역시 사상구 동주로16번길43 (주례3동 638-2번지)
부산,부산광역시 사상구,사상구장애인자립생활센터,부산광역시 사상구 사상로 524 (모라동)901호
부산,부산광역시 사상구,의료법인 희경의료재단 한국요양병원,부산광역시 사상구 괘법동  532-32
부산,부산광역시 사상구,사회복지법인 참향복지재단,부산 사상구 백양대로979번길 49 (모라동)참향복지재단
부산,부산광역시 사상구,노송의료재단 시티요양병원,부산광역시 사상구 모라동  449번지
부산,부산광역시 사상구,사)부산광역시사상구장애인협회,부산 사상구 모라로192번길 2 (모라동)사상구장애인근로작업장 3층
부산,부산광역시 사상구,사상구노인복지관,부산 사상구 학장동 가야대로 196번길 51 다누림센터 내 5층
부산,부산광역시 사상구,사단법인 삼산거주외국인지원협회,부산광역시 사상구 사상로170번길 28-9(괘법동)
부산,부산광역시 사상구,사)한국장애인자립협회,부산 사상구 삼락동 99-3
부산,부산광역시 사상구,부산광역시 여성문화회관,부산 사상구 학장동 95
부산,부산광역시 사상구,의)은성의료재단좋은부산요양병원,부산광역시 사상구 학감대로39번길 67(학장동)
부산,부산광역시 사상구,부산시립정신병원,부산 사상구 학장동 산62-2
부산,부산광역시 사상구,사상지역자활센터,부산 사상구 모라로110번길 47 (모라동)422-3 대양빌딩 4층
부산,부산광역시 사상구,샘물지역아동센터,부산 사상구 엄궁동 엄궁북로4번길 32-10
부산,부산광역시 사상구,참조은실버요양원,부산광역시 사상구 감전동 백양대로572번길17-8
부산,부산광역시 사상구,들꽃장애인주간보호센터,부산광역시 사상구 모라로192번길20-21 나상가 101호
부산,부산광역시 사상구,의)영재의료재단 큰솔병원,부산 사상구 학장동574-28
부산,부산광역시 사상구,체리동산주간보호센터,부산광역시 사상구 가야대로366번길 107 (주례동)
부산,부산광역시 사상구,모덕지역아동센터,부산 사상구 모라동421 학산그린타운3-203
부산,부산광역시 사상구,부산보훈병원,부산광역시 사상구 백양대로 420 (주례동)동관 1층 사회사업실
부산,부산광역시 사상구,(사)푸른마을,부산광역시 사상구 가야대로 260 (주례동)대일빌딩 4층 푸른마을
부산,부산광역시 사상구,윤금노인요양원,부산 사상구 주례동 690-34
부산,부산광역시 사상구,사상구장애인복지관,부산 사상구 모라3동 75-9
부산,부산광역시 사상구,모라종합사회복지관,부산광역시 사상구 모라3동모라종합사회복지관
부산,부산광역시 사상구,(의)대남병원,부산 사상구 학장동113-1
부산,부산광역시 사상구,백양종합사회복지관,부산 사상구 모라3동 주공3단지백양종합사회복지관
부산,부산광역시 사상구,사상구종합사회복지관,부산 사상구 주례1동 1006-5번지 사상구종합사회복지관
부산,부산광역시 사상구,학장사회복지관,부산광역시 사상구 학감대로49번길 28-70
부산,부산광역시 사상구,부산시노인건강센터,부산 사상구 학장동113-6
