지역,시군구,기관,주소
부산,부산광역시 서구,서구장애인복지관 주간보호센터,부산 서구 보수대로154번길 36 (동대신동1가)서구장애인복지관 주간보호센터
부산,부산광역시 서구,동아대학교 대신요양병원,부산 서구 대신공원로 32 (동대신동3가)동아대학교 대신요양병원
부산,부산광역시 서구,서구장애인복지관,부산 서구 보수대로154번길 36 (동대신동1가)서구장애인복지관
부산,부산광역시 서구,(사)여성인권지원센터살림,부산광역시 서구 구덕로 147 (초장동)3층 살림
부산,부산광역시 서구,의료법인선하의료재단 선하요양병원,부산광역시 서구 구덕로200번길 8 (부민동1가)선하요양병원
부산,부산광역시 서구,부산해바라기센터,부산광역시 서구 구덕로179 부산대학병원 융합의학연구동 3층 부산해바라기센터
부산,부산광역시 서구,서구노인복지관,부산광역시 서구 장군산로46번길21
부산,부산광역시 서구,부민노인복지관,부산광역시 서구 부용로30 4층
부산,부산광역시 서구,천마도예의숲,부산광역시 서구 암남동 천해로7번길55-10
부산,부산광역시 서구,부산광역시 광역치매센터,부산광역시 서구 동대신동3가 대신공원로26 동아대학교병원 센터동 10층
부산,부산광역시 서구,알로이시오의열매회,부산광역시 서구 암남동 감천로 229
부산,부산광역시 서구,부산서구정신건강복지센터,"부산 서구 부용로 30 (부용동2가)202호(서구보건소, 부산서구정신건강복지센터)"
부산,부산광역시 서구,웨슬리마을 신나는디딤터,부산광역시 서구 구덕로185번길47
부산,부산광역시 서구,마리아모성원,부산광역시 서구 천해남로7번지(암남동)
부산,부산광역시 서구,소년의집,부산광역시 서구 감천로237 (암남동)
부산,부산광역시 서구,실버웰요양센터,부산광역시 서구 서대신동3가  686-4
부산,부산광역시 서구,송도가정,부산광역시 서구 천해남로 7 (암남동)송도가정
부산,부산광역시 서구,부민지역아동센터,부산광역시 서구 부민동2가  9-5번지 푸른초장5층
부산,부산광역시 서구,서구한빛장애인자립센터,부산광역시 서구 서대신동2가 구덕로 299서구한빛장애인자립센터
부산,부산광역시 서구,인창서구그린빌노인요양원,부산 서구 동대신동3가 170번지
부산,부산광역시 서구,고신대학교복음병원,부산 서구 암남동 34
부산,부산광역시 서구,서구노인주간보호센터,부산 서구 동대신동1가 11-33번지
부산,부산광역시 서구,해바라기지역아동센터,부산 서구 동대신동1가 11-33
부산,부산광역시 서구,서구장애인주간보호센터,부산 서구 동대신동1가 11-33번지
부산,부산광역시 서구,드림씨티다문화공동체,부산 서구 임시수도기념로 19 (부민동2가)부민빌딩 301호
부산,부산광역시 서구,푸르미&나누미 푸드마켓,부산 서구 서대신동2가 94-1번지
부산,부산광역시 서구,사회복지법인 내원,부산 서구 서대신동3가 산3-2
부산,부산광역시 서구,복)부산라이트하우스,부산 서구 충무대로 73 (암남동)부산라이트하우스
부산,부산광역시 서구,부산밥상공동체 연탄은행,부산 서구 구덕로157번길 27 (초장동)부산연탄은행
부산,부산광역시 서구,대신지역아동센터,부산광역시 서구 구덕로346번길17
부산,부산광역시 서구,부산서구시니어클럽,부산 서구 서대신동3가252-3
부산,부산광역시 서구,(사)부산광역시서구장애인협회,부산 서구 보수대로154번길 24 (동대신동1가) 1층
부산,부산광역시 서구,안나노인건강센터,부산광역시 서구 꽃마을로163번길94-16
부산,부산광역시 서구,송도노인복지센터,"부산광역시 서구 암남공원로522 (암남동, 송도요양병원 1층)"
부산,부산광역시 서구,아미정신건강센터,부산광역시 서구 아미로12번길25
부산,부산광역시 서구,천마재활원,부산광역시 서구 천해로7번길55-10
부산,부산광역시 서구,부산대학교병원,부산광역시 서구 구덕로179
부산,부산광역시 서구,동아대학교의료원,부산 서구 동대신동3가 동아대학교부속병원
부산,부산광역시 서구,부산기독교종합사회복지관,부산광역시 서구 토성동2가  4번지 부산기독교종합사회복지관
부산,부산광역시 서구,다비다모자원,부산 서구 서대신동3가 147번지
부산,부산광역시 서구,부산서구종합사회복지관,부산 서구 동대신동1가 11-33
부산,부산광역시 서구,그리스도요양원,부산 서구 아미동2가89-155
부산,부산광역시 서구,은애모자원,부산 서구 암남동산 169-1 19/4
부산,부산광역시 서구,마리아꿈터,부산광역시 서구 암남동  천해남로 7
