지역,시군구,기관,주소
서울,서울특별시 동대문구,동대문지역아동센터,서울 동대문구 사가정로4길 80 (답십리동)2층
서울,서울특별시 동대문구,장안데이케어센터,서울 동대문구 장한로 51 (장안동)성안빌딩 2층
서울,서울특별시 동대문구,(사)서울시지체장애인협회 동대문구지회,서울 동대문구 청계천로 521 (용두동)4층
서울,서울특별시 동대문구,성복행복한 홈스쿨,서울특별시 동대문구 장안벚꽃로 139 (장안동)
서울,서울특별시 동대문구,도담,서울 동대문구 사가정로 258 (장안동)4층
서울,서울특별시 동대문구,사단법인 소중한집,서울특별시 동대문구 장한로 74 (장안동)2층
서울,서울특별시 동대문구,에이스협동조합,서울특별시 동대문구 고산자로 420 (용두동)6층
서울,서울특별시 동대문구,사회적협동조합되돌림,서울특별시 동대문구 왕산로 225 (청량리동)미주상가A동 제5층 제11호
서울,서울특별시 동대문구,사단법인 우리사랑복지원,서울특별시 동대문구 망우로21가길 15 (휘경동)15
서울,서울특별시 동대문구,(사)꿈드래장애인일자리센터,서울특별시 동대문구 장한로28가길 7 (장안동)1층 (맨우측건물)
서울,서울특별시 동대문구,소풍데이케어센터,서울특별시 동대문구 한천로137
서울,서울특별시 동대문구,동대문장애인종합복지관,서울특별시 동대문구 청계천로521
서울,서울특별시 동대문구,HE지역아동센터,서울특별시 동대문구 사가정로4길80
서울,서울특별시 동대문구,동대문실버데이케어센터,서울특별시 동대문구 약령시로5길22
서울,서울특별시 동대문구,아름다운 안암 지역아동센터,"서울특별시 동대문구 약령시로12, 2층"
서울,서울특별시 동대문구,은천재가노인지원센터,서울특별시 동대문구 장안동 장한로27가길53
서울,서울특별시 동대문구,한마음지역아동센터,"서울특별시 동대문구 청량리동 왕산로45길31, 2층"
서울,서울특별시 동대문구,동대문구수어통역센터,서울특별시 동대문구 청계천로 521 (용두동)5층 동대문구수어통역센터
서울,서울특별시 동대문구,동대문아이존,서울특별시 동대문구 장안동 답십리로63길73 형제빌딩 2층
서울,서울특별시 동대문구,다일작은천국,서울특별시 동대문구 전농동 서울시립대로57
