지역,시군구,기관,주소
서울,서울특별시 서초구,사랑의가족,서울 서초구 사임당로20길 16 (서초동)201호
서울,서울특별시 서초구,서초구립성심노인복지센터 주야간보호센터,서울 서초구 반포대로22길 61 (서초동)-
서울,서울특별시 서초구,충현의 집 3호,"서울 서초구 동산로12길 20 (양재동, 동은빌라)301호"
서울,서울특별시 서초구,구립우면동지역아동센터,서울 서초구 바우뫼로4길 6 (우면동)2층
서울,서울특별시 서초구,구립방배동지역아동센터,서울 서초구 서초대로 59 (방배동)2층
서울,서울특별시 서초구,바우뫼주간보호센터,서울 서초구 바우뫼로 43 (우면동)-
서울,서울특별시 서초구,팝업스쿨,서울 서초구 서초대로77길 54 (서초동)12층
서울,서울특별시 서초구,성민드림주간보호센터,서울 서초구 효령로26길 9-9 (방배동).
서울,서울특별시 서초구,사단법인 방파월드네트워크,서울 서초구 신반포로 195 (잠원동)5동 4층 2호
서울,서울특별시 서초구,(주)코리아드라이브,서울특별시 서초구 사평대로 362 (서초동)4층
서울,서울특별시 서초구,성심 사회복지법인,서울특별시 서초구 동광로14길 35-7 (방배동)
서울,서울특별시 서초구,(사) 서울특별시척수장애인협회,서울특별시 서초구 언남16길 46 (양재동)
서울,서울특별시 서초구,사단법인 서울의료봉사재단,서울특별시 서초구 태봉로 70 (우면동)303호
서울,서울특별시 서초구,우면지역 아동센터,서울특별시 서초구 태봉로 68 (우면동)401호
서울,서울특별시 서초구,하나복지지역아동센터,서울특별시 서초구 방배천로18길 20 (방배동)4층
서울,서울특별시 서초구,하늘동산,서울특별시 서초구 강남대로65길 19 (서초동)사랑의복지관 5층
서울,서울특별시 서초구,서초지역자활센터,서울특별시 서초구 청계산로9길1-3
서울,서울특별시 서초구,사단법인 시니어희망공동체,"서울특별시 서초구 강남대로309, 11층 17호"
서울,서울특별시 서초구,알코올 의존자 사회복귀시설 까리따스,서울특별시 서초구 남부순환로2124(1층)
서울,서울특별시 서초구,(복) 노인낙원은파케어센터,"서울특별시 서초구 방배로20길17, 1,2층"
서울,서울특별시 서초구,(의) 참예원의료재단 서초참요양병원,서울특별시 서초구 우면동791
서울,서울특별시 서초구,본마을 데이케어센터,서울특별시 서초구 본마을2길2
서울,서울특별시 서초구,서초노인주간보호센터,서울특별시 서초구 강남대로30길73-7
서울,서울특별시 서초구,다니엘직업재활원,서울특별시 서초구 내곡동1-1328
서울,서울특별시 서초구,큰사랑공부방 지역아동센터,"서울특별시 서초구 방배로13길29, 2층"
서울,서울특별시 서초구,(사)정해복지,서울 서초구 강남대로97길 32 (잠원동)4층 (한영빌딩)
서울,서울특별시 서초구,서초 아이존,"서울특별시 서초구 방배로173, 방배열린문화센터 지하1층 서초아이존"
서울,서울특별시 서초구,노인주간보호센터 은빛마을,서울특별시 서초구 잠원동 신반포로33길22(잠원동 반포종합사회복지관 2층)
서울,서울특별시 서초구,사단법인 전국범죄피해자지원연합회,서울특별시 서초구 서초동 반포대로157 대검찰청 107호
서울,서울특별시 서초구,사단법인 굿뉴스월드,서울 서초구 양재천로21길 9 (양재동)2층
서울,서울특별시 서초구,주식회사 미래창조교육연구원,서울특별시 서초구 서초동 강남대로341 삼원빌딩 8층
서울,서울특별시 서초구,사단법인 행복을만드는사람들,서울특별시 서초구 양재동 마방로10길18-15 극동빌딩 지하
서울,서울특별시 서초구,삼성물산 (주) 건설부문,경기도 성남시 분당구 백현동145 알파리움2단지 삼성물산주식회사 인사팀 신문화그룹
서울,서울특별시 서초구,까리따스데이케어센터,"서울특별시 서초구 방배동 남부순환로2124, 4층"
서울,서울특별시 서초구,사랑단기보호센터,"서울 동작구 남부순환로255길 8 (사당동, 장미빌라)2층"
서울,서울특별시 서초구,방배노인데이케어센터,서울특별시 서초구 방배천로34길 48 (방배동)2층 방배노인데이케어센터
서울,서울특별시 서초구,장생시니어타운,서울특별시 서초구 반포동 강남대로89길 10-
서울,서울특별시 서초구,사단법인 팀앤팀,서울특별시 서초구 방배동 동광로19길 19그랜드빌딩 4층
서울,서울특별시 서초구,사랑손보호작업장,서울특별시 서초구 서초대로24길 46
서울,서울특별시 서초구,비씨카드 (주),서울특별시 서초구 효령로 275비씨카드
서울,서울특별시 서초구,(사) 선한의료포럼,"서울특별시 서초구 서초2동  1342-15, 313호"
서울,서울특별시 서초구,사랑의일터,서울특별시 서초구 서초4동  1688-3
서울,서울특별시 서초구,서초구어르신행복e음센터,서울 서초구 방배중앙로 159-6 (방배동)서초어르신행복e음센터
서울,서울특별시 서초구,서초구 수화통역센터,서울특별시 서초구 서운로23길17(서초명달경로당내 1층)
서울,서울특별시 서초구,사회복지법인남서울복지재단,"서울특별시 서초구 반포동  2-8, 309호"
서울,서울특별시 서초구,(복지) 사랑의전화복지재단,서울 마포구 만리재로 51 (신공덕동)사랑의전화복지재단
서울,서울특별시 서초구,(주)대교,서울특별시 관악구 보라매로3길23 대교타워 19층 사회공헌실
서울,서울특별시 서초구,방배데이케어센터,서울 서초구 방배동 437-8
서울,서울특별시 서초구,사단법인 땡스기브,서울특별시 서초구 청두곶8길 13-5 (방배동)2층
서울,서울특별시 서초구,사회복지법인 새빛복지재단,서울특별시 서초구 방배중앙로 97-1 (방배동)1층
서울,서울특별시 서초구,(주) 한국야쿠르트,서울특별시 서초구 잠원동 강남대로577 한국야쿠르트빌딩
서울,서울특별시 서초구,사단법인 그린티처스,서울특별시 서초구 방배1동909-7 3층
서울,서울특별시 서초구,까리따스방배종합사회복지관,서울 서초구 남부순환로 2124 (방배동)3274-3
서울,서울특별시 서초구,구립서초노인요양센터,서울 서초구 서초동 380-4
서울,서울특별시 서초구,서초열린세상,서울 서초구 잠원동 60-5번지 410호
서울,서울특별시 서초구,사회복지법인 함께걷는아이들,서울특별시 서초구 서초동  1327 서초타운트라팰리스 801호
서울,서울특별시 서초구,서초지역아동센터,서울 서초구 방배천로8길 35-3 (방배동)2층
서울,서울특별시 서초구,사단법인 학교폭력피해자가족협의회,서울 강북구 오패산로 135 (미아동)2층
서울,서울특별시 서초구,사단법인 한국환경교육협회,서울 서초구 양재동2-34 한빛빌딩 지층
서울,서울특별시 서초구,서초구립 한우리정보문화센터,서울 서초구 남부순환로340길 15 (서초동)서초구립한우리정보문화센터
서울,서울특별시 서초구,서초구치매지원센터,서울특별시 서초구 염곡말길 9 (염곡동)4층
서울,서울특별시 서초구,방배노인종합복지관,서울 서초구 방배천로 48 (방배동)455-11
서울,서울특별시 서초구,서초구립중앙노인종합복지관,서울 서초구 서초1동 1666-17 서초구립 중앙노인종합복지관
서울,서울특별시 서초구,(사)한국청소년육성회서초지,서울특별시 서초구 서초동 반포대로179 서초경찰서 405호
서울,서울특별시 서초구,성모노인복지센터,서울 서초구 방배2동969-5
서울,서울특별시 서초구,삼성물산 (주) 상사부문,서울특별시 서초구 서초2동  1321-20
서울,서울특별시 서초구,(학)가톨릭대학교 서울성모병원,서울 서초구 반포동505 서울성모병원 자원봉사센터
서울,서울특별시 서초구,사단법인 한국해외봉사단원연합회,서울 서초구 바우뫼로41길 72-2 (양재동)302호 KOVA사무국
서울,서울특별시 서초구,사단법인 국제청소년연합,서울 서초구 양재동183 국제청소년연합
