지역,시군구,기관,주소
서울,서울특별시 은평구,은평구수어통역센터,서울 은평구 증산서길 82 (증산동)-
서울,서울특별시 은평구,물빛데이케어센터,서울 은평구 수색로 256 (수색동)2층
서울,서울특별시 은평구,서울시립은혜로운집,서울 은평구 갈현로15길 27-1 (구산동)-
서울,서울특별시 은평구,응암데이케어,서울 은평구 백련산로 133 (응암동)6층
서울,서울특별시 은평구,천애원 희망의 집,서울특별시 은평구 녹번로 7-7 (녹번동)101호
서울,서울특별시 은평구,꿈꾸는다락방,서울특별시 은평구 진흥로1길 17 (역촌동)
서울,서울특별시 은평구,에이유디 사회적협동조합,서울특별시 은평구 통일로 684 (녹번동)1동 505호
서울,서울특별시 은평구,다솜실버데이케어센터,서울특별시 은평구 서오릉로15길 5-11 (구산동)11
서울,서울특별시 은평구,은평실버랜드요양원,서울특별시 은평구 연서로21길27-20
서울,서울특별시 은평구,해맑은뜰,"서울특별시 은평구 갈현로47길32-14, 1층 101호"
서울,서울특별시 은평구,꿈친장애인주간보호센터,"서울특별시 은평구 통일로934, 1층"
서울,서울특별시 은평구,비단산 지역아동센터,"서울특별시 은평구 은평터널로164, 현대상가 203호"
서울,서울특별시 은평구,서울특별시 꿈나무마을 파란꿈터,서울특별시 은평구 백련산로14길20-11
서울,서울특별시 은평구,서울특별시 꿈나무마을 연두꿈터,서울특별시 은평구 백련산로14길20-11
서울,서울특별시 은평구,맑은지역아동센터,"서울특별시 은평구 진흥로9길8-17, 2층"
서울,서울특별시 은평구,서부재활체육센터,서울특별시 은평구 구산동 갈현로11길30
서울,서울특별시 은평구,샘지역아동센터,서울특별시 은평구 구산동 연서로11길7-2
서울,서울특별시 은평구,푸른꿈나무지역아동센터,"서울특별시 은평구 불광동 불광로121, 3층"
서울,서울특별시 은평구,사회복지법인인덕원,서울특별시 은평구 진관동 연서로48길41
서울,서울특별시 은평구,영라이프그룹홈,"서울특별시 은평구 불광동 연서로37가길23-1, 201호"
