지역,시군구,기관,주소
울산,울산광역시 북구,참사랑주간보호센터,울산 북구 신답로 48 (상안동)313호
울산,울산광역시 북구,온유와감사의집,"울산 북구 약수9길 20 (중산동, 약수제일아파트)나동 1105호"
울산,울산광역시 북구,울산현대요양원,울산 북구 두부곡1길 20 (연암동)울산현대요양원
울산,울산광역시 북구,클로버장애인단기보호시설,"울산 북구 명촌13길 7 (명촌동, 현대하이빌)101호"
울산,울산광역시 북구,(재)아름다운가게 울산북구점,울산 북구 호계로 213 (호계동)1층
울산,울산광역시 북구,나눔과기쁨 울산푸드뱅크,울산광역시 북구 송내11길 12 (화봉동)
울산,울산광역시 북구,울산북구시니어클럽,"울산광역시 북구 마동로10, 2층"
울산,울산광역시 북구,사회복지법인 매곡어린이집,울산광역시 북구 괴정2길6-1
울산,울산광역시 북구,울산북구청소년문화의집,울산광역시 북구 화봉로80 울산북구청소년문화의집 1층 사무실
울산,울산광역시 북구,성폭력피해자보호시설 징검다리,울산광역시 북구 호계동284-8
울산,울산광역시 북구,이삭지역아동센터,울산광역시 북구 신천동 찬샘1길17
울산,울산광역시 북구,한울타리노인복지센터,울산광역시 북구 연암동  374-5 보성빌딩 5층
울산,울산광역시 북구,울산북구건강가정다문화가족지원센터,울산 북구 동대5길 31 (호계동)북구건강가정 다문화가족지원센터
울산,울산광역시 북구,울산북구장애인주간보호센터,울산광역시 북구 동대8길 40 (호계동)2층 울산북구장애인주간보호센터
울산,울산광역시 북구,울산시티병원,울산광역시 북구 산업로 (연암동)1007
울산,울산광역시 북구,북구정신건강증진센터,울산 북구 연암동 북구보건소 2층
울산,울산광역시 북구,하늘아이지역아동센터,울산광역시 북구 동대중앙로 48 (호계동)2층 하늘아이지역아동센터
울산,울산광역시 북구,사단법인 행복발전소,울산 북구 화봉동 449-7 3층
울산,울산광역시 북구,겨자씨(공동생활가정),울산광역시 북구 덕곡길 12-1 (천곡동)2층
울산,울산광역시 북구,사회복지법인 어울림보호작업장,울산 북구 호계동 258-11번지 4층
울산,울산광역시 북구,북구어르신행복마을,울산 북구 호계동262-11번지
울산,울산광역시 북구,울산YMCA,울산 북구 진장동진장명촌지구 92B  4L
울산,울산광역시 북구,인애복지재단,울산 북구 천곡동 947-2번지
울산,울산광역시 북구,메아리복지원,울산 북구 중산동갓안1길9
울산,울산광역시 북구,사회복지법인엘림사회복지재단,울산 북구 상안동426-1
울산,울산광역시 북구,울산명성노인전문요양원,울산 북구 천곡동 741-1번지(13/3)
울산,울산광역시 북구,북구재가어르신복지센터,"울산 북구 동대중앙로 66 (호계동)3층, 301호(북구재가노인지원서비스센터)"
울산,울산광역시 북구,꿈나무어린이집,울산 북구 천곡동 948-3번지
울산,울산광역시 북구,울산북구지역자활센터,울산 북구 호계동262-2번지 보훈회관 3층
울산,울산광역시 북구,울산북구장애인보호작업장,울산 북구 농공단지3길 1 (달천동)(달천동 267)
울산,울산광역시 북구,울산북구노인복지관,울산 북구 동대8길 40 (호계동) 262-2번지 북구노인복지관
울산,울산광역시 북구,울산북구종합사회복지관,울산 북구 동대8길 40 (호계동)2층 북구종합사회복지관
울산,울산광역시 북구,태연재활원,울산 북구 대안4길 60 (대안동)태연재활원
울산,울산광역시 북구,울산장애인복지센터,울산 북구 동대11길 49 (호계동)동대11길 49
