지역,시군구,기관,주소
인천,인천광역시 남동구,하늘고운주간보호센터,인천 남동구 경인로 744 (간석동)1층
인천,인천광역시 남동구,제일요양원,인천 남동구 호구포로 893 (간석동)6층
인천,인천광역시 남동구,(주)피우스 무궁채요양원,인천 남동구 담방로60번길 23 (만수동)1~4층
인천,인천광역시 남동구,아이러브요양원,"인천 남동구 청능대로 559 (논현동)8,9층"
인천,인천광역시 남동구,(A+)동행노인복지센터,인천 남동구 남동대로 901 (간석동)2층
인천,인천광역시 남동구,새소망요양원,인천 남동구 구월로131번길 41 (간석동)-
인천,인천광역시 남동구,남동노인요양센터,"인천 남동구 소래로 640 (만수동)호성빌딩 지1층, 2~5층"
인천,인천광역시 남동구,그린케어요양원,인천 남동구 예술로 206 (구월동)B동 701호
인천,인천광역시 남동구,청소년상상마당,인천 남동구 선수촌공원로17번길 12 (구월동)405호
인천,인천광역시 남동구,가족공감요양원,인천 남동구 구월로 335 (만수동)2층
인천,인천광역시 남동구,인향요양원,인천 남동구 인주대로 670 (구월동)2층
인천,인천광역시 남동구,참좋은요양원,인천 남동구 서판로 52 (만수동)지하1층~3층
인천,인천광역시 남동구,평화요양원,인천 남동구 호구포로 915 (간석동)2층
인천,인천광역시 남동구,참된요양원,인천 남동구 논현고잔로135번길 9 (고잔동)세일빌딩 301호
인천,인천광역시 남동구,새날노인전문요양원,인천 남동구 석산로 248 (구월동)4층
인천,인천광역시 남동구,아가페요양원,인천 남동구 남동대로916번길 75 (간석동)간석프라자 501호
인천,인천광역시 남동구,서창지역아동센터,인천 남동구 매소홀로 1108 (서창동)202호
인천,인천광역시 남동구,사랑의마을요양원,인천 남동구 도림북로19번길 37 (도림동)지층~2층
인천,인천광역시 남동구,샬롬요양원,인천 남동구 구월로 303 (만수동)3층
인천,인천광역시 남동구,샛별주간보호센터,인천 남동구 남촌동로3번길 14 (남촌동)3층
인천,인천광역시 남동구,봄날요양원,인천 남동구 논현로 40 (논현동)6층
인천,인천광역시 남동구,인천수어통역센터,인천 남동구 용천로 208 (간석동)610호
인천,인천광역시 남동구,가인요양원,인천 남동구 청능대로 593 (논현동)9층
인천,인천광역시 남동구,사랑나무희망나눔협회,인천 남동구 문화로115번길 21 (구월동).
인천,인천광역시 남동구,사랑요양원,인천 남동구 호구포로765번길 9 (구월동)1층
인천,인천광역시 남동구,만수글라라의집요양원,인천광역시 남동구 장승로 49-1 (만수동)3층
인천,인천광역시 남동구,서창노인효요양원,인천광역시 남동구 매소홀로 1090 (서창동)201호
인천,인천광역시 남동구,청소년사랑연대유스프렌즈,인천광역시 남동구 호구포로 219 (논현동)1001호
인천,인천광역시 남동구,동그라미발달장애인주간보호센터,인천광역시 남동구 인주대로 819 (구월동)201호
인천,인천광역시 남동구,길상화노인복지센터,인천광역시 남동구 구수골로 48 (수산동)301호
인천,인천광역시 남동구,사단법인 인천광역시자립자활지원협회,인천광역시 남동구 백범로 173 (만수동)4층
인천,인천광역시 남동구,사단법인 인천광역시 자립자활지원협회 남동구지회,인천광역시 남동구 은봉로 159 (논현동)9층
인천,인천광역시 남동구,예랑요양원,인천광역시 남동구 구월말로4번길 9-23 (구월동).
인천,인천광역시 남동구,해피트리요양원,인천광역시 남동구 구월남로 174 (구월동)5층
인천,인천광역시 남동구,생명수요양원,인천광역시 남동구 서판로 52 (만수동)1층
인천,인천광역시 남동구,서창2요양원,인천광역시 남동구 매소홀로 1090 (서창동)구룡이화빌딩 3층
인천,인천광역시 남동구,해봄비,인천광역시 남동구 소래로 500 (수산동)남동체육관 1층
인천,인천광역시 남동구,만수효요양원,"인천광역시 남동구 장승로18, 3층"
인천,인천광역시 남동구,서창요양원,"인천광역시 남동구 매소홀로1090, 3층"
인천,인천광역시 남동구,정진의료재단 영화요양원,"인천광역시 남동구 소래역로42, 5층 영화요양원"
인천,인천광역시 남동구,사랑의쉼터요양원,인천광역시 남동구 호구포로897
인천,인천광역시 남동구,사단법인 인천광역시지적장애인복지협회 장애인성폭력상담소,인천광역시 남동구 용천로 208 (간석동)707호
인천,인천광역시 남동구,인천효요양원,"인천광역시 남동구 석정로516, M타워 9층"
인천,인천광역시 남동구,사랑채노인요양원,"인천광역시 남동구 장승남로66, 401호"
인천,인천광역시 남동구,사단법인 엠지유,인천광역시 남동구 논현동617-3 대광타워 6층
인천,인천광역시 남동구,삼성요양원,"인천광역시 남동구 만수서로101, 501호"
인천,인천광역시 남동구,다솜요양원,"인천광역시 남동구 청능대로581, 9층"
인천,인천광역시 남동구,(인천)VIP요양원,인천광역시 남동구 인주대로813
인천,인천광역시 남동구,글라라의집,"인천광역시 남동구 논고개로101, 14층"
인천,인천광역시 남동구,남동바다의별요양원,인천광역시 남동구 호구포로221 남동메디컬6층
인천,인천광역시 남동구,호구포요양원,인천광역시 남동구 호구포로214
인천,인천광역시 남동구,희망실버요양원,"인천광역시 남동구 구월동 구월남로216, 4층"
인천,인천광역시 남동구,남동노아요양원,인천광역시 남동구 구월동 인주대로763번길50
인천,인천광역시 남동구,사랑샘요양원,"인천광역시 남동구 논현동 청능대로581(논현동, 광성프라자 11-12층)"
인천,인천광역시 남동구,효나눔의집,인천광역시 남동구 간석동 백범로273번길9
인천,인천광역시 남동구,함께걸음인천장애인자립생활센터,인천광역시 남동구 간석동 경인로611 오피앙오피스텔 A-202
