지역,시군구,기관,주소
전남,전라남도 광양시,옥곡지역아동센터,전남 광양시 옥곡면 명주로 190옥곡지역아동센터
전남,전라남도 광양시,태인지역아동센터,전남 광양시 용지길 37 (태인동)태인지역아동센터
전남,전라남도 광양시,광양시니어클럽,전남 광양시 사동로 28 (중동)2층
전남,전라남도 광양시,광양용강주야간보호센터,전남 광양시 광양읍 용강2길 13-4광양용강주야간보호센터
전남,전라남도 광양시,동광양평화지역아동센터,전남 광양시 중마청룡길 31 (중동)2층
전남,전라남도 광양시,즐거운 내일,전남 광양시 광양읍 용강1길 12 (창덕에버빌(2단지))203동 2051호
전남,전라남도 광양시,서산나래,전남 광양시 광양읍 오성길 14광양시장애인직업재활시설 서산나래
전남,전라남도 광양시,행복드림주야간보호센터,전남 광양시 광양읍 은장도길 27-5.
전남,전라남도 광양시,봄날주야간보호센터,전남 광양시 옥곡면 대치로 41.
전남,전라남도 광양시,행복한주야간보호센터,"전라남도 광양시 광양읍 매천로728, 1층"
전남,전라남도 광양시,복드림요양원,전라남도 광양시 광양읍 은장도길35-12
전남,전라남도 광양시,광양시사회복지협의회,전라남도 광양시 광양읍 한려대길111 광양보건대학교 득룡관 207호
전남,전라남도 광양시,의료법인 21세기의료재단,전라남도 광양시 광양읍 대림오성로61
전남,전라남도 광양시,실버랜드요양원,전라남도 광양시 광양읍 서산길25
전남,전라남도 광양시,광양시장애인생활이동지원센터,전라남도 광양시 구마10길25
전남,전라남도 광양시,햇빛마을주간보호센터,전라남도 광양시 금호로330
전남,전라남도 광양시,백운노인복지센터,전라남도 광양시 광양읍 은장도1길15
전남,전라남도 광양시,오성꿈나무지역아동센터,"전라남도 광양시 광양읍 대림오성로139, 302 303호"
전남,전라남도 광양시,평화요양원,전라남도 광양시 옥룡면남정길 267
전남,전라남도 광양시,대한노인요양원,전라남도 광양시 광양읍 목성1길 43-3대한노인요양원
전남,전라남도 광양시,옥룡지역아동센터,전라남도 광양시 신재로 614-2옥룡지역아동센터
전남,전라남도 광양시,광양읍지역아동센터,전라남도 광양시 광양읍유당로 65
전남,전라남도 광양시,봉강노인요양원,전라남도 광양시 성불로 678-37봉강노인요양원
전남,전라남도 광양시,느티나무요양원,전라남도 광양시 인덕로990
전남,전라남도 광양시,광양장애인자립생활센터,전라남도 광양시 광양읍서평로 30
전남,전라남도 광양시,(사)한국척수장애인협회 전라남도협회광양시지회,전라남도 순천시 순천만길 184 (교량동)전남척수장애인협회
전남,전라남도 광양시,행복드림요양원2,전라남도 광양시 은장도길27-5
전남,전라남도 광양시,세풍지역아동센터,전라남도 광양시 광양읍 중여길 16
전남,전라남도 광양시,천사노인복지센터,전라남도 광양시 옥룡면 죽천리 마방길 3
전남,전라남도 광양시,아로마요양원(2),전라남도 광양시 중촌길4-1
전남,전라남도 광양시,아로마재가노인복지센터,전남 광양시 중동 1607-4
전남,전라남도 광양시,광양시장애인체육회,전남 광양시 봉강면 매천로 695-9매천로 695-9
전남,전라남도 광양시,칠성지역아동센터,전라남도 광양시 광양읍 호북길 25-20칠성지역아동센터
전남,전라남도 광양시,우리지역아동센터,전남 광양시 광양읍칠성리 495-1
전남,전라남도 광양시,덕례지역아동센터,전라남도 광양시 광양읍 덕례리 예구7길10 상가동1호(계원임대아파트)
전남,전라남도 광양시,단비노인복지센터,전라남도 광양시 광양읍인서4길25 단비노인복지센터
전남,전라남도 광양시,우리동산요양원,전라남도 광양시 광양읍남문길 19 1층 우리동산요양원
전남,전라남도 광양시,광양시노인전문요양원,전남 광양시 옥곡면대죽리 664
전남,전라남도 광양시,참좋은노인복지센터,전남 광양시 중동 1295-5
전남,전라남도 광양시,사랑요양원,전라남도 광양시 광양읍 계곡길 33-38사랑요양원
전남,전라남도 광양시,중마노인복지관,전남 광양시 중동1359-3
전남,전라남도 광양시,한국가족건강연구소전남지부,전라남도 순천시 연향동  1491-6 2층
전남,전라남도 광양시,중마지역아동센터,전남 광양시 중동1352-7(3층)
전남,전라남도 광양시,광양장애인부모회,전라남도 광양시 광양읍 서천1길59
전남,전라남도 광양시,광양매화원,전남 광양시 광양읍 칠성리950-4
전남,전라남도 광양시,실로암마을,전남 광양시 광양읍 은장도1길 25실로암마을
전남,전라남도 광양시,광양YWCA,전라남도 광양시 광양읍 인덕로977 2층.1호
전남,전라남도 광양시,(사)전남지체장애인협회 광양시지회,전남 광양시 광양읍칠성리927-2
전남,전라남도 광양시,(사)한국농아인협회전남협회광양시지부,전라남도 광양시 구마10길 25(사)한국농아인협회전남협회광양시지부
전남,전라남도 광양시,광양시장애인종합복지관,전남 광양시 광양읍 덕례리 1724-3번지
전남,전라남도 광양시,사회복지법인 마로현,전라남도 광양시 광양읍 읍성2길 12마로현노인복지센터
전남,전라남도 광양시,전남광양지역자활센터,전라남도 광양시 광양읍 칠성리 70번지 (광양시 2청사 옆) 2층
