지역,시군구,기관,주소
전남,전라남도 영광군,공립알록달록지역아동센터,전남 영광군 염산면 칠산로2길 3.
전남,전라남도 영광군,은빛고은요양원,전남 영광군 영광읍 함영로9길 35-2.
전남,전라남도 영광군,예그리나보호작업장,전남 영광군 군서면 천년로 1252-5.
전남,전라남도 영광군,홍농장애인주간보호센터,전라남도 영광군 홍농읍 동부로 126-13
전남,전라남도 영광군,작은숲지역아동센터,전라남도 영광군 대마면 원당길1길 8
전남,전라남도 영광군,기쁜우리지역아동센터,전라남도 영광군 영광읍 중앙로4길14-1
전남,전라남도 영광군,홍농노인복지센터,전라남도 영광군 홍농읍 동부로75-8
전남,전라남도 영광군,사회복지법인 새염산어린이집,전라남도 영광군 염산면 칠산로2길7-3
전남,전라남도 영광군,초록디딤돌 지역아동센터,전라남도 영광군 영광읍 물무로2길39-3
전남,전라남도 영광군,아이꿈터,전라남도 영광군 영광읍 와룡로193-3
전남,전라남도 영광군,에셀나무,전라남도 영광군 영광읍 교촌리 388-2
전남,전라남도 영광군,영광노인복지센터,전라남도 영광군 신남로268
전남,전라남도 영광군,비룡노인전문요양원,전라남도 영광군 물무로237-15
전남,전라남도 영광군,영광효사랑노인복지센터,전라남도 영광군 연우로42-6
전남,전라남도 영광군,영광여산실버복지센터,전남 영광군 군남면포천리 364
전남,전라남도 영광군,이야기마을,전남 영광군 묘량면 밀재로11길 2이야기마을
전남,전라남도 영광군,성심재가노인복지센터,전남 영광군 영광읍신하리 151(천년로 1371-20)
전남,전라남도 영광군,영광종합병원,전남 영광군 영광읍단주리  275
전남,전라남도 영광군,영광여성의전화,전남 영광군 영광읍 옥당로 47사)영광여성의전화
전남,전라남도 영광군,참사랑요양원,전남 영광군 영광읍녹사리 3-2
전남,전라남도 영광군,여민동락노인복지센터,전남 영광군 묘량면영양리713-7
전남,전라남도 영광군,아름이지역아동센터,전남 영광군 홍농읍성산리443
전남,전라남도 영광군,멋쟁이지역아동센터,전남 영광군 영광읍덕호리69-13
전남,전라남도 영광군,공립영광노인전문요양병원,전남 영광군 영광읍 와룡로 3-1영광군공립요양병원
전남,전라남도 영광군,보배로운집,전남 영광군 군서면만곡리145-3
전남,전라남도 영광군,수애원지역아동센터,전남 영광군 백수읍죽사리468
전남,전라남도 영광군,꿈이 있는 땅,전남 영광군 대마면 원흥리273-13
전남,전라남도 영광군,영광복음의 집,전라남도 영광군 영광읍370-1
전남,전라남도 영광군,영광노인전문요양원,전남 영광군 영광읍 신하리 244
전남,전라남도 영광군,비룡양로원,전남 영광군 영광읍 도동리 42
전남,전라남도 영광군,연한가지,전남 영광군 대마면 원흥리 332-13
전남,전라남도 영광군,한빛원자력 지역봉사대,전라남도 영광군 홍농로846
전남,전라남도 영광군,해뜨는집,전남 영광군 홍농읍 신석리472-4
전남,전라남도 영광군,새생명마을,전남 영광군 법성면 용덕리 548
전남,전라남도 영광군,청람원,전남 영광군 영광읍 단주리372-3
전남,전라남도 영광군,영광기독신하병원,전라남도 영광군 영광읍천년로 1351-15
전남,전라남도 영광군,영광기독병원,전남 영광군 영광읍 신남로 265영광기독병원
전남,전라남도 영광군,영광군정신건강증진센터,전남 영광군 영광읍 남천리 326-5
전남,전라남도 영광군,사회복지법인 영광푸른마을,전남 영광군 백수읍 길용리 447
