지역,시군구,기관,주소
전북,전라북도 전주시 덕진구,로뎀나무지역아동센터,전북 전주시 덕진구 금상길 42 (산정동).
전북,전라북도 전주시 덕진구,안디옥노인통합지원센터,전북 전주시 덕진구 백제대로 604 (금암동)3층
전북,전라북도 전주시 덕진구,드림노인복지센터,전북 전주시 덕진구 사평2길 15 (덕진동1가).
전북,전라북도 전주시 덕진구,시영지역아동센터,전북 전주시 덕진구 두간9길 8 (송천동1가)시영지역아동센터
전북,전라북도 전주시 덕진구,송천노인복지센터,전북 전주시 덕진구 사근1길 23-25 (송천동2가).
전북,전라북도 전주시 덕진구,더불어삶,전라북도 전주시 덕진구 서당길 37 (용정동)1층
전북,전라북도 전주시 덕진구,태평양어린이집,전라북도 전주시 덕진구 모래내8길23
전북,전라북도 전주시 덕진구,덕진노인복지센터,전라북도 전주시 덕진구 송천중앙로36
전북,전라북도 전주시 덕진구,아름다운집,"전라북도 전주시 덕진구 인교8길12, 401호"
전북,전라북도 전주시 덕진구,드림요양원,전라북도 전주시 덕진구 사평2길15
전북,전라북도 전주시 덕진구,즐거운집노인요양원,전라북도 전주시 덕진구 석소로74-5
전북,전라북도 전주시 덕진구,예찬홈케어,전라북도 전주시 덕진구 인후동2가 백제대로 748-11층
전북,전라북도 전주시 덕진구,의료법인효성의료재단 새전주요양병원,전라북도 전주시 덕진구 여의동 여암1길 37
전북,전라북도 전주시 덕진구,인구보건복지협회전북지회,전라북도 전주시 덕진구 인후동2가  1557-1
전북,전라북도 전주시 덕진구,사랑의문,전라북도 전주시 덕진구 동부대로689(우아동3가)
전북,전라북도 전주시 덕진구,사회복지법인세이브더칠드런코리아서부지부,전북 전주시 완산구 팔달로 232 (서노송동) 6층
전북,전라북도 전주시 덕진구,마음편한요양병원,전라북도 전주시 덕진구 쪽구름로87-1
전북,전라북도 전주시 덕진구,따뜻한사랑의집,전라북도 전주시 덕진구 수곡길33-24
전북,전라북도 전주시 덕진구,즐거운집노인복지센터,전북 전주시 덕진구 우아동2가 558-1
전북,전라북도 전주시 덕진구,대자인병원,전라북도 전주시 덕진구 견훤로 390 (우아동3가)대자인병원
전북,전라북도 전주시 덕진구,새움지역아동센터,전북 전주시 덕진구 인후동1가 727-59
전북,전라북도 전주시 덕진구,(주)전북은행,전라북도 전주시 덕진구 백제대로566
전북,전라북도 전주시 덕진구,반석의집,전북 전주시 덕진구 호성동1가 665
전북,전라북도 전주시 덕진구,기린보호작업장,전북 전주시 덕진구 인후동1가 898-4
전북,전라북도 전주시 덕진구,우아지역아동센터,전북 전주시 덕진구 우아동3가 747-81  우아@상가동 202호
전북,전라북도 전주시 덕진구,온고을지역아동센터,전라북도 전주시 덕진구 견훤로 375 (인후동2가)2층
